Alpha,T1-15.8 m/s-VLM2, , 
           -5,     0.8828714, , 
         -4.8,     0.8978922, , 
         -4.6,     0.9128949, , 
         -4.4,      0.927879, , 
         -4.2,     0.9428442, , 
           -4,       0.95779, , 
         -3.8,     0.9727161, , 
         -3.6,      0.987622, , 
         -3.4,      1.002507, , 
         -3.2,      1.017372, , 
           -3,      1.032215, , 
         -2.8,      1.047037, , 
         -2.6,      1.061836, , 
         -2.4,      1.076613, , 
         -2.2,      1.091367, , 
           -2,      1.106097, , 
         -1.8,      1.120804, , 
         -1.6,      1.135487, , 
         -1.4,      1.150145, , 
         -1.2,      1.164779, , 
           -1,      1.179388, , 
         -0.8,       1.19397, , 
         -0.6,      1.208527, , 
         -0.4,      1.223058, , 
         -0.2,      1.237561, , 
            0,      1.252038, , 
          0.2,      1.266487, , 
          0.4,      1.280909, , 
          0.6,      1.295302, , 
          0.8,      1.309666, , 
            1,      1.324002, , 
          1.2,      1.338308, , 
          1.4,      1.352585, , 
          1.6,      1.366832, , 
          1.8,      1.381048, , 
            2,      1.395234, , 
          2.2,      1.409388, , 
          2.4,      1.423511, , 
          2.6,      1.437602, , 
          2.8,      1.451661, , 
            3,      1.465688, , 
          3.2,      1.479681, , 
          3.4,      1.493642, , 
          3.6,      1.507569, , 
          3.8,      1.521462, , 
            4,      1.535321, , 
          4.2,      1.549145, , 
          4.4,      1.562935, , 
          4.6,      1.576689, , 
          4.8,      1.590408, , 

