Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, ,            -5,     0.6287956, , 
         -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, ,          -4.8,     0.6287664, , 
         -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, ,          -4.6,     0.6287243, , 
         -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, ,          -4.4,     0.6286703, , 
         -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, ,          -4.2,      0.628605, , 
           -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, ,            -4,     0.6285291, , 
         -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, ,          -3.8,     0.6284432, , 
         -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, ,          -3.6,     0.6283478, , 
         -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, ,          -3.4,     0.6282436, , 
         -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, ,          -3.2,      0.628131, , 
           -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, ,            -3,     0.6280104, , 
         -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, ,          -2.8,     0.6278823, , 
         -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, ,          -2.6,     0.6277471, , 
         -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, ,          -2.4,     0.6276052, , 
         -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, ,          -2.2,     0.6274569, , 
           -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, ,            -2,     0.6273025, , 
         -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, ,          -1.8,     0.6271424, , 
         -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, ,          -1.6,     0.6269768, , 
         -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, ,          -1.4,      0.626806, , 
         -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, ,          -1.2,     0.6266303, , 
           -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, ,            -1,       0.62645, , 
         -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, ,          -0.8,     0.6262651, , 
         -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, ,          -0.6,     0.6260761, , 
         -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, ,          -0.4,     0.6258829, , 
         -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, ,          -0.2,      0.625686, , 
            0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, ,             0,     0.6254854, , 
          0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, ,           0.2,     0.6252813, , 
          0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, ,           0.4,     0.6250739, , 
          0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, ,           0.6,     0.6248633, , 
          0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, ,           0.8,     0.6246497, , 
            1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, ,             1,     0.6244333, , 
          1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, ,           1.2,     0.6242141, , 
          1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, ,           1.4,     0.6239923, , 
          1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, ,           1.6,      0.623768, , 
          1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, ,           1.8,     0.6235414, , 
            2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, ,             2,     0.6233126, , 
          2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, ,           2.2,     0.6230816, , 
