Alpha,T1-15.8 m/s-VLM2, , 
           -5,     0.6413714, , 
         -4.8,     0.6414027, , 
         -4.6,     0.6414201, , 
         -4.4,     0.6414245, , 
         -4.2,     0.6414167, , 
           -4,     0.6413975, , 
         -3.8,     0.6413676, , 
         -3.6,     0.6413276, , 
         -3.4,     0.6412783, , 
         -3.2,       0.64122, , 
           -3,     0.6411535, , 
         -2.8,     0.6410792, , 
         -2.6,     0.6409974, , 
         -2.4,     0.6409088, , 
         -2.2,     0.6408137, , 
           -2,     0.6407124, , 
         -1.8,     0.6406053, , 
         -1.6,     0.6404928, , 
         -1.4,     0.6403752, , 
         -1.2,     0.6402527, , 
           -1,     0.6401257, , 
         -0.8,     0.6399943, , 
         -0.6,      0.639859, , 
         -0.4,     0.6397198, , 
         -0.2,      0.639577, , 
            0,     0.6394309, , 
          0.2,     0.6392815, , 
          0.4,     0.6391292, , 
          0.6,     0.6389741, , 
          0.8,     0.6388163, , 
            1,     0.6386561, , 
          1.2,     0.6384935, , 
          1.4,     0.6383287, , 
          1.6,      0.638162, , 
          1.8,     0.6379933, , 
            2,     0.6378228, , 
          2.2,     0.6376508, , 
          2.4,     0.6374771, , 
          2.6,     0.6373021, , 
          2.8,     0.6371258, , 
            3,     0.6369482, , 
          3.2,     0.6367696, , 
          3.4,       0.63659, , 
          3.6,     0.6364094, , 
          3.8,     0.6362281, , 
            4,      0.636046, , 
          4.2,     0.6358633, , 
          4.4,     0.6356801, , 
          4.6,     0.6354963, , 
          4.8,     0.6353122, , 
            5,     0.6351277, , 
          5.2,      0.634943, , 
          5.4,     0.6347581, , 
          5.6,     0.6345731, , 

