Alpha,T1-15.8 m/s-VLM2, , 
           -4,       12.7113, , 
         -3.8,      12.64137, , 
         -3.6,      12.57677, , 
         -3.4,      12.51727, , 
         -3.2,      12.46247, , 
           -3,        12.412, , 
         -2.8,      12.36567, , 
         -2.6,      12.32355, , 
         -2.4,      12.28534, , 
         -2.2,      12.25088, , 
           -2,      12.21995, , 
         -1.8,      12.19246, , 
         -1.6,       12.1683, , 
         -1.4,      12.14727, , 
         -1.2,      12.12919, , 
           -1,      12.11395, , 
         -0.8,      12.10146, , 
         -0.6,      12.09161, , 
         -0.4,      12.08424, , 
         -0.2,       12.0793, , 
            0,      12.07663, , 
          0.2,      12.07615, , 
          0.4,      12.07781, , 
          0.6,      12.08127, , 
          0.8,      12.08666, , 
            1,      12.09394, , 
          1.2,      12.10294, , 
          1.4,      12.11364, , 
          1.6,      12.12604, , 
          1.8,      12.14007, , 
            2,      12.15562, , 
          2.2,       12.1727, , 
          2.4,      12.19141, , 
          2.6,       12.2117, , 
          2.8,      12.23342, , 
            3,       12.2565, , 
          3.2,      12.28078, , 
          3.4,      12.30609, , 
          3.6,      12.33247, , 
          3.8,      12.36006, , 
            4,      12.38884, , 
          4.2,      12.41868, , 
          4.4,      12.44948, , 
          4.6,      12.48127, , 
          4.8,      12.51403, , 
            5,      12.54782, , 
          5.2,      12.58261, , 
          5.4,      12.61831, , 
          5.6,      12.65508, , 
          5.8,      12.69297, , 
            6,      12.73207, , 

