Alpha,T1-15.8 m/s-VLM2, , 
           -4,      6.475538, , 
         -3.8,      6.438478, , 
         -3.6,       6.40596, , 
         -3.4,       6.37706, , 
         -3.2,        6.3515, , 
           -3,      6.329161, , 
         -2.8,      6.309857, , 
         -2.6,      6.293478, , 
         -2.4,      6.279948, , 
         -2.2,      6.269125, , 
           -2,      6.260903, , 
         -1.8,      6.255243, , 
         -1.6,      6.252066, , 
         -1.4,      6.251354, , 
         -1.2,      6.253137, , 
           -1,      6.257345, , 
         -0.8,      6.263836, , 
         -0.6,      6.272853, , 
         -0.4,      6.284388, , 
         -0.2,      6.298244, , 
            0,      6.314776, , 
          0.2,      6.333893, , 
          0.4,      6.356201, , 
          0.6,      6.381372, , 
          0.8,      6.409696, , 
            1,      6.441266, , 
          1.2,      6.476609, , 
          1.4,      6.515684, , 
          1.6,      6.559118, , 
          1.8,      6.606422, , 
            2,      6.658118, , 
          2.2,      6.714039, , 
          2.4,      6.773424, , 
          2.6,      6.836013, , 
          2.8,      6.902043, , 
            3,      6.970933, , 
          3.2,      7.042482, , 
          3.4,      7.116729, , 
          3.6,      7.193444, , 
          3.8,      7.274099, , 
            4,      7.360682, , 
          4.2,       7.45909, , 

