Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      5.750067, ,            -4,      5.843453, ,            -4,      5.859991, ,            -4,      4.907533, ,            -4,       5.35824, , 
         -3.8,      5.781906, ,          -3.8,      5.877207, ,          -3.8,      5.898118, ,          -3.8,      4.926865, ,          -3.8,      5.381609, , 
         -3.6,      5.811207, ,          -3.6,      5.908512, ,          -3.6,      5.930673, ,          -3.6,      4.944282, ,          -3.6,      5.402731, , 
         -3.4,      5.837637, ,          -3.4,      5.936987, ,          -3.4,      5.959795, ,          -3.4,      4.959745, ,          -3.4,      5.421495, , 
         -3.2,       5.86166, ,          -3.2,      5.963422, ,          -3.2,      5.985756, ,          -3.2,      4.973206, ,          -3.2,      5.437894, , 
           -3,      5.882864, ,            -3,      5.987785, ,            -3,      6.009615, ,            -3,      4.984934, ,            -3,      5.452382, , 
         -2.8,      5.901874, ,          -2.8,      6.009332, ,          -2.8,      6.031045, ,          -2.8,       4.99497, ,          -2.8,      5.464991, , 
         -2.6,      5.918764, ,          -2.6,      6.028522, ,          -2.6,      6.050546, ,          -2.6,      5.003324, ,          -2.6,      5.475753, , 
         -2.4,      5.933512, ,          -2.4,      6.045198, ,          -2.4,      6.067401, ,          -2.4,      5.010067, ,          -2.4,      5.484745, , 
         -2.2,      5.946055, ,          -2.2,      6.059968, ,          -2.2,      6.082922, ,          -2.2,      5.015237, ,          -2.2,      5.492034, , 
           -2,      5.956808, ,            -2,      6.073103, ,            -2,      6.095487, ,            -2,      5.018872, ,            -2,      5.497664, , 
         -1.8,      5.965961, ,          -1.8,      6.084788, ,          -1.8,      6.106402, ,          -1.8,      5.021051, ,          -1.8,      5.501683, , 
         -1.6,      5.973642, ,          -1.6,      6.093425, ,          -1.6,      6.115013, ,          -1.6,      5.021832, ,          -1.6,      5.504136, , 
         -1.4,      5.979645, ,          -1.4,      6.100446, ,          -1.4,      6.122358, ,          -1.4,       5.02121, ,          -1.4,      5.505061, , 
