Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,     0.9458949, ,            -4,     0.9458949, ,            -4,     0.9458949, , 
         -3.8,     0.9615658, ,          -3.8,     0.9615658, ,          -3.8,     0.9615658, , 
         -3.6,     0.9772165, ,          -3.6,     0.9772165, ,          -3.6,     0.9772165, , 
         -3.4,     0.9928467, ,          -3.4,     0.9928467, ,          -3.4,     0.9928467, , 
         -3.2,      1.008456, ,          -3.2,      1.008456, ,          -3.2,      1.008456, , 
           -3,      1.024044, ,            -3,      1.024044, ,            -3,      1.024044, , 
         -2.8,       1.03961, ,          -2.8,       1.03961, ,          -2.8,       1.03961, , 
         -2.6,      1.055154, ,          -2.6,      1.055154, ,          -2.6,      1.055154, , 
         -2.4,      1.070676, ,          -2.4,      1.070676, ,          -2.4,      1.070676, , 
         -2.2,      1.086174, ,          -2.2,      1.086174, ,          -2.2,      1.086174, , 
           -2,      1.101649, ,            -2,      1.101649, ,            -2,      1.101649, , 
         -1.8,      1.117101, ,          -1.8,      1.117101, ,          -1.8,      1.117101, , 
         -1.6,      1.132528, ,          -1.6,      1.132528, ,          -1.6,      1.132528, , 
         -1.4,       1.14793, ,          -1.4,       1.14793, ,          -1.4,       1.14793, , 
         -1.2,      1.163308, ,          -1.2,      1.163308, ,          -1.2,      1.163308, , 
           -1,       1.17866, ,            -1,       1.17866, ,            -1,       1.17866, , 
         -0.8,      1.193986, ,          -0.8,      1.193986, ,          -0.8,      1.193986, , 
         -0.6,      1.209286, ,          -0.6,      1.209286, ,          -0.6,      1.209286, , 
         -0.4,      1.224559, ,          -0.4,      1.224559, ,          -0.4,      1.224559, , 
         -0.2,      1.239806, ,          -0.2,      1.239806, ,          -0.2,      1.239806, , 
            0,      1.255025, ,             0,      1.255025, ,             0,      1.255025, , 
          0.2,      1.270216, ,           0.2,      1.270216, ,           0.2,      1.270216, , 
          0.4,      1.285379, ,           0.4,      1.285379, ,           0.4,      1.285379, , 
          0.6,      1.300513, ,           0.6,      1.300513, ,           0.6,      1.300513, , 
          0.8,      1.315619, ,           0.8,      1.315619, ,           0.8,      1.315619, , 
            1,      1.330695, ,             1,      1.330695, ,             1,      1.330695, , 
          1.2,      1.345741, ,           1.2,      1.345741, ,           1.2,      1.345741, , 
          1.4,      1.360758, ,           1.4,      1.360758, ,           1.4,      1.360758, , 
          1.6,      1.375744, ,           1.6,      1.375744, ,           1.6,      1.375744, , 
          1.8,      1.390699, ,           1.8,      1.390699, ,           1.8,      1.390699, , 
            2,      1.405623, ,             2,      1.405623, ,             2,      1.405623, , 
          2.2,      1.420515, ,           2.2,      1.420515, ,           2.2,      1.420515, , 
          2.4,      1.435375, ,           2.4,      1.435375, ,           2.4,      1.435375, , 
          2.6,      1.450203, ,           2.6,      1.450203, ,           2.6,      1.450203, , 
          2.8,      1.464998, ,           2.8,      1.464998, ,           2.8,      1.464998, , 
            3,       1.47976, ,             3,       1.47976, ,             3,       1.47976, , 
          3.2,      1.494489, ,           3.2,      1.494489, ,           3.2,      1.494489, , 
          3.4,      1.509184, ,           3.4,      1.509184, , , , , 

