Alpha,T1-15.8 m/s-VLM2, , 
           -4,      0.559961, , 
         -3.8,     0.5679012, , 
         -3.6,     0.5758219, , 
         -3.4,     0.5837228, , 
         -3.2,     0.5916035, , 
           -3,     0.5994638, , 
         -2.8,     0.6073034, , 
         -2.6,      0.615122, , 
         -2.4,     0.6229192, , 
         -2.2,     0.6306947, , 
           -2,     0.6384484, , 
         -1.8,     0.6461798, , 
         -1.6,     0.6538888, , 
         -1.4,     0.6615749, , 
         -1.2,      0.669238, , 
           -1,     0.6768777, , 
         -0.8,     0.6844937, , 
         -0.6,     0.6920859, , 
         -0.4,     0.6996538, , 
         -0.2,     0.7071972, , 
            0,     0.7147159, , 
          0.2,     0.7222095, , 
          0.4,     0.7296779, , 
          0.6,     0.7371206, , 
          0.8,     0.7445376, , 
            1,     0.7519284, , 
          1.2,     0.7592929, , 
          1.4,     0.7666307, , 
          1.6,     0.7739417, , 
          1.8,     0.7812255, , 
            2,      0.788482, , 
          2.2,     0.7957108, , 
          2.4,     0.8029117, , 
          2.6,     0.8100845, , 
          2.8,     0.8172289, , 
            3,     0.8243447, , 
          3.2,     0.8314316, , 
          3.4,     0.8384895, , 
          3.6,      0.845518, , 
          3.8,      0.852517, , 
            4,     0.8594861, , 
          4.2,     0.8664253, , 
          4.4,     0.8733342, , 
          4.6,     0.8802127, , 
          4.8,     0.8870604, , 
            5,     0.8938773, , 
          5.2,     0.9006631, , 
          5.4,     0.9074176, , 
          5.6,     0.9141405, , 
          5.8,     0.9208317, , 
            6,     0.9274909, , 

