Alpha,T1-15.8 m/s-VLM2, , 
           -4,     0.5143974, , 
         -3.8,      0.514304, , 
         -3.6,     0.5141998, , 
         -3.4,     0.5140852, , 
         -3.2,     0.5139604, , 
           -3,     0.5138259, , 
         -2.8,     0.5136819, , 
         -2.6,     0.5135288, , 
         -2.4,     0.5133668, , 
         -2.2,     0.5131963, , 
           -2,     0.5130174, , 
         -1.8,     0.5128304, , 
         -1.6,     0.5126356, , 
         -1.4,     0.5124331, , 
         -1.2,     0.5122232, , 
           -1,     0.5120061, , 
         -0.8,      0.511782, , 
         -0.6,     0.5115511, , 
         -0.4,     0.5113134, , 
         -0.2,     0.5110693, , 
            0,     0.5108189, , 
          0.2,     0.5105623, , 
          0.4,     0.5102996, , 
          0.6,     0.5100311, , 
          0.8,     0.5097568, , 
            1,     0.5094769, , 
          1.2,     0.5091915, , 
          1.4,     0.5089008, , 
          1.6,     0.5086048, , 
          1.8,     0.5083038, , 
            2,     0.5079977, , 
          2.2,     0.5076867, , 
          2.4,     0.5073709, , 
          2.6,     0.5070505, , 
          2.8,     0.5067255, , 
            3,      0.506396, , 
          3.2,     0.5060621, , 
          3.4,     0.5057239, , 
          3.6,     0.5053815, , 
          3.8,      0.505035, , 
            4,     0.5046845, , 
          4.2,     0.5043301, , 
          4.4,     0.5039718, , 
          4.6,     0.5036098, , 
          4.8,      0.503244, , 
            5,     0.5028747, , 
          5.2,     0.5025018, , 
          5.4,     0.5021255, , 
          5.6,     0.5017458, , 
          5.8,     0.5013628, , 
            6,     0.5009766, , 

