Alpha,T1-15.8 m/s-VLM2, , 
           -4,      4.433274, , 
         -3.8,      4.458618, , 
         -3.6,      4.482278, , 
         -3.4,      4.504283, , 
         -3.2,      4.524734, , 
           -3,      4.543722, , 
         -2.8,      4.561289, , 
         -2.6,      4.577373, , 
         -2.4,      4.592058, , 
         -2.2,      4.605381, , 
           -2,      4.617399, , 
         -1.8,      4.628133, , 
         -1.6,      4.637603, , 
         -1.4,      4.645878, , 
         -1.2,      4.653016, , 
           -1,      4.659048, , 
         -0.8,      4.664004, , 
         -0.6,       4.66792, , 
         -0.4,       4.67085, , 
         -0.2,      4.672818, , 
            0,      4.673884, , 
          0.2,      4.674074, , 
          0.4,      4.673412, , 
          0.6,      4.672034, , 
          0.8,      4.669887, , 
            1,      4.666993, , 
          1.2,      4.663414, , 
          1.4,       4.65917, , 
          1.6,      4.654261, , 
          1.8,      4.648718, , 
            2,       4.64259, , 
          2.2,      4.635876, , 
          2.4,      4.628542, , 
          2.6,      4.620616, , 
          2.8,      4.612159, , 
            3,      4.603204, , 
          3.2,      4.593818, , 
          3.4,      4.584075, , 
          3.6,      4.573959, , 
          3.8,      4.563428, , 
            4,      4.552487, , 
          4.2,      4.541199, , 
          4.4,      4.529604, , 
          4.6,      4.517698, , 
          4.8,      4.505488, , 
            5,      4.492958, , 
          5.2,      4.480131, , 
          5.4,      4.467036, , 
          5.6,      4.453626, , 
          5.8,      4.439888, , 
            6,      4.425797, , 

