Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      6.049903, ,            -4,      5.844759, ,            -4,      5.807565, ,            -4,      7.919437, ,            -4,      6.909734, , 
         -3.8,      6.014407, ,          -3.8,       5.80743, ,          -3.8,      5.770457, ,          -3.8,      7.900613, ,          -3.8,      6.883324, , 
         -3.6,      5.982496, ,          -3.6,      5.773355, ,          -3.6,      5.736564, ,          -3.6,      7.886672, ,          -3.6,       6.86114, , 
         -3.4,      5.954024, ,          -3.4,      5.742455, ,          -3.4,      5.705845, ,          -3.4,      7.877626, ,          -3.4,      6.843127, , 
         -3.2,      5.928798, ,          -3.2,       5.71457, ,          -3.2,      5.678085, ,          -3.2,      7.873388, ,          -3.2,      6.829131, , 
           -3,      5.906721, ,            -3,      5.689858, ,            -3,      5.653206, ,            -3,      7.873833, ,            -3,      6.819181, , 
         -2.8,      5.887616, ,          -2.8,       5.66812, ,          -2.8,      5.631027, ,          -2.8,       7.87895, ,          -2.8,      6.813192, , 
         -2.6,      5.871408, ,          -2.6,      5.648921, ,          -2.6,      5.611218, ,          -2.6,      7.888951, ,          -2.6,      6.811011, , 
         -2.4,      5.858003, ,          -2.4,      5.632208, ,          -2.4,      5.593743, ,          -2.4,      7.903404, ,          -2.4,       6.81254, , 
         -2.2,      5.847298, ,          -2.2,      5.617912, ,          -2.2,       5.57865, ,          -2.2,      7.922553, ,          -2.2,      6.817906, , 
           -2,      5.839176, ,            -2,      5.605902, ,            -2,      5.565805, ,            -2,      7.946182, ,            -2,      6.827054, , 
         -1.8,      5.833635, ,          -1.8,      5.596238, ,          -1.8,      5.555526, ,          -1.8,      7.974402, ,          -1.8,      6.840066, , 
         -1.6,      5.830828, ,          -1.6,      5.588699, ,          -1.6,       5.54739, ,          -1.6,      8.006351, ,          -1.6,       6.85703, , 
         -1.4,      5.830535, ,          -1.4,      5.583144, ,          -1.4,      5.541213, ,          -1.4,      8.042341, ,          -1.4,       6.87797, , 
         -1.2,      5.832678, ,          -1.2,      5.579445, ,          -1.2,      5.536821, ,          -1.2,      8.083586, ,          -1.2,      6.902653, , 
           -1,        5.8375, ,            -1,      5.577538, ,            -1,      5.534149, ,            -1,      8.129081, ,            -1,      6.931271, , 
         -0.8,      5.845091, ,          -0.8,      5.577376, ,          -0.8,      5.533154, ,          -0.8,      8.179023, ,          -0.8,      6.964006, , 
         -0.6,      5.855136, ,          -0.6,      5.579018, ,          -0.6,       5.53377, ,          -0.6,      8.233349, ,          -0.6,      7.000956, , 
         -0.4,      5.868107, ,          -0.4,      5.582493, ,          -0.4,       5.53597, ,          -0.4,      8.292137, ,          -0.4,      7.042083, , 
         -0.2,      5.883807, ,          -0.2,      5.587589, ,          -0.2,      5.539668, ,          -0.2,      8.355259, ,          -0.2,      7.087317, , 
            0,      5.903074, ,             0,      5.594435, ,             0,      5.544813, ,             0,      8.422988, ,             0,      7.137231, , 
          0.2,      5.925456, ,           0.2,      5.603381, ,           0.2,      5.551683, ,           0.2,      8.494788, ,           0.2,      7.191304, , 
          0.4,       5.95127, ,           0.4,      5.614231, ,           0.4,      5.560489, ,           0.4,      8.571059, ,           0.4,       7.25022, , 
          0.6,      5.980695, ,           0.6,      5.627194, ,           0.6,       5.57096, ,           0.6,      8.652037, ,           0.6,      7.314099, , 
          0.8,      6.014198, ,           0.8,      5.642714, ,           0.8,      5.583594, ,           0.8,      8.737077, ,           0.8,      7.382702, , 
            1,      6.052101, ,             1,       5.66087, ,             1,      5.598749, ,             1,      8.827204, ,             1,       7.45684, , 
          1.2,      6.094361, ,           1.2,      5.681563, ,           1.2,      5.616283, ,           1.2,      8.922275, ,           1.2,      7.536965, , 
          1.4,      6.141277, ,           1.4,      5.704982, ,           1.4,      5.636204, ,           1.4,       9.02337, ,           1.4,      7.624447, , 
          1.6,      6.192525, ,           1.6,      5.731589, ,           1.6,       5.65889, ,           1.6,      9.131319, ,           1.6,      7.720476, , 
          1.8,      6.248022, ,           1.8,      5.761219, ,           1.8,       5.68427, ,           1.8,       9.24368, ,           1.8,      7.822301, , 
            2,      6.307407, ,             2,      5.794246, ,             2,      5.712283, ,             2,      9.363446, ,             2,      7.934089, , 
          2.2,       6.37049, ,           2.2,      5.830554, ,           2.2,      5.742656, ,           2.2,       9.49359, ,           2.2,      8.060635, , 
          2.4,      6.436593, ,           2.4,      5.870889, ,           2.4,      5.775892, ,           2.4,      9.635122, ,           2.4,      8.203276, , 
          2.6,      6.505981, ,           2.6,      5.914746, ,           2.6,      5.811671, ,           2.6,      9.777686, ,           2.6,       8.34658, , 
          2.8,      6.578249, ,           2.8,      5.963592, ,           2.8,      5.850892, ,           2.8,      9.915204, ,           2.8,      8.481232, , 
            3,      6.653225, ,             3,      6.016672, ,             3,      5.893139, ,             3,      10.04925, ,             3,      8.610408, , 
          3.2,      6.731565, ,           3.2,       6.07512, ,           3.2,      5.939408, ,           3.2,      10.18435, ,           3.2,      8.739545, , 
          3.4,      6.815934, ,           3.4,      6.140696, ,           3.4,      5.991109, , , , ,           3.4,       8.87389, , 
          3.6,      6.913155, ,           3.6,      6.218627, ,           3.6,      6.052545, , , , ,           3.6,      9.029606, , 
          3.8,      7.007421, ,           3.8,       6.32206, ,           3.8,      6.133194, , , , , , , , 

