Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      11.20177, ,            -1,       11.9315, ,            -1,      9.606866, , 
         -0.8,      11.45025, ,          -0.8,      12.19399, ,          -0.8,      9.816866, , 
         -0.6,      11.66058, ,          -0.6,      12.42277, ,          -0.6,      10.00464, , 
         -0.4,      11.83639, ,          -0.4,      12.61557, ,          -0.4,      10.17165, , 
         -0.2,      11.98245, ,          -0.2,      12.76847, ,          -0.2,      10.31977, , 
            0,      12.10275, ,             0,      12.88795, ,             0,      10.44986, , 
          0.2,      12.20065, ,           0.2,      12.97955, ,           0.2,      10.56321, , 
          0.4,      12.27829, ,           0.4,      13.04467, ,           0.4,      10.66072, , 
          0.6,      12.33801, ,           0.6,      13.08927, ,           0.6,      10.74351, , 
          0.8,      12.38123, ,           0.8,      13.11773, ,           0.8,      10.81244, , 
            1,      12.40937, ,             1,      13.13177, ,             1,      10.86858, , 
          1.2,      12.42388, ,           1.2,      13.13188, ,           1.2,      10.91274, , 
          1.4,      12.42611, ,           1.4,      13.11789, ,           1.4,      10.94562, , 
          1.6,      12.41721, ,           1.6,      13.09167, ,           1.6,      10.96839, , 
          1.8,      12.39819, ,           1.8,      13.05567, ,           1.8,      10.98168, , 
            2,      12.37013, ,             2,      13.01089, ,             2,      10.98623, , 
          2.2,      12.33341, ,           2.2,        12.958, ,           2.2,      10.98262, , 
          2.4,      12.28933, ,           2.4,      12.89786, ,           2.4,      10.97176, , 
          2.6,      12.23851, ,           2.6,      12.83082, ,           2.6,      10.95398, , 
          2.8,      12.18195, ,           2.8,      12.75838, ,           2.8,      10.93005, , 
            3,      12.12001, ,             3,      12.68048, ,             3,      10.90034, , 
          3.2,      12.05333, ,           3.2,      12.59814, ,           3.2,      10.86547, , 
          3.4,      11.98235, ,           3.4,      12.51195, ,           3.4,      10.82572, , 
          3.6,      11.90772, ,           3.6,      12.42252, ,           3.6,       10.7816, , 
          3.8,      11.82984, ,           3.8,      12.33022, ,           3.8,      10.73346, , 
            4,      11.74913, ,             4,      12.23519, ,             4,      10.68159, , 
          4.2,        11.666, ,           4.2,      12.13809, ,           4.2,      10.62642, , 
          4.4,      11.58076, ,           4.4,      12.03924, ,           4.4,      10.56827, , 
          4.6,      11.49377, ,           4.6,      11.93908, ,           4.6,      10.50743, , 
          4.8,      11.40521, ,           4.8,      11.83783, ,           4.8,      10.44407, , 
            5,      11.31539, ,             5,      11.73582, ,             5,      10.37856, , 
          5.2,      11.22436, ,           5.2,      11.63325, ,           5.2,      10.31095, , 
          5.4,      11.13247, ,           5.4,       11.5303, ,           5.4,      10.24164, , 
          5.6,      11.03969, ,           5.6,      11.42698, ,           5.6,      10.17065, , 
          5.8,      10.94631, ,           5.8,      11.32353, ,           5.8,      10.09828, , 
            6,      10.85229, ,             6,      11.21995, ,             6,      10.02458, , 
          6.2,      10.75782, ,           6.2,      11.11631, ,           6.2,      9.949702, , 
          6.4,      10.66285, ,           6.4,      11.01255, ,           6.4,      9.873656, , 
          6.6,      10.56727, ,           6.6,      10.90826, ,           6.6,      9.796452, , 
          6.8,      10.47074, ,           6.8,      10.80263, ,           6.8,      9.718035, , 
            7,      10.37255, ,             7,       10.6941, ,             7,      9.638163, , 
          7.2,      10.27179, ,           7.2,      10.58094, ,           7.2,      9.556612, , 
          7.4,      10.16716, ,           7.4,      10.46201, ,           7.4,      9.472889, , 
          7.6,      10.05812, ,           7.6,      10.33798, ,           7.6,      9.386498, , 
          7.8,      9.944312, ,           7.8,      10.20963, ,           7.8,      9.296921, , 
            8,      9.825605, ,             8,      10.07698, ,             8,      9.203742, , 
          8.2,      9.702382, ,           8.2,      9.940514, ,           8.2,      9.107214, , 
          8.4,      9.574521, ,           8.4,      9.803382, ,           8.4,      9.007225, , 
          8.6,      9.442609, ,           8.6,      9.665716, ,           8.6,      8.904115, , 
          8.8,      9.307765, ,           8.8,      9.525003, ,           8.8,       8.79811, , 
            9,       9.17113, ,             9,      9.390142, ,             9,      8.689307, , 

