Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      14.58236, ,            -1,      15.69992, ,            -1,      10.61904, ,            -1,      16.37152, ,            -1,      16.66137, ,            -1,      16.71501, ,            -1,      16.99617, ,            -1,      17.12574, ,            -1,      17.19185, ,            -1,      11.14309, ,            -1,      12.17913, ,            -1,       13.4366, ,            -1,      13.62068, , 
         -0.8,      14.72696, ,          -0.8,      15.82363, ,          -0.8,      10.71951, ,          -0.8,         16.49, ,          -0.8,      16.77947, ,          -0.8,      16.83024, ,          -0.8,       17.0963, ,          -0.8,      17.21887, ,          -0.8,      17.28193, ,          -0.8,      11.24966, ,          -0.8,      12.29809, ,          -0.8,      13.57155, ,          -0.8,      13.75761, , 
         -0.6,      14.84815, ,          -0.6,      15.92521, ,          -0.6,      10.80986, ,          -0.6,      16.57659, ,          -0.6,      16.85757, ,          -0.6,      16.90608, ,          -0.6,      17.16427, ,          -0.6,      17.28531, ,          -0.6,      17.34751, ,          -0.6,      11.34544, ,          -0.6,      12.40482, ,          -0.6,      13.69122, ,          -0.6,      13.87785, , 
         -0.4,      14.94613, ,          -0.4,      16.00318, ,          -0.4,      10.88905, ,          -0.4,      16.62664, ,          -0.4,      16.90308, ,          -0.4,      16.95192, ,          -0.4,       17.2042, ,          -0.4,      17.31851, ,          -0.4,      17.37723, ,          -0.4,      11.42979, ,          -0.4,      12.49952, ,          -0.4,      13.79553, ,          -0.4,      13.98156, , 
         -0.2,      15.02427, ,          -0.2,      16.05475, ,          -0.2,      10.95991, ,          -0.2,       16.6742, ,          -0.2,      16.94206, ,          -0.2,      16.99075, ,          -0.2,      17.24494, ,          -0.2,      17.36153, ,          -0.2,      17.42063, ,          -0.2,      11.50473, ,          -0.2,      12.58249, ,          -0.2,      13.88535, ,          -0.2,      14.06992, , 
            0,      15.08629, ,             0,      16.08877, ,             0,      11.02004, ,             0,       16.7007, ,             0,      16.97123, ,             0,      17.01921, ,             0,      17.26466, ,             0,      17.37462, ,             0,      17.43053, ,             0,      11.56884, ,             0,      12.65439, ,             0,      13.96206, ,             0,      14.14464, , 
          0.2,      15.13418, ,           0.2,      16.11015, ,           0.2,      11.07088, ,           0.2,       16.7111, ,           0.2,      16.97607, ,           0.2,      17.02321, ,           0.2,      17.26369, ,           0.2,      17.37107, ,           0.2,      17.42577, ,           0.2,      11.62322, ,           0.2,      12.71571, ,           0.2,      14.02658, ,           0.2,      14.20683, , 
          0.4,      15.16919, ,           0.4,      16.12154, ,           0.4,      11.11156, ,           0.4,      16.70843, ,           0.4,      16.96788, ,           0.4,      17.01429, ,           0.4,      17.24756, ,           0.4,      17.34986, ,           0.4,      17.40188, ,           0.4,      11.66745, ,           0.4,      12.76685, ,           0.4,      14.07857, ,           0.4,       14.2564, , 
          0.6,      15.19188, ,           0.6,      16.12219, ,           0.6,      11.14424, ,           0.6,      16.69441, ,           0.6,      16.94751, ,           0.6,      16.99305, ,           0.6,      17.21681, ,           0.6,      17.31221, ,           0.6,      17.36177, ,           0.6,      11.70311, ,           0.6,       12.8082, ,           0.6,      14.11849, ,           0.6,      14.29382, , 
          0.8,      15.20202, ,           0.8,      16.10997, ,           0.8,      11.16832, ,           0.8,      16.66923, ,           0.8,      16.91298, ,           0.8,      16.95491, ,           0.8,       17.1669, ,           0.8,      17.26054, ,           0.8,      17.30953, ,           0.8,      11.72989, ,           0.8,      12.84008, ,           0.8,      14.14701, ,           0.8,       14.3196, , 
