Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, ,            -1,     0.6766081, , 
         -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, ,          -0.8,     0.6918426, , 
         -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, ,          -0.6,     0.7070624, , 
         -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, ,          -0.4,     0.7222673, , 
         -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, ,          -0.2,     0.7374568, , 
            0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, ,             0,     0.7526306, , 
          0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, ,           0.2,     0.7677883, , 
          0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, ,           0.4,     0.7829294, , 
          0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, ,           0.6,     0.7980536, , 
          0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, ,           0.8,     0.8131605, , 
