Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.6230415, ,            -1,     0.6230415, ,            -1,     0.6230415, , 
         -0.8,     0.6368579, ,          -0.8,     0.6368579, ,          -0.8,     0.6368579, , 
         -0.6,     0.6506598, ,          -0.6,     0.6506598, ,          -0.6,     0.6506598, , 
         -0.4,     0.6644468, ,          -0.4,     0.6644468, ,          -0.4,     0.6644468, , 
         -0.2,     0.6782185, ,          -0.2,     0.6782185, ,          -0.2,     0.6782185, , 
            0,     0.6919744, ,             0,     0.6919744, ,             0,     0.6919744, , 
          0.2,     0.7057143, ,           0.2,     0.7057143, ,           0.2,     0.7057143, , 
          0.4,     0.7194378, ,           0.4,     0.7194378, ,           0.4,     0.7194378, , 
          0.6,     0.7331443, ,           0.6,     0.7331443, ,           0.6,     0.7331443, , 
          0.8,     0.7468336, ,           0.8,     0.7468336, ,           0.8,     0.7468336, , 
            1,     0.7605053, ,             1,     0.7605053, ,             1,     0.7605053, , 
          1.2,      0.774159, ,           1.2,      0.774159, ,           1.2,      0.774159, , 
          1.4,     0.7877943, ,           1.4,     0.7877943, ,           1.4,     0.7877943, , 
          1.6,     0.8014108, ,           1.6,     0.8014108, ,           1.6,     0.8014108, , 
          1.8,     0.8150081, ,           1.8,     0.8150081, ,           1.8,     0.8150081, , 
            2,     0.8285859, ,             2,     0.8285859, ,             2,     0.8285859, , 
          2.2,     0.8421438, ,           2.2,     0.8421438, ,           2.2,     0.8421438, , 
          2.4,     0.8556813, ,           2.4,     0.8556813, ,           2.4,     0.8556813, , 
          2.6,     0.8691982, ,           2.6,     0.8691982, ,           2.6,     0.8691982, , 
          2.8,     0.8826941, ,           2.8,     0.8826941, ,           2.8,     0.8826941, , 
            3,     0.8961685, ,             3,     0.8961685, ,             3,     0.8961685, , 
          3.2,     0.9096212, ,           3.2,     0.9096212, ,           3.2,     0.9096212, , 
          3.4,     0.9230517, ,           3.4,     0.9230517, ,           3.4,     0.9230517, , 
          3.6,     0.9364596, ,           3.6,     0.9364596, ,           3.6,     0.9364596, , 
          3.8,     0.9498447, ,           3.8,     0.9498447, ,           3.8,     0.9498447, , 
            4,     0.9632065, ,             4,     0.9632065, ,             4,     0.9632065, , 
          4.2,     0.9765447, ,           4.2,     0.9765447, ,           4.2,     0.9765447, , 
          4.4,     0.9898589, ,           4.4,     0.9898589, ,           4.4,     0.9898589, , 
          4.6,      1.003149, ,           4.6,      1.003149, ,           4.6,      1.003149, , 
          4.8,      1.016414, ,           4.8,      1.016414, ,           4.8,      1.016414, , 
            5,      1.029654, ,             5,      1.029654, ,             5,      1.029654, , 
          5.2,      1.042869, ,           5.2,      1.042869, ,           5.2,      1.042869, , 

