Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      6.887015, ,            -1,      6.810166, ,            -1,      6.649692, ,            -1,      6.540539, ,            -1,      8.489017, ,            -1,      8.324392, ,            -1,      6.506006, ,            -1,      6.439355, ,            -1,      6.424897, ,            -1,       6.39417, ,            -1,      6.319731, ,            -1,      6.256864, ,            -1,      6.224599, ,            -1,      6.206246, ,            -1,      8.046818, ,            -1,      7.572465, ,            -1,      7.331739, ,            -1,       7.15606, ,            -1,      7.109632, , 
         -0.8,        6.7813, ,          -0.8,      6.693169, ,          -0.8,      6.527525, ,          -0.8,      6.417051, ,          -0.8,      8.408887, ,          -0.8,      8.245573, ,          -0.8,      6.382228, ,          -0.8,      6.317995, ,          -0.8,       6.30495, ,          -0.8,      6.277226, ,          -0.8,      6.211371, ,          -0.8,      6.155897, ,          -0.8,      6.127049, ,          -0.8,      6.109959, ,          -0.8,      7.970214, ,          -0.8,      7.498806, ,          -0.8,      7.253388, ,          -0.8,      7.074179, ,          -0.8,      7.023879, , 
         -0.6,      6.693555, ,          -0.6,       6.59708, ,          -0.6,      6.416604, ,          -0.6,      6.309362, ,          -0.6,      8.336047, ,          -0.6,       8.17418, ,          -0.6,      6.275757, ,          -0.6,      6.213242, ,          -0.6,      6.200784, ,          -0.6,      6.174308, ,          -0.6,      6.115928, ,          -0.6,      6.067254, ,          -0.6,      6.041658, ,          -0.6,      6.025983, ,          -0.6,      7.901266, ,          -0.6,      7.433345, ,          -0.6,       7.18461, ,          -0.6,      7.002908, ,          -0.6,       6.94996, , 
         -0.4,       6.62176, ,          -0.4,      6.520697, ,          -0.4,      6.332686, ,          -0.4,      6.218259, ,          -0.4,       8.27124, ,          -0.4,      8.110699, ,          -0.4,      6.186125, ,          -0.4,       6.12832, ,          -0.4,      6.116327, ,          -0.4,       6.09084, ,          -0.4,      6.035025, ,          -0.4,      5.988537, ,          -0.4,      5.964455, ,          -0.4,      5.950351, ,          -0.4,      7.840026, ,          -0.4,      7.375405, ,          -0.4,      7.124444, ,          -0.4,      6.941075, ,          -0.4,      6.886502, , 
         -0.2,      6.562041, ,          -0.2,      6.458722, ,          -0.2,      6.264265, ,          -0.2,      6.145676, ,          -0.2,      8.213537, ,          -0.2,       8.05426, ,          -0.2,      6.111933, ,          -0.2,      6.051386, ,          -0.2,      6.039073, ,          -0.2,      6.012906, ,          -0.2,      5.962292, ,          -0.2,      5.920944, ,          -0.2,       5.89958, ,          -0.2,      5.887166, ,          -0.2,      7.785722, ,          -0.2,      7.324348, ,          -0.2,      7.072054, ,          -0.2,      6.887682, ,          -0.2,      6.832042, , 
            0,      6.512316, ,             0,      6.408227, ,             0,      6.211998, ,             0,      6.091226, ,             0,      8.162523, ,             0,      8.004408, ,             0,      6.054578, ,             0,      5.990693, ,             0,      5.979194, ,             0,      5.954758, ,             0,      5.907566, ,             0,      5.869025, ,             0,      5.849197, ,             0,      5.837829, ,             0,      7.737832, ,             0,      7.279511, ,             0,      7.026539, ,             0,      6.841654, ,             0,      6.785361, , 
          0.2,      6.470593, ,           0.2,      6.365584, ,           0.2,      6.170118, ,           0.2,      6.047733, ,           0.2,      8.117318, ,           0.2,      7.960335, ,           0.2,      6.010838, ,           0.2,       5.94581, ,           0.2,      5.933581, ,           0.2,      5.907592, ,           0.2,      5.862728, ,           0.2,      5.826818, ,           0.2,      5.808239, ,           0.2,      5.797401, ,           0.2,       7.69567, ,           0.2,      7.240372, ,           0.2,      6.987104, ,           0.2,      6.801995, ,           0.2,      6.745363, , 
          0.4,      6.436292, ,           0.4,      6.331488, ,           0.4,      6.135367, ,           0.4,      6.011114, ,           0.4,      8.077103, ,           0.4,      7.921311, ,           0.4,      5.973936, ,           0.4,       5.90938, ,           0.4,      5.897517, ,           0.4,      5.872304, ,           0.4,      5.828024, ,           0.4,      5.792465, ,           0.4,      5.774082, ,           0.4,      5.763384, ,           0.4,      7.658657, ,           0.4,      7.206576, ,           0.4,      6.953298, ,           0.4,      6.768178, ,           0.4,      6.711445, , 
          0.6,      6.408153, ,           0.6,      6.303725, ,           0.6,      6.110898, ,           0.6,      5.986832, ,           0.6,      8.043385, ,           0.6,      7.888503, ,           0.6,      5.949311, ,           0.6,      5.884604, ,           0.6,        5.8729, ,           0.6,      5.848026, ,           0.6,      5.804734, ,           0.6,      5.770028, ,           0.6,      5.752399, ,           0.6,      5.742699, ,           0.6,      7.627387, ,           0.6,      7.177798, ,           0.6,      6.924769, ,           0.6,       6.73983, ,           0.6,      6.683116, , 
          0.8,      6.385481, ,           0.8,       6.28215, ,           0.8,      6.088765, ,           0.8,      5.969305, ,           0.8,      8.014313, ,           0.8,      7.860348, ,           0.8,       5.93235, ,           0.8,      5.866908, ,           0.8,      5.854869, ,           0.8,      5.829284, ,           0.8,       5.78803, ,           0.8,      5.755457, ,           0.8,      5.738948, ,           0.8,       5.72993, ,           0.8,      7.600782, ,           0.8,      7.153729, ,           0.8,      6.901132, ,           0.8,      6.716509, ,           0.8,      6.659858, , 
