Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, ,             1,     0.7203957, , 
          1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, ,           1.2,      0.733212, , 
          1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, ,           1.4,     0.7460101, , 
          1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, ,           1.6,     0.7587895, , 
          1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, ,           1.8,       0.77155, , 
            2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, ,             2,     0.7842912, , 
          2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, ,           2.2,     0.7970126, , 
          2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, ,           2.4,     0.8097139, , 
          2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, ,           2.6,     0.8223948, , 
          2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, ,           2.8,     0.8350548, , 
