Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      8.135279, ,            -1,      7.966949, ,            -1,       9.43844, ,            -1,      7.840791, ,            -1,      7.777373, ,            -1,      7.763527, ,            -1,      7.645548, ,            -1,      7.568865, ,            -1,      7.528867, ,            -1,       9.15651, ,            -1,        8.6791, ,            -1,      8.316743, ,            -1,      8.285215, , 
         -0.8,      8.021159, ,          -0.8,      7.837047, ,          -0.8,      9.346469, ,          -0.8,      7.706091, ,          -0.8,      7.641455, ,          -0.8,      7.626972, ,          -0.8,      7.505886, ,          -0.8,       7.42789, ,          -0.8,      7.387358, ,          -0.8,      9.065618, ,          -0.8,      8.589044, ,          -0.8,      8.214618, ,          -0.8,      8.181139, , 
         -0.6,       7.91121, ,          -0.6,      7.711962, ,          -0.6,      9.262465, ,          -0.6,      7.577715, ,          -0.6,      7.511675, ,          -0.6,      7.496333, ,          -0.6,      7.372874, ,          -0.6,      7.294837, ,          -0.6,      7.255058, ,          -0.6,      8.982981, ,          -0.6,      8.507689, ,          -0.6,      8.121007, ,          -0.6,      8.084782, , 
         -0.4,      7.805823, ,          -0.4,      7.592529, ,          -0.4,      9.187649, ,          -0.4,       7.45513, ,          -0.4,      7.387728, ,          -0.4,      7.372078, ,          -0.4,      7.251144, ,          -0.4,      7.176318, ,          -0.4,      7.138791, ,          -0.4,      8.909159, ,          -0.4,      8.434602, ,          -0.4,      8.036289, ,          -0.4,      7.996506, , 
         -0.2,      7.706639, ,          -0.2,      7.478688, ,          -0.2,      9.118906, ,          -0.2,      7.338111, ,          -0.2,      7.270766, ,          -0.2,      7.254573, ,          -0.2,      7.140396, ,          -0.2,      7.073424, ,          -0.2,      7.039445, ,          -0.2,      8.842032, ,          -0.2,      8.369305, ,          -0.2,      7.960729, ,          -0.2,      7.916895, , 
            0,       7.61795, ,             0,      7.374453, ,             0,       9.05836, ,             0,       7.23093, ,             0,      7.166988, ,             0,      7.153672, ,             0,       7.05467, ,             0,      6.994723, ,             0,      6.963628, ,             0,      8.782705, ,             0,      8.311318, ,             0,      7.894402, ,             0,      7.846777, , 
          0.2,      7.542291, ,           0.2,      7.284214, ,           0.2,      9.003387, ,           0.2,       7.13967, ,           0.2,      7.076696, ,           0.2,      7.064286, ,           0.2,      6.975173, ,           0.2,      6.922315, ,           0.2,      6.894489, ,           0.2,      8.729385, ,           0.2,      8.260178, ,           0.2,      7.836898, ,           0.2,      7.786343, , 
          0.4,      7.480563, ,           0.4,      7.207611, ,           0.4,      8.954518, ,           0.4,      7.067019, ,           0.4,      7.007149, ,           0.4,      6.995576, ,           0.4,      6.912643, ,           0.4,      6.863513, ,           0.4,      6.837775, ,           0.4,      8.682208, ,           0.4,      8.215373, ,           0.4,      7.787493, ,           0.4,      7.734927, , 
          0.6,      7.429815, ,           0.6,      7.144933, ,           0.6,      8.909605, ,           0.6,      6.998807, ,           0.6,      6.939515, ,           0.6,      6.927126, ,           0.6,      6.845695, ,           0.6,      6.800108, ,           0.6,      6.776447, ,           0.6,      8.639664, ,           0.6,      8.176385, ,           0.6,      7.745297, ,           0.6,      7.691391, , 
          0.8,       7.38866, ,           0.8,      7.094903, ,           0.8,      8.871371, ,           0.8,      6.944268, ,           0.8,       6.88367, ,           0.8,       6.87185, ,           0.8,      6.794934, ,           0.8,      6.752181, ,           0.8,      6.730135, ,           0.8,      8.603281, ,           0.8,      8.142806, ,           0.8,      7.709569, ,           0.8,      7.654728, , 
            1,      7.355095, ,             1,      7.058289, ,             1,      8.837727, ,             1,      6.901307, ,             1,      6.839087, ,             1,      6.826881, ,             1,      6.751778, ,             1,      6.711753, ,             1,      6.691199, ,             1,      8.571607, ,             1,       8.11419, ,             1,      7.679648, ,             1,      7.624192, , 
          1.2,      7.328391, ,           1.2,      7.030499, ,           1.2,        8.8094, ,           1.2,      6.871158, ,           1.2,      6.808534, ,           1.2,      6.796877, ,           1.2,       6.72413, ,           1.2,      6.684931, ,           1.2,      6.665068, ,           1.2,      8.544955, ,           1.2,      8.090166, ,           1.2,      7.654916, ,           1.2,      7.599096, , 
          1.4,      7.307169, ,           1.4,      7.010174, ,           1.4,      8.785764, ,           1.4,      6.848873, ,           1.4,       6.78292, ,           1.4,      6.770637, ,           1.4,      6.700041, ,           1.4,      6.664515, ,           1.4,      6.646225, ,           1.4,      8.522828, ,           1.4,      8.070433, ,           1.4,      7.634886, ,           1.4,      7.578864, , 
