Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      4.130327, ,            -1,      4.028199, ,            -1,      3.843334, ,            -1,      3.726478, ,            -1,      5.744899, ,            -1,      5.594601, ,            -1,        3.6905, ,            -1,      3.628235, ,            -1,        3.6171, ,            -1,      3.593437, ,            -1,      3.558973, ,            -1,      3.532367, ,            -1,      3.518692, ,            -1,      3.510875, ,            -1,      5.341295, ,            -1,      4.904275, ,            -1,        4.6505, ,            -1,      4.465053, ,            -1,      4.407634, , 
         -0.8,      4.089981, ,          -0.8,      3.991404, ,          -0.8,      3.812867, ,          -0.8,      3.699913, ,          -0.8,      5.692551, ,          -0.8,      5.543332, ,          -0.8,       3.66438, ,          -0.8,      3.602592, ,          -0.8,      3.591657, ,          -0.8,      3.568419, ,          -0.8,      3.535361, ,          -0.8,      3.509984, ,          -0.8,      3.497158, ,          -0.8,      3.490215, ,          -0.8,      5.291845, ,          -0.8,      4.857931, ,          -0.8,      4.605662, ,          -0.8,      4.421321, ,          -0.8,      4.364348, , 
         -0.6,      4.055364, ,          -0.6,      3.960178, ,          -0.6,       3.78844, ,          -0.6,       3.67805, ,          -0.6,      5.646008, ,          -0.6,       5.49781, ,          -0.6,      3.643395, ,          -0.6,      3.583151, ,          -0.6,      3.572388, ,          -0.6,      3.549517, ,          -0.6,      3.518155, ,          -0.6,      3.494298, ,          -0.6,      3.482205, ,          -0.6,      3.475597, ,          -0.6,      5.248048, ,          -0.6,      4.817101, ,          -0.6,      4.566453, ,          -0.6,      4.383301, ,          -0.6,      4.326785, , 
         -0.4,      4.027067, ,          -0.4,      3.935046, ,          -0.4,      3.768935, ,          -0.4,      3.661661, ,          -0.4,      5.605843, ,          -0.4,      5.458435, ,          -0.4,      3.627728, ,          -0.4,      3.570342, ,          -0.4,      3.560842, ,          -0.4,      3.540655, ,          -0.4,      3.510763, ,          -0.4,      3.487598, ,          -0.4,       3.47579, ,          -0.4,      3.469214, ,          -0.4,      5.210007, ,          -0.4,      4.781415, ,          -0.4,      4.532479, ,          -0.4,       4.35059, ,          -0.4,      4.294734, , 
         -0.2,      4.004841, ,          -0.2,      3.915157, ,          -0.2,      3.754451, ,          -0.2,      3.650903, ,          -0.2,      5.570442, ,          -0.2,      5.423829, ,          -0.2,      3.618183, ,          -0.2,      3.562265, ,          -0.2,      3.552723, ,          -0.2,      3.532447, ,          -0.2,      3.503776, ,          -0.2,        3.4818, ,          -0.2,      3.470558, ,          -0.2,      3.464229, ,          -0.2,      5.176741, ,          -0.2,       4.75053, ,          -0.2,      4.503433, ,          -0.2,      4.322907, ,          -0.2,      4.267951, , 
            0,      3.988388, ,             0,      3.901733, ,             0,      3.744465, ,             0,      3.644387, ,             0,      5.540283, ,             0,      5.394332, ,             0,      3.613602, ,             0,       3.56059, ,             0,      3.551196, ,             0,      3.531232, ,             0,      3.502141, ,             0,       3.47968, ,             0,      3.468379, ,             0,      3.462355, ,             0,      5.148363, ,             0,       4.72418, ,             0,      4.478934, ,             0,      4.299785, ,             0,       4.24592, , 
          0.2,      3.976259, ,           0.2,      3.892297, ,           0.2,      3.739694, ,           0.2,      3.641531, ,           0.2,        5.5149, ,           0.2,      5.369492, ,           0.2,      3.610675, ,           0.2,      3.557198, ,           0.2,      3.547748, ,           0.2,      3.527664, ,           0.2,      3.499906, ,           0.2,      3.478748, ,           0.2,      3.468087, ,           0.2,      3.462379, ,           0.2,      5.124437, ,           0.2,      4.701949, ,           0.2,      4.458485, ,           0.2,      4.280667, ,           0.2,       4.22797, , 
          0.4,      3.967644, ,           0.4,      3.886298, ,           0.4,      3.738326, ,           0.4,      3.642615, ,           0.4,       5.49414, ,           0.4,      5.349133, ,           0.4,      3.611901, ,           0.4,      3.558576, ,           0.4,      3.549292, ,           0.4,      3.529562, ,           0.4,      3.502563, ,           0.4,      3.482037, ,           0.4,      3.471719, ,           0.4,      3.466241, ,           0.4,      5.104756, ,           0.4,      4.683567, ,           0.4,      4.441769, ,           0.4,      4.265198, ,           0.4,      4.213648, , 
          0.6,       3.96215, ,           0.6,      3.883242, ,           0.6,      3.739681, ,           0.6,      3.645362, ,           0.6,      5.477737, ,           0.6,      5.332994, ,           0.6,      3.615163, ,           0.6,      3.562858, ,           0.6,      3.553727, ,           0.6,      3.534324, ,           0.6,      3.507872, ,           0.6,       3.48778, ,           0.6,      3.477751, ,           0.6,      3.472553, ,           0.6,      5.089062, ,           0.6,      4.668801, ,           0.6,      4.428677, ,           0.6,      4.253354, ,           0.6,      4.202866, , 
          0.8,      3.959482, ,           0.8,      3.882792, ,           0.8,      3.742627, ,           0.8,      3.650336, ,           0.8,      5.465484, ,           0.8,      5.320858, ,           0.8,       3.62078, ,           0.8,      3.569446, ,           0.8,      3.560429, ,           0.8,      3.541267, ,           0.8,      3.515774, ,           0.8,      3.496533, ,           0.8,      3.486859, ,           0.8,      3.481718, ,           0.8,      5.077125, ,           0.8,      4.657395, ,           0.8,       4.41891, ,           0.8,      4.244807, ,           0.8,      4.195305, , 
            1,      3.959519, ,             1,        3.8847, ,             1,      3.747511, ,             1,      3.657244, ,             1,      5.457277, ,             1,      5.312612, ,             1,       3.62838, ,             1,      3.578137, ,             1,       3.56926, ,             1,      3.550396, ,             1,      3.526266, ,             1,      3.508246, ,             1,      3.498978, ,             1,       3.49367, ,             1,      5.068812, ,             1,      4.649185, ,             1,      4.412308, ,             1,        4.2394, ,             1,      4.190821, , 
          1.2,      3.962469, ,           1.2,      3.889363, ,           1.2,      3.755036, ,           1.2,      3.666479, ,           1.2,      5.452946, ,           1.2,       5.30809, ,           1.2,      3.638084, ,           1.2,      3.589454, ,           1.2,       3.58123, ,           1.2,      3.563754, ,           1.2,      3.540246, ,           1.2,      3.522452, ,           1.2,      3.513239, ,           1.2,      3.507852, ,           1.2,      5.063969, ,           1.2,      4.644034, ,           1.2,      4.408737, ,           1.2,      4.237004, ,           1.2,      4.189337, , 
          1.4,       3.96789, ,           1.4,      3.895681, ,           1.4,      3.764582, ,           1.4,      3.678199, ,           1.4,      5.452218, ,           1.4,      5.307039, ,           1.4,      3.650543, ,           1.4,      3.602881, ,           1.4,      3.594647, ,           1.4,      3.577149, ,           1.4,      3.554334, ,           1.4,      3.537206, ,           1.4,      3.528295, ,           1.4,      3.523005, ,           1.4,      5.062373, ,           1.4,      4.641767, ,           1.4,      4.408003, ,           1.4,      4.237411, ,           1.4,      4.190638, , 
          1.6,      3.975821, ,           1.6,      3.904782, ,           1.6,      3.775122, ,           1.6,      3.691665, ,           1.6,      5.454959, ,           1.6,      5.309315, ,           1.6,      3.664772, ,           1.6,      3.618036, ,           1.6,       3.60994, ,           1.6,      3.592734, ,           1.6,      3.570094, ,           1.6,      3.553056, ,           1.6,       3.54425, ,           1.6,      3.539128, ,           1.6,      5.063865, ,           1.6,      4.642201, ,           1.6,       4.40994, ,           1.6,      4.240465, ,           1.6,      4.194546, , 
          1.8,      3.985834, ,           1.8,      3.916061, ,           1.8,      3.788749, ,           1.8,      3.705297, ,           1.8,      5.460835, ,           1.8,      5.314627, ,           1.8,      3.679309, ,           1.8,      3.634483, ,           1.8,      3.626522, ,           1.8,      3.609606, ,           1.8,      3.586193, ,           1.8,      3.568341, ,           1.8,       3.55927, ,           1.8,      3.554273, ,           1.8,      5.068225, ,           1.8,      4.645234, ,           1.8,      4.414469, ,           1.8,      4.246102, ,           1.8,      4.200936, , 
