Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,     0.6290484, ,            -5,     0.6290484, ,            -5,     0.6290484, ,            -5,     0.6290484, ,            -5,     0.6290484, , 
         -4.8,     0.6392255, ,          -4.8,     0.6392255, ,          -4.8,     0.6392255, ,          -4.8,     0.6392255, ,          -4.8,     0.6392255, , 
         -4.6,     0.6493867, ,          -4.6,     0.6493867, ,          -4.6,     0.6493867, ,          -4.6,     0.6493867, ,          -4.6,     0.6493867, , 
         -4.4,     0.6595316, ,          -4.4,     0.6595316, ,          -4.4,     0.6595316, ,          -4.4,     0.6595316, ,          -4.4,     0.6595316, , 
         -4.2,       0.66966, ,          -4.2,       0.66966, ,          -4.2,       0.66966, ,          -4.2,       0.66966, ,          -4.2,       0.66966, , 
           -4,     0.6797714, ,            -4,     0.6797714, ,            -4,     0.6797714, ,            -4,     0.6797714, ,            -4,     0.6797714, , 
         -3.8,     0.6898654, ,          -3.8,     0.6898654, ,          -3.8,     0.6898654, ,          -3.8,     0.6898654, ,          -3.8,     0.6898654, , 
         -3.6,     0.6999418, ,          -3.6,     0.6999418, ,          -3.6,     0.6999418, ,          -3.6,     0.6999418, ,          -3.6,     0.6999418, , 
         -3.4,     0.7100001, ,          -3.4,     0.7100001, ,          -3.4,     0.7100001, ,          -3.4,     0.7100001, ,          -3.4,     0.7100001, , 
         -3.2,     0.7200401, ,          -3.2,     0.7200401, ,          -3.2,     0.7200401, ,          -3.2,     0.7200401, ,          -3.2,     0.7200401, , 
           -3,     0.7300613, ,            -3,     0.7300613, ,            -3,     0.7300613, ,            -3,     0.7300613, ,            -3,     0.7300613, , 
         -2.8,     0.7400634, ,          -2.8,     0.7400634, ,          -2.8,     0.7400634, ,          -2.8,     0.7400634, ,          -2.8,     0.7400634, , 
         -2.6,     0.7500461, ,          -2.6,     0.7500461, ,          -2.6,     0.7500461, ,          -2.6,     0.7500461, ,          -2.6,     0.7500461, , 
         -2.4,     0.7600091, ,          -2.4,     0.7600091, ,          -2.4,     0.7600091, ,          -2.4,     0.7600091, ,          -2.4,     0.7600091, , 
         -2.2,     0.7699519, ,          -2.2,     0.7699519, ,          -2.2,     0.7699519, ,          -2.2,     0.7699519, ,          -2.2,     0.7699519, , 
           -2,     0.7798742, ,            -2,     0.7798742, ,            -2,     0.7798742, ,            -2,     0.7798742, ,            -2,     0.7798742, , 
         -1.8,     0.7897757, ,          -1.8,     0.7897757, ,          -1.8,     0.7897757, ,          -1.8,     0.7897757, ,          -1.8,     0.7897757, , 
         -1.6,     0.7996561, ,          -1.6,     0.7996561, ,          -1.6,     0.7996561, ,          -1.6,     0.7996561, ,          -1.6,     0.7996561, , 
         -1.4,     0.8095149, ,          -1.4,     0.8095149, ,          -1.4,     0.8095149, ,          -1.4,     0.8095149, ,          -1.4,     0.8095149, , 
         -1.2,      0.819352, ,          -1.2,      0.819352, ,          -1.2,      0.819352, ,          -1.2,      0.819352, ,          -1.2,      0.819352, , 
           -1,     0.8291668, ,            -1,     0.8291668, ,            -1,     0.8291668, ,            -1,     0.8291668, ,            -1,     0.8291668, , 
         -0.8,     0.8389592, ,          -0.8,     0.8389592, ,          -0.8,     0.8389592, ,          -0.8,     0.8389592, ,          -0.8,     0.8389592, , 
         -0.6,     0.8487288, ,          -0.6,     0.8487288, ,          -0.6,     0.8487288, ,          -0.6,     0.8487288, ,          -0.6,     0.8487288, , 
         -0.4,     0.8584751, ,          -0.4,     0.8584751, ,          -0.4,     0.8584751, ,          -0.4,     0.8584751, ,          -0.4,     0.8584751, , 
         -0.2,      0.868198, ,          -0.2,      0.868198, ,          -0.2,      0.868198, ,          -0.2,      0.868198, ,          -0.2,      0.868198, , 
            0,      0.877897, ,             0,      0.877897, ,             0,      0.877897, ,             0,      0.877897, ,             0,      0.877897, , 
          0.2,     0.8875719, ,           0.2,     0.8875719, ,           0.2,     0.8875719, ,           0.2,     0.8875719, ,           0.2,     0.8875719, , 
          0.4,     0.8972224, ,           0.4,     0.8972224, ,           0.4,     0.8972224, ,           0.4,     0.8972224, ,           0.4,     0.8972224, , 
          0.6,      0.906848, ,           0.6,      0.906848, ,           0.6,      0.906848, ,           0.6,      0.906848, ,           0.6,      0.906848, , 
