Alpha,T1-15.8 m/s-VLM2, , 
           -2,     0.1460614, , 
         -1.8,     0.1592437, , 
         -1.6,     0.1724226, , 
         -1.4,     0.1855978, , 
         -1.2,     0.1987689, , 
           -1,     0.2119353, , 
         -0.8,     0.2250968, , 
         -0.6,     0.2382529, , 
         -0.4,     0.2514032, , 
         -0.2,     0.2645473, , 
            0,     0.2776848, , 
          0.2,     0.2908153, , 
          0.4,     0.3039383, , 
          0.6,     0.3170535, , 
          0.8,     0.3301604, , 
            1,     0.3432587, , 
          1.2,     0.3563479, , 
          1.4,     0.3694276, , 
          1.6,     0.3824975, , 
          1.8,     0.3955571, , 
            2,      0.408606, , 
          2.2,     0.4216438, , 
          2.4,     0.4346701, , 
          2.6,     0.4476846, , 
          2.8,     0.4606867, , 
            3,     0.4736762, , 
          3.2,     0.4866526, , 
          3.4,     0.4996155, , 
          3.6,     0.5125645, , 
          3.8,     0.5254993, , 
            4,     0.5384194, , 
          4.2,     0.5513244, , 
          4.4,      0.564214, , 
          4.6,     0.5770877, , 
          4.8,     0.5899452, , 
            5,     0.6027861, , 
          5.2,       0.61561, , 
          5.4,     0.6284165, , 
          5.6,     0.6412051, , 
          5.8,     0.6539757, , 

