Alpha,T1-15.8 m/s-VLM2, , 
           -1,       8.56294, , 
         -0.8,      7.618739, , 
         -0.6,      6.909755, , 
         -0.4,      6.411328, , 
         -0.2,      6.064137, , 
            0,       5.84884, , 
          0.2,      5.705563, , 
          0.4,      5.594775, , 
          0.6,      5.530455, , 
          0.8,       5.52853, , 
            1,      5.481128, , 
          1.2,        5.4755, , 
          1.4,       5.48832, , 
          1.6,      5.509408, , 
          1.8,      5.547066, , 
            2,      5.584906, , 
          2.2,      5.639726, , 
          2.4,      5.706419, , 
          2.6,      5.772194, , 
          2.8,       5.84796, , 
            3,      5.933443, , 
          3.2,      6.024646, , 
          3.4,      6.120147, , 
          3.6,      6.218809, , 
          3.8,       6.32512, , 
            4,      6.436871, , 
          4.2,      6.552477, , 
          4.4,      6.672329, , 
          4.6,      6.793049, , 
          4.8,      6.919623, , 
            5,      7.051405, , 
          5.2,      7.187621, , 
          5.4,      7.328496, , 
          5.6,      7.474167, , 
          5.8,      7.619932, , 
            6,      7.767342, , 
          6.2,      8.016251, , 
          6.4,      8.250167, , 
          6.6,      8.426871, , 
          6.8,       8.59058, , 
            7,      8.793928, , 

