Alpha,T1-15.8 m/s-VLM2, , 
           -2,      8.371473, , 
         -1.8,      8.706809, , 
         -1.6,      9.023282, , 
         -1.4,      9.315159, , 
         -1.2,      9.589359, , 
           -1,      9.826862, , 
         -0.8,      10.03406, , 
         -0.6,      10.21747, , 
         -0.4,      10.37885, , 
         -0.2,      10.50799, , 
            0,      10.61094, , 
          0.2,      10.69705, , 
          0.4,      10.76175, , 
          0.6,      10.80643, , 
          0.8,      10.83245, , 
            1,      10.84461, , 
          1.2,      10.84583, , 
          1.4,      10.83297, , 
          1.6,      10.80822, , 
          1.8,      10.77624, , 
            2,      10.73752, , 
          2.2,      10.69233, , 
          2.4,      10.64171, , 
          2.6,       10.5859, , 
          2.8,      10.52607, , 
            3,      10.46327, , 
          3.2,      10.39834, , 
          3.4,      10.33085, , 
          3.6,      10.26078, , 
          3.8,      10.18883, , 
            4,      10.11549, , 
          4.2,      10.04112, , 
          4.4,      9.966047, , 
          4.6,      9.890358, , 
          4.8,      9.814273, , 
            5,      9.737942, , 
          5.2,      9.661559, , 
          5.4,       9.58516, , 
          5.6,       9.50888, , 
          5.8,      9.432791, , 
            6,      9.357012, , 
          6.2,      9.281583, , 
          6.4,      9.206542, , 
          6.6,      9.131935, , 
          6.8,       9.05785, , 
            7,      8.984311, , 
          7.2,      8.911334, , 
          7.4,      8.838969, , 
          7.6,      8.767253, , 
          7.8,      8.696187, , 
            8,      8.625845, , 

