Alpha,T1-15.8 m/s-VLM2, , 
           -1,      4.298764, , 
         -0.8,      4.274557, , 
         -0.6,      4.253861, , 
         -0.4,      4.236403, , 
         -0.2,      4.221898, , 
            0,      4.210003, , 
          0.2,       4.20047, , 
          0.4,      4.193095, , 
          0.6,      4.187767, , 
          0.8,      4.184426, , 
            1,      4.182891, , 
          1.2,      4.183088, , 
          1.4,      4.185151, , 
          1.6,      4.189053, , 
          1.8,      4.194602, , 
            2,      4.201796, , 
          2.2,       4.21066, , 
          2.4,      4.221225, , 
          2.6,      4.233452, , 
          2.8,      4.247319, , 
            3,      4.262785, , 
          3.2,      4.279811, , 
          3.4,      4.298338, , 
          3.6,      4.318299, , 
          3.8,      4.339655, , 
            4,      4.362291, , 
          4.2,      4.386142, , 
          4.4,      4.411105, , 
          4.6,       4.43717, , 
          4.8,      4.464318, , 
            5,      4.492519, , 
          5.2,      4.521741, , 
          5.4,      4.552042, , 
          5.6,      4.583502, , 
          5.8,      4.616262, , 
            6,      4.650448, , 

