Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
          3.6,     0.8538916, ,           3.6,     0.8538916, ,           3.6,     0.8538916, ,           3.6,     0.8538916, ,           3.6,     0.8538916, , 
          3.8,     0.8634966, ,           3.8,     0.8634966, ,           3.8,     0.8634966, ,           3.8,     0.8634966, ,           3.8,     0.8634966, , 
            4,     0.8730765, ,             4,     0.8730765, ,             4,     0.8730765, ,             4,     0.8730765, ,             4,     0.8730765, , 
          4.2,     0.8826312, ,           4.2,     0.8826312, ,           4.2,     0.8826312, ,           4.2,     0.8826312, ,           4.2,     0.8826312, , 
          4.4,     0.8921603, ,           4.4,     0.8921603, ,           4.4,     0.8921603, ,           4.4,     0.8921603, ,           4.4,     0.8921603, , 
          4.6,     0.9016635, ,           4.6,     0.9016635, ,           4.6,     0.9016635, ,           4.6,     0.9016635, ,           4.6,     0.9016635, , 
          4.8,     0.9111404, ,           4.8,     0.9111404, ,           4.8,     0.9111404, ,           4.8,     0.9111404, ,           4.8,     0.9111404, , 
            5,     0.9205908, ,             5,     0.9205908, ,             5,     0.9205908, ,             5,     0.9205908, ,             5,     0.9205908, , 
          5.2,     0.9300144, ,           5.2,     0.9300144, ,           5.2,     0.9300144, ,           5.2,     0.9300144, ,           5.2,     0.9300144, , 
          5.4,     0.9394108, ,           5.4,     0.9394108, ,           5.4,     0.9394108, ,           5.4,     0.9394108, ,           5.4,     0.9394108, , 
          5.6,     0.9487798, ,           5.6,     0.9487798, ,           5.6,     0.9487798, ,           5.6,     0.9487798, ,           5.6,     0.9487798, , 
          5.8,     0.9581211, ,           5.8,     0.9581211, ,           5.8,     0.9581211, ,           5.8,     0.9581211, ,           5.8,     0.9581211, , 
            6,     0.9674344, ,             6,     0.9674344, ,             6,     0.9674344, ,             6,     0.9674344, ,             6,     0.9674344, , 
          6.2,     0.9767193, ,           6.2,     0.9767193, ,           6.2,     0.9767193, ,           6.2,     0.9767193, ,           6.2,     0.9767193, , 
          6.4,     0.9859756, ,           6.4,     0.9859756, ,           6.4,     0.9859756, ,           6.4,     0.9859756, ,           6.4,     0.9859756, , 
          6.6,     0.9952031, ,           6.6,     0.9952031, ,           6.6,     0.9952031, ,           6.6,     0.9952031, ,           6.6,     0.9952031, , 
          6.8,      1.004401, ,           6.8,      1.004401, ,           6.8,      1.004401, ,           6.8,      1.004401, ,           6.8,      1.004401, , 
            7,       1.01357, ,             7,       1.01357, ,             7,       1.01357, ,             7,       1.01357, ,             7,       1.01357, , 
          7.2,      1.022709, ,           7.2,      1.022709, ,           7.2,      1.022709, ,           7.2,      1.022709, ,           7.2,      1.022709, , 
          7.4,      1.031818, ,           7.4,      1.031818, ,           7.4,      1.031818, ,           7.4,      1.031818, ,           7.4,      1.031818, , 
          7.6,      1.040897, ,           7.6,      1.040897, ,           7.6,      1.040897, ,           7.6,      1.040897, ,           7.6,      1.040897, , 
          7.8,      1.049945, ,           7.8,      1.049945, ,           7.8,      1.049945, ,           7.8,      1.049945, ,           7.8,      1.049945, , 
            8,      1.058962, ,             8,      1.058962, ,             8,      1.058962, ,             8,      1.058962, ,             8,      1.058962, , 
          8.2,      1.067948, ,           8.2,      1.067948, , , , ,           8.2,      1.067948, ,           8.2,      1.067948, , 
          8.4,      1.076903, ,           8.4,      1.076903, , , , ,           8.4,      1.076903, ,           8.4,      1.076903, , 
          8.6,      1.085826, ,           8.6,      1.085826, , , , ,           8.6,      1.085826, ,           8.6,      1.085826, , 
          8.8,      1.094718, ,           8.8,      1.094718, , , , ,           8.8,      1.094718, ,           8.8,      1.094718, , 
            9,      1.103577, ,             9,      1.103577, , , , ,             9,      1.103577, ,             9,      1.103577, , 
          9.2,      1.112403, ,           9.2,      1.112403, , , , ,           9.2,      1.112403, ,           9.2,      1.112403, , 
          9.4,      1.121197, ,           9.4,      1.121197, , , , ,           9.4,      1.121197, ,           9.4,      1.121197, , 

