Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,     0.8665909, ,            -5,     0.8665909, ,            -5,     0.8665909, , 
         -4.8,      0.881574, ,          -4.8,      0.881574, ,          -4.8,      0.881574, , 
         -4.6,     0.8965392, ,          -4.6,     0.8965392, ,          -4.6,     0.8965392, , 
         -4.4,     0.9114862, ,          -4.4,     0.9114862, ,          -4.4,     0.9114862, , 
         -4.2,     0.9264146, ,          -4.2,     0.9264146, ,          -4.2,     0.9264146, , 
           -4,      0.941324, ,            -4,      0.941324, ,            -4,      0.941324, , 
         -3.8,      0.956214, ,          -3.8,      0.956214, ,          -3.8,      0.956214, , 
         -3.6,     0.9710841, ,          -3.6,     0.9710841, ,          -3.6,     0.9710841, , 
         -3.4,      0.985934, ,          -3.4,      0.985934, ,          -3.4,      0.985934, , 
         -3.2,      1.000763, ,          -3.2,      1.000763, ,          -3.2,      1.000763, , 
           -3,      1.015572, ,            -3,      1.015572, ,            -3,      1.015572, , 
         -2.8,      1.030359, ,          -2.8,      1.030359, ,          -2.8,      1.030359, , 
         -2.6,      1.045124, ,          -2.6,      1.045124, ,          -2.6,      1.045124, , 
         -2.4,      1.059866, ,          -2.4,      1.059866, ,          -2.4,      1.059866, , 
         -2.2,      1.074587, ,          -2.2,      1.074587, ,          -2.2,      1.074587, , 
           -2,      1.089284, ,            -2,      1.089284, ,            -2,      1.089284, , 
         -1.8,      1.103958, ,          -1.8,      1.103958, ,          -1.8,      1.103958, , 
         -1.6,      1.118608, ,          -1.6,      1.118608, ,          -1.6,      1.118608, , 
         -1.4,      1.133234, ,          -1.4,      1.133234, ,          -1.4,      1.133234, , 
         -1.2,      1.147836, ,          -1.2,      1.147836, ,          -1.2,      1.147836, , 
           -1,      1.162412, ,            -1,      1.162412, ,            -1,      1.162412, , 
         -0.8,      1.176964, ,          -0.8,      1.176964, ,          -0.8,      1.176964, , 
         -0.6,       1.19149, ,          -0.6,       1.19149, ,          -0.6,       1.19149, , 
         -0.4,      1.205989, ,          -0.4,      1.205989, ,          -0.4,      1.205989, , 
         -0.2,      1.220462, ,          -0.2,      1.220462, ,          -0.2,      1.220462, , 
            0,      1.234909, ,             0,      1.234909, ,             0,      1.234909, , 
          0.2,      1.249328, ,           0.2,      1.249328, ,           0.2,      1.249328, , 
          0.4,       1.26372, ,           0.4,       1.26372, ,           0.4,       1.26372, , 
          0.6,      1.278084, ,           0.6,      1.278084, ,           0.6,      1.278084, , 
          0.8,      1.292419, ,           0.8,      1.292419, ,           0.8,      1.292419, , 
            1,      1.306726, ,             1,      1.306726, ,             1,      1.306726, , 
          1.2,      1.321004, ,           1.2,      1.321004, ,           1.2,      1.321004, , 
          1.4,      1.335253, ,           1.4,      1.335253, ,           1.4,      1.335253, , 
          1.6,      1.349472, ,           1.6,      1.349472, ,           1.6,      1.349472, , 
          1.8,       1.36366, ,           1.8,       1.36366, ,           1.8,       1.36366, , 
            2,      1.377819, ,             2,      1.377819, ,             2,      1.377819, , 
          2.2,      1.391946, ,           2.2,      1.391946, ,           2.2,      1.391946, , 
          2.4,      1.406043, ,           2.4,      1.406043, ,           2.4,      1.406043, , 
          2.6,      1.420107, ,           2.6,      1.420107, ,           2.6,      1.420107, , 
          2.8,       1.43414, ,           2.8,       1.43414, ,           2.8,       1.43414, , 
            3,      1.448141, ,             3,      1.448141, ,             3,      1.448141, , 
          3.2,      1.462109, ,           3.2,      1.462109, ,           3.2,      1.462109, , 
          3.4,      1.476045, ,           3.4,      1.476045, ,           3.4,      1.476045, , 
          3.6,      1.489947, ,           3.6,      1.489947, ,           3.6,      1.489947, , 
          3.8,      1.503815, ,           3.8,      1.503815, ,           3.8,      1.503815, , 
            4,       1.51765, ,             4,       1.51765, ,             4,       1.51765, , 
          4.2,      1.531451, ,           4.2,      1.531451, ,           4.2,      1.531451, , 
          4.4,      1.545216, ,           4.4,      1.545216, , , , , 
          4.6,      1.558947, ,           4.6,      1.558947, , , , , 
          4.8,      1.572643, ,           4.8,      1.572643, , , , , 
, , ,             5,      1.586303, , , , , 
, , ,           5.2,      1.599927, , , , , 
, , ,           5.4,      1.613515, , , , , 

