Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      3.401027, ,            -1,      3.057919, ,            -1,      2.856253, ,            -1,       2.75397, ,            -1,      2.684183, ,            -1,      2.656891, ,            -1,      4.906162, ,            -1,      4.461942, ,            -1,      3.824573, , 
         -0.8,      3.022497, ,          -0.8,      2.722491, ,          -0.8,      2.546041, ,          -0.8,      2.456659, ,          -0.8,      2.395631, ,          -0.8,      2.371759, ,          -0.8,      4.339547, ,          -0.8,      3.950719, ,          -0.8,      3.392922, , 
         -0.6,      2.720277, ,          -0.6,      2.454869, ,          -0.6,      2.298643, ,          -0.6,      2.219603, ,          -0.6,      2.165611, ,          -0.6,       2.14448, ,          -0.6,      3.886434, ,          -0.6,       3.54206, ,          -0.6,      3.048117, , 
         -0.4,      2.474946, ,          -0.4,      2.237809, ,          -0.4,      2.098074, ,          -0.4,      2.027461, ,          -0.4,      1.979204, ,          -0.4,      1.960316, ,          -0.4,      3.517932, ,          -0.4,      3.209914, ,          -0.4,      2.768046, , 
         -0.2,      2.273093, ,          -0.2,       2.05933, ,          -0.2,      1.933252, ,          -0.2,      1.869594, ,          -0.2,       1.82608, ,          -0.2,      1.809042, ,          -0.2,      3.214177, ,          -0.2,      2.936257, ,          -0.2,       2.53743, , 
            0,      2.105079, ,             0,      1.910899, ,             0,      1.796302, ,             0,      1.738641, ,             0,      1.699294, ,             0,      1.683906, ,             0,      2.960785, ,             0,      2.708102, ,             0,       2.34532, , 
          0.2,      1.964369, ,           0.2,      1.787869, ,           0.2,      1.685004, ,           0.2,      1.633512, ,           0.2,      1.598913, ,           0.2,      1.585511, ,           0.2,      2.747559, ,           0.2,      2.516246, ,           0.2,      2.184016, , 
          0.4,      1.849652, ,           0.4,      1.688937, ,           0.4,      1.595074, ,           0.4,      1.549133, ,           0.4,      1.519652, ,           0.4,      1.507884, ,           0.4,      2.567331, ,           0.4,      2.354248, ,           0.4,      2.049341, , 
          0.6,      1.755271, ,           0.6,      1.610269, ,           0.6,      1.528992, ,           0.6,      1.495231, ,           0.6,      1.468021, ,           0.6,      1.457035, ,           0.6,      2.414805, ,           0.6,      2.218114, ,           0.6,      1.938334, , 
          0.8,       1.68496, ,           0.8,      1.559595, ,           0.8,      1.487097, ,           0.8,      1.457844, ,           0.8,      1.431896, ,           0.8,      1.419821, ,           0.8,      2.286893, ,           0.8,      2.105803, ,           0.8,      1.849317, , 
            1,      1.634495, ,             1,      1.524366, ,             1,      1.459034, ,             1,      1.434036, ,             1,      1.406917, ,             1,       1.39484, ,             1,      2.181058, ,             1,      2.015893, ,             1,      1.783002, , 
          1.2,      1.599227, ,           1.2,      1.502779, ,           1.2,      1.442425, ,           1.2,      1.418922, ,           1.2,      1.396618, ,           1.2,      1.385569, ,           1.2,      2.097843, ,           1.2,      1.947093, ,           1.2,      1.732703, , 
          1.4,      1.574881, ,           1.4,      1.487981, ,           1.4,      1.434938, ,           1.4,       1.40367, ,           1.4,      1.384231, ,           1.4,      1.375447, ,           1.4,      2.033502, ,           1.4,      1.893417, ,           1.4,      1.694896, , 
          1.6,      1.559676, ,           1.6,      1.475643, ,           1.6,      1.429479, ,           1.6,      1.400645, ,           1.6,      1.380316, ,           1.6,      1.371759, ,           1.6,      1.982375, ,           1.6,      1.851086, ,           1.6,      1.667452, , 
          1.8,      1.552101, ,           1.8,      1.473475, ,           1.8,      1.427057, ,           1.8,      1.398516, ,           1.8,      1.381001, ,           1.8,       1.37357, ,           1.8,      1.941246, ,           1.8,      1.817979, ,           1.8,      1.648626, , 
            2,      1.549953, ,             2,       1.47144, ,             2,      1.425564, ,             2,      1.401603, ,             2,      1.385427, ,             2,      1.380652, ,             2,      1.908527, ,             2,      1.791891, ,             2,      1.638269, , 
          2.2,      1.543212, ,           2.2,      1.473188, ,           2.2,      1.426884, ,           2.2,      1.411047, ,           2.2,       1.38656, ,           2.2,      1.383291, ,           2.2,      1.882007, ,           2.2,      1.771294, ,           2.2,       1.63244, , 
          2.4,      1.543911, ,           2.4,      1.476207, ,           2.4,      1.431051, ,           2.4,      1.412908, ,           2.4,      1.400134, ,           2.4,      1.395795, ,           2.4,      1.860112, ,           2.4,      1.755017, ,           2.4,      1.623609, , 
          2.6,       1.54182, ,           2.6,       1.48017, ,           2.6,      1.436838, ,           2.6,      1.420956, ,           2.6,      1.406284, ,           2.6,      1.402488, ,           2.6,      1.841783, ,           2.6,      1.741987, ,           2.6,      1.616649, , 
          2.8,      1.547015, ,           2.8,      1.482553, ,           2.8,      1.446531, ,           2.8,      1.428393, ,           2.8,      1.415894, ,           2.8,      1.411925, ,           2.8,      1.826373, ,           2.8,      1.731622, ,           2.8,      1.612763, , 
            3,      1.545167, ,             3,      1.492929, ,             3,      1.457477, ,             3,      1.440377, ,             3,      1.426202, ,             3,      1.421782, ,             3,      1.813374, ,             3,      1.723557, ,             3,      1.613639, , 
          3.2,      1.551832, ,           3.2,      1.499418, ,           3.2,      1.466088, ,           3.2,      1.449451, ,           3.2,      1.438243, ,           3.2,      1.434207, ,           3.2,      1.802632, ,           3.2,        1.7177, ,           3.2,      1.614787, , 
          3.4,      1.556783, ,           3.4,       1.50745, ,           3.4,      1.477566, ,           3.4,      1.461088, ,           3.4,      1.450275, ,           3.4,      1.445699, ,           3.4,      1.794312, ,           3.4,       1.71423, ,           3.4,      1.616318, , 
          3.6,      1.567562, ,           3.6,      1.516863, ,           3.6,      1.488764, ,           3.6,      1.473744, ,           3.6,      1.463344, ,           3.6,      1.456677, ,           3.6,      1.788319, ,           3.6,      1.712831, ,           3.6,      1.620429, , 
          3.8,      1.574676, ,           3.8,      1.529545, ,           3.8,      1.501686, ,           3.8,      1.487123, ,           3.8,      1.474827, ,           3.8,      1.469248, ,           3.8,      1.784716, ,           3.8,      1.713503, ,           3.8,      1.626494, , 
            4,      1.583673, ,             4,      1.541906, ,             4,      1.515273, ,             4,      1.501764, ,             4,      1.485281, ,             4,      1.480244, ,             4,      1.783081, ,             4,      1.715844, ,             4,      1.634552, , 
          4.2,      1.595504, ,           4.2,      1.555476, ,           4.2,       1.53019, ,           4.2,      1.515389, ,           4.2,      1.501753, ,           4.2,      1.496481, ,           4.2,      1.783601, ,           4.2,      1.720031, ,           4.2,      1.643828, , 
, , , , , , , , ,           4.4,      1.527993, ,           4.4,      1.549076, ,           4.4,      1.539394, , , , , , , , , , , 
, , , , , , , , ,           4.6,      1.543764, ,           4.6,      1.556129, ,           4.6,      1.556597, , , , , , , , , , , 
, , , , , , , , ,           4.8,      1.674764, ,           4.8,      1.591411, ,           4.8,      1.567656, , , , , , , , , , , 
, , , , , , , , ,             5,      1.889325, ,             5,       1.70229, ,             5,      1.709975, , , , , , , , , , , 

