Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.6352375, , 
         -0.8,     0.6354869, , 
         -0.6,     0.6356921, , 
         -0.4,     0.6358611, , 
         -0.2,     0.6360002, , 
            0,     0.6361142, , 
          0.2,     0.6362072, , 
          0.4,     0.6362823, , 
          0.6,     0.6363421, , 
          0.8,     0.6363885, , 
            1,     0.6364235, , 
          1.2,     0.6364485, , 
          1.4,     0.6364647, , 
          1.6,     0.6364731, , 
          1.8,     0.6364747, , 
            2,     0.6364701, , 
          2.2,     0.6364601, , 
          2.4,     0.6364453, , 
          2.6,     0.6364261, , 
          2.8,      0.636403, , 
            3,     0.6363763, , 
          3.2,     0.6363464, , 
          3.4,     0.6363136, , 
          3.6,     0.6362782, , 
          3.8,     0.6362404, , 
            4,     0.6362005, , 
          4.2,     0.6361585, , 
          4.4,     0.6361148, , 
          4.6,     0.6360694, , 
          4.8,     0.6360226, , 
            5,     0.6359744, , 
          5.2,      0.635925, , 
          5.4,     0.6358744, , 
          5.6,     0.6358229, , 
          5.8,     0.6357705, , 
            6,     0.6357172, , 
          6.2,     0.6356632, , 
          6.4,     0.6356086, , 

