Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      7.327501, ,            -1,      7.430064, ,            -1,      6.756699, ,            -1,      7.044082, , 
         -0.8,      7.374494, ,          -0.8,      7.480904, ,          -0.8,      6.785659, ,          -0.8,      7.079402, , 
         -0.6,      7.418035, ,          -0.6,      7.529902, ,          -0.6,      6.811173, ,          -0.6,      7.110989, , 
         -0.4,      7.457945, ,          -0.4,      7.577057, ,          -0.4,      6.833355, ,          -0.4,      7.138924, , 
         -0.2,      7.494299, ,          -0.2,      7.621846, ,          -0.2,      6.852313, ,          -0.2,      7.163287, , 
            0,      7.527094, ,             0,      7.664282, ,             0,      6.868145, ,             0,      7.184146, , 
          0.2,       7.55627, ,           0.2,      7.704465, ,           0.2,      6.881003, ,           0.2,      7.201642, , 
          0.4,      7.581608, ,           0.4,      7.742233, ,           0.4,      6.890972, ,           0.4,      7.215847, , 
          0.6,      7.603092, ,           0.6,      7.776827, ,           0.6,      6.898175, ,           0.6,      7.226895, , 
          0.8,       7.62066, ,           0.8,      7.806701, ,           0.8,      6.902724, ,           0.8,      7.234873, , 
            1,      7.634344, ,             1,      7.830466, ,             1,      6.904775, ,             1,      7.239975, , 
          1.2,      7.644135, ,           1.2,      7.848139, ,           1.2,      6.904416, ,           1.2,      7.242305, , 
          1.4,      7.650179, ,           1.4,      7.859561, ,           1.4,      6.901814, ,           1.4,      7.242029, , 
          1.6,      7.652609, ,           1.6,      7.865704, ,           1.6,      6.897076, ,           1.6,      7.239246, , 
          1.8,      7.651707, ,           1.8,      7.867326, ,           1.8,      6.890327, ,           1.8,      7.234123, , 
            2,      7.647688, ,             2,      7.864838, ,             2,      6.881642, ,             2,      7.226783, , 
          2.2,      7.640771, ,           2.2,      7.859309, ,           2.2,       6.87113, ,           2.2,      7.217373, , 
          2.4,      7.631178, ,           2.4,      7.850365, ,           2.4,      6.858887, ,           2.4,      7.206033, , 
          2.6,      7.619198, ,           2.6,       7.83906, ,           2.6,      6.844997, ,           2.6,      7.192892, , 
          2.8,      7.605111, ,           2.8,      7.824796, ,           2.8,      6.829551, ,           2.8,      7.178076, , 
            3,      7.589102, ,             3,      7.808218, ,             3,       6.81262, ,             3,      7.161696, , 
          3.2,      7.571321, ,           3.2,       7.78978, ,           3.2,      6.794297, ,           3.2,      7.143853, , 
          3.4,      7.551849, ,           3.4,      7.769804, ,           3.4,      6.774657, ,           3.4,      7.124631, , 
          3.6,      7.530801, ,           3.6,      7.748212, ,           3.6,      6.753759, ,           3.6,      7.104099, , 
          3.8,      7.508355, ,           3.8,      7.725137, ,           3.8,      6.731713, ,           3.8,      7.082373, , 
            4,      7.484637, ,             4,      7.700455, ,             4,      6.708549, ,             4,      7.059537, , 
          4.2,      7.459769, ,           4.2,      7.674761, ,           4.2,      6.684303, ,           4.2,       7.03566, , 
          4.4,       7.43386, ,           4.4,      7.647709, ,           4.4,      6.659052, ,           4.4,      7.010811, , 
          4.6,      7.407015, ,           4.6,      7.619385, ,           4.6,      6.632865, ,           4.6,       6.98502, , 
          4.8,      7.379316, ,           4.8,      7.590135, ,           4.8,      6.605773, ,           4.8,      6.958376, , 
            5,      7.350796, ,             5,      7.560023, ,             5,      6.577785, ,             5,      6.930943, , 
          5.2,      7.321517, ,           5.2,      7.529023, ,           5.2,      6.548974, ,           5.2,      6.902778, , 
          5.4,      7.291567, ,           5.4,      7.497064, ,           5.4,      6.519421, ,           5.4,      6.873932, , 
          5.6,      7.260995, ,           5.6,      7.464576, ,           5.6,      6.489169, ,           5.6,      6.844451, , 
          5.8,      7.229852, ,           5.8,      7.430828, ,           5.8,       6.45824, ,           5.8,       6.81437, , 
            6,      7.198156, ,             6,      7.396294, ,             6,      6.426679, ,             6,      6.783755, , 
          6.2,      7.165909, ,           6.2,      7.361153, ,           6.2,      6.394461, ,           6.2,      6.752639, , 
          6.4,      7.133169, ,           6.4,      7.325179, ,           6.4,      6.361604, ,           6.4,      6.721052, , 
          6.6,      7.100026, ,           6.6,      7.288632, ,           6.6,      6.328137, ,           6.6,      6.689043, , 
          6.8,      7.066493, ,           6.8,      7.251618, ,           6.8,      6.294071, ,           6.8,      6.656634, , 
            7,      7.032585, ,             7,      7.214269, ,             7,      6.259391, ,             7,      6.623828, , 
          7.2,      6.998337, ,           7.2,      7.176568, ,           7.2,      6.224097, ,           7.2,       6.59064, , 
