Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.6938465, , 
         -0.8,     0.7052826, , 
         -0.6,     0.7167005, , 
         -0.4,        0.7281, , 
         -0.2,     0.7394807, , 
            0,     0.7508422, , 
          0.2,     0.7621841, , 
          0.4,     0.7735061, , 
          0.6,     0.7848078, , 
          0.8,     0.7960889, , 
            1,     0.8073489, , 
          1.2,     0.8185876, , 
          1.4,     0.8298045, , 
          1.6,     0.8409993, , 
          1.8,     0.8521718, , 
            2,     0.8633214, , 
          2.2,     0.8744479, , 
          2.4,     0.8855509, , 
          2.6,       0.89663, , 
          2.8,      0.907685, , 
            3,     0.9187155, , 
          3.2,     0.9297211, , 
          3.4,     0.9407014, , 
          3.6,     0.9516563, , 
          3.8,     0.9625852, , 
            4,     0.9734879, , 
          4.2,     0.9843641, , 
          4.4,     0.9952134, , 
          4.6,      1.006036, , 
          4.8,       1.01683, , 
            5,      1.027597, , 
          5.2,      1.038335, , 
          5.4,      1.049045, , 
          5.6,      1.059726, , 
          5.8,      1.070378, , 
            6,      1.081001, , 
          6.2,      1.091594, , 
          6.4,      1.102156, , 
          6.6,      1.112689, , 
          6.8,       1.12319, , 
            7,      1.133661, , 
          7.2,        1.1441, , 

