Alpha,T1-15.8 m/s-VLM2, , 
           -3,     0.6352052, , 
         -2.8,     0.6351036, , 
         -2.6,      0.634994, , 
         -2.4,     0.6348768, , 
         -2.2,     0.6347525, , 
           -2,     0.6346215, , 
         -1.8,      0.634484, , 
         -1.6,     0.6343404, , 
         -1.4,     0.6341911, , 
         -1.2,     0.6340363, , 
           -1,     0.6338764, , 
         -0.8,     0.6337115, , 
         -0.6,     0.6335419, , 
         -0.4,     0.6333678, , 
         -0.2,     0.6331895, , 
            0,     0.6330072, , 
          0.2,      0.632821, , 
          0.4,     0.6326312, , 
          0.6,     0.6324379, , 
          0.8,     0.6322413, , 
            1,     0.6320415, , 
          1.2,     0.6318387, , 
          1.4,      0.631633, , 
          1.6,     0.6314246, , 
          1.8,     0.6312136, , 
            2,     0.6310002, , 
          2.2,     0.6307843, , 
          2.4,     0.6305663, , 
          2.6,     0.6303461, , 
          2.8,     0.6301239, , 
            3,     0.6298997, , 
          3.2,     0.6296737, , 
          3.4,      0.629446, , 
          3.6,     0.6292166, , 
          3.8,     0.6289857, , 
            4,     0.6287533, , 
          4.2,     0.6285195, , 
          4.4,     0.6282844, , 
          4.6,     0.6280481, , 
          4.8,     0.6278106, , 
            5,      0.627572, , 
          5.2,     0.6273324, , 
          5.4,     0.6270919, , 
          5.6,     0.6268504, , 
          5.8,     0.6266082, , 
            6,     0.6263652, , 
          6.2,     0.6261215, , 
          6.4,     0.6258772, , 
          6.6,     0.6256323, , 
          6.8,     0.6253869, , 
            7,      0.625141, , 
          7.2,     0.6248948, , 

