Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      7.859935, ,            -2,      8.752153, ,            -2,      4.915637, ,            -2,      9.361111, ,            -2,      9.625066, ,            -2,      9.674971, ,            -2,      9.892642, ,            -2,      9.980308, ,            -2,      10.02501, ,            -2,      5.342596, ,            -2,      5.901337, ,            -2,      6.974683, ,            -2,      7.131227, , 
         -1.8,      8.547528, ,          -1.8,      9.502973, ,          -1.8,      5.375107, ,          -1.8,      10.17239, ,          -1.8,      10.48582, ,          -1.8,      10.54033, ,          -1.8,      10.78555, ,          -1.8,       10.8854, ,          -1.8,      10.92837, ,          -1.8,      5.837769, ,          -1.8,      6.441627, ,          -1.8,      7.597642, ,          -1.8,       7.76584, , 
         -1.6,      9.199349, ,          -1.6,      10.20898, ,          -1.6,      5.819707, ,          -1.6,      10.91587, ,          -1.6,      11.25315, ,          -1.6,      11.31467, ,          -1.6,      11.59734, ,          -1.6,      11.70299, ,          -1.6,      11.75706, ,          -1.6,      6.315563, ,          -1.6,      6.960914, ,          -1.6,      8.191852, ,          -1.6,      8.370533, , 
         -1.4,      9.814327, ,          -1.4,      10.87059, ,          -1.4,      6.247595, ,          -1.4,      11.60765, ,          -1.4,      11.95841, ,          -1.4,      12.02316, ,          -1.4,      12.32279, ,          -1.4,      12.44298, ,          -1.4,      12.50377, ,          -1.4,      6.773909, ,          -1.4,      7.457179, ,          -1.4,      8.756015, ,          -1.4,      8.944043, , 
         -1.2,       10.3909, ,          -1.2,      11.48657, ,          -1.2,      6.658643, ,          -1.2,      12.24844, ,          -1.2,      12.60974, ,          -1.2,      12.67642, ,          -1.2,      12.98505, ,          -1.2,      13.11018, ,          -1.2,      13.17331, ,          -1.2,      7.212414, ,          -1.2,      7.929917, ,          -1.2,      9.288944, ,          -1.2,      9.485126, , 
           -1,      10.92857, ,            -1,       12.0568, ,            -1,      7.051049, ,            -1,      12.83839, ,            -1,      13.20797, ,            -1,       13.2761, ,            -1,      13.59146, ,            -1,      13.71911, ,            -1,      13.78355, ,            -1,      7.629888, ,            -1,      8.378015, ,            -1,      9.789789, ,            -1,      9.992958, , 
         -0.8,      11.42753, ,          -0.8,      12.58187, ,          -0.8,      7.424352, ,          -0.8,      13.37849, ,          -0.8,        13.754, ,          -0.8,      13.82318, ,          -0.8,      14.14335, ,          -0.8,      14.27288, ,          -0.8,      14.33825, ,          -0.8,      8.025613, ,          -0.8,      8.800796, ,          -0.8,      10.25818, ,          -0.8,      10.46726, , 
         -0.6,      11.88757, ,          -0.6,      13.06157, ,          -0.6,      7.777714, ,          -0.6,       13.8689, ,          -0.6,      14.24836, ,          -0.6,      14.31819, ,          -0.6,       14.6414, ,          -0.6,      14.77208, ,          -0.6,      14.83801, ,          -0.6,      8.398946, ,          -0.6,      9.197716, ,          -0.6,      10.69378, ,          -0.6,      10.90772, , 
         -0.4,      12.30941, ,          -0.4,      13.49719, ,          -0.4,      8.110974, ,          -0.4,       14.3112, ,          -0.4,      14.69275, ,          -0.4,      14.76288, ,          -0.4,      15.08743, ,          -0.4,      15.21857, ,          -0.4,      15.28473, ,          -0.4,      8.749667, ,          -0.4,      9.568713, ,          -0.4,      11.09686, ,          -0.4,      11.31466, , 
         -0.2,       12.6935, ,          -0.2,      13.88945, ,          -0.2,      8.423988, ,          -0.2,       14.7066, ,          -0.2,      15.08851, ,          -0.2,      15.15864, ,          -0.2,      15.48309, ,          -0.2,      15.61413, ,          -0.2,      15.68021, ,          -0.2,      9.077691, ,          -0.2,      9.913749, ,          -0.2,      11.46759, ,          -0.2,       11.6883, , 
            0,      13.04081, ,             0,      14.23991, ,             0,      8.716613, ,             0,      15.05691, ,             0,       15.4378, ,             0,      15.50761, ,             0,      15.83061, ,             0,      15.96102, ,             0,      16.02676, ,             0,      9.382913, ,             0,      10.23285, ,             0,      11.80642, ,             0,      12.02916, , 
          0.2,      13.35258, ,           0.2,      14.55039, ,           0.2,      8.988659, ,           0.2,      15.36431, ,           0.2,      15.74277, ,           0.2,      15.81209, ,           0.2,      16.13261, ,           0.2,      16.26194, ,           0.2,      16.32709, ,           0.2,      9.665293, ,           0.2,      10.52628, ,           0.2,      12.11428, ,           0.2,      12.33825, , 
          0.4,      13.63009, ,           0.4,      14.82259, ,           0.4,      9.239108, ,           0.4,      15.63097, ,           0.4,       16.0059, ,           0.4,      16.07451, ,           0.4,      16.39158, ,           0.4,      16.51937, ,           0.4,      16.58375, ,           0.4,      9.923928, ,           0.4,      10.79352, ,           0.4,      12.39188, ,           0.4,      12.61636, , 
          0.6,      13.87463, ,           0.6,      15.05863, ,           0.6,      9.469158, ,           0.6,       15.8593, ,           0.6,      16.22968, ,           0.6,      16.29741, ,           0.6,      16.61031, ,           0.6,      16.73631, ,           0.6,      16.79975, ,           0.6,      10.16012, ,           0.6,      11.03588, ,           0.6,      12.64016, ,           0.6,       12.8645, , 
          0.8,      14.08704, ,           0.8,      15.26001, ,           0.8,      9.679022, ,           0.8,      16.05109, ,           0.8,      16.41619, ,           0.8,      16.48289, ,           0.8,      16.79089, ,           0.8,      16.91482, ,           0.8,      16.97721, ,           0.8,       10.3743, ,           0.8,      11.25386, ,           0.8,      12.85954, ,           0.8,      13.08317, , 
            1,      14.26828, ,             1,      15.42765, ,             1,      9.866663, ,             1,      16.20713, ,             1,      16.56563, ,             1,      16.63105, ,             1,      16.93195, ,             1,      17.05274, ,             1,      17.11347, ,             1,      10.56503, ,             1,      11.44677, ,             1,      13.05068, ,             1,      13.27303, , 
          1.2,      14.41688, ,           1.2,      15.55459, ,           1.2,      10.03283, ,           1.2,      16.30262, ,           1.2,      16.63383, ,           1.2,      16.69374, ,           1.2,      16.97012, ,           1.2,       17.0807, ,           1.2,      17.13613, ,           1.2,      10.73316, ,           1.2,      11.61504, ,           1.2,        13.213, ,           1.2,      13.43338, , 
          1.4,      14.51578, ,           1.4,      15.59895, ,           1.4,      10.17795, ,           1.4,      16.29232, ,           1.4,      16.61615, ,           1.4,      16.67478, ,           1.4,      16.94979, ,           1.4,      17.06104, ,           1.4,      17.11691, ,           1.4,      10.87818, ,           1.4,      11.75711, ,           1.4,      13.34161, ,           1.4,      13.55758, , 
