Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, ,            -2,     0.1273601, , 
         -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, ,          -1.8,     0.1405428, , 
         -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, ,          -1.6,     0.1537226, , 
         -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, ,          -1.4,     0.1668991, , 
         -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, ,          -1.2,     0.1800719, , 
           -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, ,            -1,     0.1932407, , 
         -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, ,          -0.8,     0.2064049, , 
         -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, ,          -0.6,     0.2195643, , 
         -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, ,          -0.4,     0.2327183, , 
         -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, ,          -0.2,     0.2458666, , 
            0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, ,             0,     0.2590088, , 
          0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, ,           0.2,     0.2721444, , 
          0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, ,           0.4,     0.2852731, , 
          0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, ,           0.6,     0.2983944, , 
          0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, ,           0.8,     0.3115079, , 
            1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, ,             1,     0.3246132, , 
          1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, ,           1.2,       0.33771, , 
          1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, ,           1.4,     0.3507978, , 
          1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, ,           1.6,     0.3638761, , 
          1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, ,           1.8,     0.3769447, , 
            2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, ,             2,      0.390003, , 
          2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, ,           2.2,     0.4030508, , 
          2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, ,           2.4,     0.4160875, , 
          2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, ,           2.6,     0.4291129, , 
          2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, ,           2.8,     0.4421264, , 
            3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, ,             3,     0.4551276, , 
          3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, ,           3.2,     0.4681163, , 
          3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, ,           3.4,      0.481092, , 
          3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, ,           3.6,     0.4940542, , 
