Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, ,            -2,     0.6346265, , 
         -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, ,          -1.8,     0.6351356, , 
         -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, ,          -1.6,     0.6355369, , 
         -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, ,          -1.4,     0.6358582, , 
         -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, ,          -1.2,     0.6361186, , 
           -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, ,            -1,     0.6363318, , 
         -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, ,          -0.8,     0.6365076, , 
         -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, ,          -0.6,     0.6366535, , 
         -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, ,          -0.4,      0.636775, , 
         -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, ,          -0.2,     0.6368764, , 
            0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, ,             0,     0.6369613, , 
          0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, ,           0.2,     0.6370322, , 
          0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, ,           0.4,     0.6370915, , 
          0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, ,           0.6,     0.6371409, , 
          0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, ,           0.8,     0.6371818, , 
            1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, ,             1,     0.6372156, , 
