Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, ,            -5,     0.5330075, , 
         -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, ,          -4.8,     0.5795283, , 
         -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, ,          -4.6,     0.6042844, , 
         -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, ,          -4.4,     0.6189954, , 
         -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, ,          -4.2,     0.6284771, , 
           -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, ,            -4,     0.6349702, , 
         -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, ,          -3.8,     0.6396274, , 
         -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, ,          -3.6,     0.6430911, , 
         -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, ,          -3.4,     0.6457427, , 
         -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, ,          -3.2,     0.6478207, , 
           -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, ,            -3,     0.6494809, , 
         -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, ,          -2.8,     0.6508288, , 
         -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, ,          -2.6,      0.651938, , 
         -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, ,          -2.4,     0.6528614, , 
         -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, ,          -2.2,     0.6536376, , 
           -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, ,            -2,     0.6542955, , 
         -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, ,          -1.8,     0.6548573, , 
         -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, ,          -1.6,     0.6553399, , 
         -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, ,          -1.4,     0.6557568, , 
         -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, ,          -1.2,     0.6561186, , 
           -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, , 
         -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, , 
         -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, , 
