Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      10.60211, ,            -1,      11.44849, ,            -1,      7.219729, ,            -1,      11.98406, ,            -1,      12.22056, ,            -1,      12.47783, ,            -1,      12.56904, ,            -1,      12.61486, ,            -1,      7.675848, ,            -1,      8.608571, ,            -1,      9.863891, , 
         -0.8,      10.81303, ,          -0.8,      11.67093, ,          -0.8,      7.404268, ,          -0.8,      12.21726, ,          -0.8,      12.45908, ,          -0.8,      12.71417, ,          -0.8,       12.8008, ,          -0.8,      12.84503, ,          -0.8,      7.865607, ,          -0.8,      8.806674, ,          -0.8,      10.06923, , 
         -0.6,      10.99841, ,          -0.6,      11.86002, ,          -0.6,      7.576071, ,          -0.6,      12.41214, ,          -0.6,      12.65745, ,          -0.6,      12.91352, ,          -0.6,      12.99999, ,          -0.6,      13.04401, ,          -0.6,      8.041433, ,          -0.6,      8.988259, ,          -0.6,      10.25309, , 
         -0.4,      11.16037, ,          -0.4,      12.02007, ,          -0.4,      7.735437, ,          -0.4,       12.5728, ,          -0.4,      12.81844, ,          -0.4,      13.07456, ,          -0.4,       13.1623, ,          -0.4,      13.20655, ,          -0.4,      8.203534, ,          -0.4,      9.153398, ,          -0.4,      10.41668, , 
         -0.2,      11.30022, ,          -0.2,      12.15414, ,          -0.2,      7.882486, ,          -0.2,      12.70389, ,          -0.2,      12.94783, ,          -0.2,      13.20066, ,          -0.2,      13.28764, ,          -0.2,      13.33191, ,          -0.2,      8.352102, ,          -0.2,      9.302466, ,          -0.2,      10.56073, , 
            0,      11.42006, ,             0,      12.26515, ,             0,      8.018076, ,             0,      12.80945, ,             0,      13.05046, ,             0,      13.29853, ,             0,      13.38377, ,             0,      13.42761, ,             0,      8.488107, ,             0,      9.436684, ,             0,      10.68689, , 
          0.2,      11.52106, ,           0.2,      12.35475, ,           0.2,      8.142018, ,           0.2,      12.89187, ,           0.2,      13.12946, ,           0.2,      13.37409, ,           0.2,      13.45891, ,           0.2,       13.5023, ,           0.2,      8.611564, ,           0.2,      9.556538, ,           0.2,      10.79597, , 
          0.4,      11.60497, ,           0.4,      12.42526, ,           0.4,      8.255184, ,           0.4,      12.95386, ,           0.4,       13.1872, ,           0.4,      13.42797, ,           0.4,      13.51271, ,           0.4,      13.55569, ,           0.4,      8.723402, ,           0.4,      9.663078, ,           0.4,       10.8893, , 
          0.6,      11.67299, ,           0.6,      12.47824, ,           0.6,      8.357987, ,           0.6,      12.99734, ,           0.6,      13.22607, ,           0.6,      13.46177, ,           0.6,      13.54514, ,           0.6,      13.58732, ,           0.6,      8.823979, ,           0.6,      9.756581, ,           0.6,      10.96784, , 
          0.8,      11.72623, ,           0.8,      12.51546, ,           0.8,      8.450654, ,           0.8,      13.02403, ,           0.8,       13.2476, ,           0.8,      13.47782, ,           0.8,      13.55974, ,           0.8,      13.60104, ,           0.8,       8.91373, ,           0.8,      9.837926, ,           0.8,      11.03252, , 
