Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      3.261367, ,            -1,      2.925029, ,            -1,       4.12179, , 
         -0.8,      2.815444, ,          -0.8,      2.528827, ,          -0.8,      3.548158, , 
         -0.6,      2.473976, ,          -0.6,      2.225599, ,          -0.6,       3.10867, , 
         -0.4,      2.209152, ,          -0.4,      1.993945, ,          -0.4,      2.764645, , 
         -0.2,      2.010184, ,          -0.2,       1.83675, ,          -0.2,      2.494075, , 
            0,       1.87956, ,             0,       1.73411, ,             0,      2.290008, , 
          0.2,      1.792179, ,           0.2,      1.666488, ,           0.2,      2.140686, , 
          0.4,      1.724777, ,           0.4,      1.618155, ,           0.4,       2.02846, , 
          0.6,      1.682187, ,           0.6,      1.576557, ,           0.6,      1.943741, , 
          0.8,      1.653331, ,           0.8,      1.548863, ,           0.8,      1.880305, , 
            1,      1.620908, ,             1,      1.524415, ,             1,      1.831995, , 
          1.2,      1.596369, ,           1.2,      1.513025, ,           1.2,      1.795549, , 
          1.4,      1.581413, ,           1.4,       1.49994, ,           1.4,      1.764988, , 
          1.6,      1.560823, ,           1.6,      1.491828, ,           1.6,      1.736159, , 
          1.8,      1.550329, ,           1.8,       1.48261, ,           1.8,      1.713746, , 
            2,      1.545239, ,             2,      1.479278, ,             2,      1.694445, , 
          2.2,      1.538902, ,           2.2,      1.478551, ,           2.2,      1.680284, , 
          2.4,      1.536723, ,           2.4,      1.480371, ,           2.4,      1.669387, , 
          2.6,      1.537127, ,           2.6,       1.48436, ,           2.6,      1.661019, , 
          2.8,       1.53988, ,           2.8,      1.489277, ,           2.8,      1.655634, , 
            3,      1.544832, ,             3,      1.493755, ,             3,      1.653111, , 
          3.2,      1.551707, ,           3.2,      1.507472, ,           3.2,      1.653092, , 
          3.4,      1.560397, ,           3.4,      1.502374, ,           3.4,       1.65547, , 
          3.6,      1.570747, ,           3.6,      1.495052, ,           3.6,      1.660111, , 
          3.8,      1.582609, ,           3.8,      1.484885, ,           3.8,      1.666805, , 
            4,      1.595772, ,             4,      1.472077, ,             4,       1.67547, , 
          4.2,      1.610356, ,           4.2,      1.449985, ,           4.2,      1.686175, , 
          4.4,      1.626205, ,           4.4,      1.489394, ,           4.4,      1.698741, , 
          4.6,      1.643948, ,           4.6,      1.542691, ,           4.6,      1.713273, , 
          4.8,      1.662737, , , , ,           4.8,       1.72963, , 
            5,      1.687129, , , , ,             5,      1.748293, , 
          5.2,      1.712632, , , , ,           5.2,      1.769263, , 
          5.4,      1.735199, , , , , , , , 
          5.6,      1.764596, , , , , , , , 

