Alpha,T1-15.8 m/s-VLM2, , 
           -1,      3.123549, , 
         -0.8,      2.694722, , 
         -0.6,      2.366484, , 
         -0.4,       2.11361, , 
         -0.2,       1.93141, , 
            0,      1.816953, , 
          0.2,      1.734882, , 
          0.4,      1.675607, , 
          0.6,      1.641143, , 
          0.8,       1.60874, , 
            1,      1.581163, , 
          1.2,      1.564191, , 
          1.4,      1.539315, , 
          1.6,      1.524545, , 
          1.8,      1.517863, , 
            2,      1.508888, , 
          2.2,      1.505157, , 
          2.4,      1.504315, , 
          2.6,      1.505811, , 
          2.8,      1.509785, , 
            3,      1.515831, , 
          3.2,      1.523923, , 
          3.4,      1.533713, , 
          3.6,      1.545019, , 
          3.8,      1.557947, , 
            4,      1.572208, , 
          4.2,      1.587877, , 
          4.4,      1.605362, , 
          4.6,      1.624014, , 
          4.8,       1.64984, , 
            5,      1.672123, , 
          5.2,      1.698894, , 
          5.4,       1.72413, , 

