Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      7.906305, ,            -1,      7.060567, ,            -1,      9.979961, , 
         -0.8,       7.11508, ,          -0.8,      6.361534, ,          -0.8,      8.964953, , 
         -0.6,      6.496342, ,          -0.6,      5.817551, ,          -0.6,      8.167911, , 
         -0.4,      6.024558, ,          -0.4,      5.432607, ,          -0.4,       7.53279, , 
         -0.2,      5.697488, ,          -0.2,      5.188545, ,          -0.2,      7.048666, , 
            0,      5.483279, ,             0,      5.017417, ,             0,      6.696293, , 
          0.2,      5.369337, ,           0.2,      4.916694, ,           0.2,      6.431087, , 
          0.4,      5.289247, ,           0.4,      4.871118, ,           0.4,       6.23496, , 
          0.6,      5.224486, ,           0.6,      4.880193, ,           0.6,      6.093973, , 
          0.8,      5.197651, ,           0.8,      4.868448, ,           0.8,      5.995225, , 
            1,      5.232784, ,             1,      4.887667, ,             1,      5.932816, , 
          1.2,      5.224791, ,           1.2,      4.904244, ,           1.2,      5.898257, , 
          1.4,      5.242945, ,           1.4,      4.942155, ,           1.4,      5.883623, , 
          1.6,       5.27462, ,           1.6,      4.990349, ,           1.6,      5.884435, , 
          1.8,      5.317982, ,           1.8,      5.041388, ,           1.8,      5.897893, , 
            2,      5.362971, ,             2,      5.111561, ,             2,      5.922403, , 
          2.2,      5.431467, ,           2.2,      5.181498, ,           2.2,      5.956613, , 
          2.4,      5.487193, ,           2.4,      5.258193, ,           2.4,      5.999683, , 
          2.6,      5.570013, ,           2.6,      5.344642, ,           2.6,      6.051232, , 
          2.8,       5.66268, ,           2.8,      5.436103, ,           2.8,       6.11058, , 
            3,      5.749999, ,             3,      5.535042, ,             3,      6.177861, , 
          3.2,      5.843988, ,           3.2,      5.638906, ,           3.2,      6.251962, , 
          3.4,         5.944, ,           3.4,      5.742113, ,           3.4,      6.333165, , 
          3.6,      6.046062, ,           3.6,      5.847963, ,           3.6,      6.420563, , 
          3.8,      6.156822, ,           3.8,      5.981244, ,           3.8,      6.514013, , 
            4,      6.271002, ,             4,      6.163807, ,             4,      6.613419, , 
          4.2,      6.392503, ,           4.2,      6.253899, ,           4.2,       6.71854, , 
          4.4,       6.51877, ,           4.4,      6.397161, ,           4.4,      6.828982, , 
          4.6,      6.646305, ,           4.6,      6.575762, ,           4.6,      6.944964, , 
          4.8,      6.775252, ,           4.8,       6.85162, ,           4.8,      7.066051, , 
            5,      6.909183, , , , ,             5,      7.192971, , 
          5.2,       7.05077, , , , ,           5.2,       7.32558, , 
          5.4,      7.199075, , , , ,           5.4,      7.464415, , 
          5.6,      7.352682, , , , ,           5.6,      7.609673, , 
          5.8,      7.509302, , , , ,           5.8,      7.761985, , 
            6,      7.666483, , , , ,             6,      7.922352, , 
          6.2,      7.825793, , , , ,           6.2,       8.10068, , 
          6.4,      8.089373, , , , , , , , 
          6.6,       8.38805, , , , , , , , 
          6.8,      8.710319, , , , , , , , 
            7,      9.041863, , , , , , , , 
          7.2,      9.375295, , , , , , , , 
          7.4,      9.719545, , , , , , , , 
          7.6,      10.10322, , , , , , , , 
          7.8,      10.53608, , , , , , , , 
            8,       10.9859, , , , , , , , 
          8.2,      11.45573, , , , , , , , 
          8.4,      11.92748, , , , , , , , 
          8.6,      12.39355, , , , , , , , 
          8.8,      12.85224, , , , , , , , 

