Alpha,T1-15.8 m/s-VLM2, , 
           -1,      5.870847, , 
         -0.8,      6.519968, , 
         -0.6,      7.137337, , 
         -0.4,      7.721022, , 
         -0.2,      8.270121, , 
            0,      8.765232, , 
          0.2,      9.167332, , 
          0.4,      9.481487, , 
          0.6,       9.69498, , 
          0.8,      9.813808, , 
            1,       9.90368, , 
          1.2,      9.974904, , 
          1.4,      10.00668, , 
          1.6,      9.981462, , 
          1.8,      9.871129, , 
            2,      9.880211, , 
          2.2,      9.826984, , 
          2.4,      9.753904, , 
          2.6,      9.662868, , 
          2.8,      9.583742, , 
            3,      9.471733, , 
          3.2,      9.380011, , 
          3.4,      9.255716, , 
          3.6,      9.137466, , 
          3.8,      9.021515, , 
            4,      8.888034, , 
          4.2,      8.752817, , 
          4.4,      8.626727, , 
          4.6,      8.497845, , 
          4.8,      8.367075, , 
            5,      8.246824, , 
          5.2,      8.115134, , 
          5.4,      7.981078, , 
          5.6,      7.847764, , 
          5.8,      7.719308, , 
            6,      7.597013, , 
          6.2,      7.472407, , 
          6.4,      7.351676, , 
          6.6,      7.232548, , 
          6.8,      7.110705, , 
            7,      6.989229, , 
          7.2,      6.868681, , 
          7.4,      6.750242, , 
          7.6,      6.634317, , 
          7.8,      6.521558, , 
            8,      6.414838, , 
          8.2,      6.295149, , 
          8.4,      6.138937, , 
          8.6,      5.973686, , 
          8.8,      5.808527, , 
            9,      5.649511, , 
          9.2,      5.493112, , 
          9.4,      5.346412, , 
          9.6,       5.20271, , 
          9.8,      5.059281, , 
           10,       4.90858, , 
         10.2,      4.758936, , 
         10.4,       4.60976, , 
         10.6,      4.468703, , 
         10.8,      4.337089, , 
           11,      4.212506, , 
         11.2,      4.095413, , 

