Alpha,T1-15.8 m/s-VLM2, , 
           -1,     0.1141364, , 
         -0.8,     0.1290023, , 
         -0.6,     0.1438657, , 
         -0.4,     0.1587261, , 
         -0.2,     0.1735831, , 
            0,     0.1884364, , 
          0.2,     0.2032856, , 
          0.4,     0.2181301, , 
          0.6,     0.2329698, , 
          0.8,      0.247804, , 
            1,     0.2626326, , 
          1.2,     0.2774549, , 
          1.4,     0.2922707, , 
          1.6,     0.3070796, , 
          1.8,     0.3218811, , 
            2,     0.3366749, , 
          2.2,     0.3514606, , 
          2.4,     0.3662377, , 
          2.6,     0.3810058, , 
          2.8,     0.3957647, , 
            3,     0.4105138, , 
          3.2,     0.4252529, , 
          3.4,     0.4399814, , 
          3.6,      0.454699, , 
          3.8,     0.4694053, , 
            4,        0.4841, , 
          4.2,     0.4987826, , 
          4.4,     0.5134527, , 
          4.6,       0.52811, , 
          4.8,     0.5427541, , 
            5,     0.5573845, , 
          5.2,     0.5720009, , 
          5.4,      0.586603, , 
          5.6,     0.6011902, , 
          5.8,     0.6157624, , 
            6,     0.6303189, , 
          6.2,     0.6448596, , 
          6.4,      0.659384, , 
          6.6,     0.6738917, , 
          6.8,     0.6883823, , 
            7,     0.7028556, , 
          7.2,      0.717311, , 
          7.4,     0.7317482, , 
          7.6,     0.7461669, , 

