Alpha,T1-15.8 m/s-VLM2, , 
           -1,      0.660695, , 
         -0.8,     0.6610325, , 
         -0.6,      0.661284, , 
         -0.4,     0.6614761, , 
         -0.2,     0.6616256, , 
            0,     0.6617437, , 
          0.2,     0.6618382, , 
          0.4,     0.6619145, , 
          0.6,     0.6619766, , 
          0.8,     0.6620276, , 
            1,     0.6620696, , 
          1.2,     0.6621046, , 
          1.4,     0.6621338, , 
          1.6,     0.6621584, , 
          1.8,     0.6621793, , 
            2,     0.6621972, , 
          2.2,     0.6622127, , 
          2.4,     0.6622264, , 
          2.6,     0.6622387, , 
          2.8,     0.6622498, , 
            3,     0.6622603, , 
          3.2,     0.6622702, , 
          3.4,     0.6622798, , 
          3.6,     0.6622894, , 
          3.8,      0.662299, , 
            4,      0.662309, , 
          4.2,     0.6623193, , 
          4.4,     0.6623301, , 
          4.6,     0.6623416, , 
          4.8,     0.6623538, , 
            5,     0.6623668, , 
          5.2,     0.6623807, , 
          5.4,     0.6623956, , 
          5.6,     0.6624115, , 
          5.8,     0.6624285, , 
            6,     0.6624467, , 
          6.2,     0.6624662, , 
          6.4,     0.6624869, , 
          6.6,     0.6625089, , 
          6.8,     0.6625323, , 
            7,     0.6625571, , 
          7.2,     0.6625834, , 
          7.4,     0.6626111, , 
          7.6,     0.6626404, , 

