Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            0,      1.334215, ,             0,      1.274053, ,             0,      1.964177, ,             0,      1.247607, ,             0,      1.238842, ,             0,      1.237241, ,             0,      1.230674, ,             0,      1.228194, ,             0,      1.226967, ,             0,       1.78451, ,             0,      1.630179, ,             0,      1.432801, ,             0,      1.412757, , 
          0.2,      1.329017, ,           0.2,      1.267986, ,           0.2,      1.960376, ,           0.2,      1.241129, ,           0.2,       1.23227, ,           0.2,      1.230654, ,           0.2,      1.224035, ,           0.2,      1.221544, ,           0.2,       1.22031, ,           0.2,      1.781972, ,           0.2,       1.62757, ,           0.2,      1.429057, ,           0.2,       1.40871, , 
          0.4,      1.324418, ,           0.4,      1.262426, ,           0.4,      1.957362, ,           0.4,      1.235102, ,           0.4,      1.226134, ,           0.4,      1.224499, ,           0.4,      1.217823, ,           0.4,       1.21532, ,           0.4,      1.214079, ,           0.4,      1.780207, ,           0.4,      1.625712, ,           0.4,      1.426018, ,           0.4,      1.405349, , 
          0.6,       1.32042, ,           0.6,      1.257362, ,           0.6,       1.95517, ,           0.6,      1.229514, ,           0.6,       1.22041, ,           0.6,      1.218754, ,           0.6,      1.212004, ,           0.6,      1.209481, ,           0.6,      1.208229, ,           0.6,      1.779236, ,           0.6,      1.624594, ,           0.6,      1.423619, ,           0.6,      1.402617, , 
          0.8,      1.317038, ,           0.8,      1.252788, ,           0.8,      1.953776, ,           0.8,      1.224373, ,           0.8,      1.215113, ,           0.8,       1.21343, ,           0.8,      1.206578, ,           0.8,      1.204023, ,           0.8,      1.202755, ,           0.8,      1.779069, ,           0.8,       1.62426, ,           0.8,      1.421949, ,           0.8,       1.40059, , 
            1,      1.314247, ,             1,      1.248661, ,             1,      1.953082, ,             1,      1.219627, ,             1,      1.210196, ,             1,      1.208484, ,             1,      1.201528, ,             1,      1.198935, ,             1,      1.197647, ,             1,      1.779606, ,             1,      1.624625, ,             1,      1.420955, ,             1,      1.399222, , 
          1.2,      1.312093, ,           1.2,      1.245024, ,           1.2,      1.953203, ,           1.2,      1.215275, ,           1.2,       1.20564, ,           1.2,      1.203892, ,           1.2,      1.196809, ,           1.2,      1.194172, ,           1.2,       1.19286, ,           1.2,      1.780952, ,           1.2,      1.625749, ,           1.2,      1.420618, ,           1.2,      1.398502, , 
          1.4,      1.310557, ,           1.4,      1.241884, ,           1.4,      1.953983, ,           1.4,      1.211341, ,           1.4,      1.201455, ,           1.4,      1.199665, ,           1.4,      1.192415, ,           1.4,      1.189717, ,           1.4,      1.188373, ,           1.4,      1.782986, ,           1.4,      1.627569, ,           1.4,      1.420946, ,           1.4,      1.398436, , 
          1.6,      1.309631, ,           1.6,      1.239197, ,           1.6,      1.955376, ,           1.6,      1.207811, ,           1.6,      1.197688, ,           1.6,       1.19585, ,           1.6,      1.188392, ,           1.6,      1.185607, ,           1.6,      1.184217, ,           1.6,      1.785684, ,           1.6,      1.630054, ,           1.6,      1.421876, ,           1.6,       1.39897, , 
          1.8,      1.309322, ,           1.8,      1.236993, ,           1.8,      1.957089, ,           1.8,      1.204679, ,           1.8,      1.194294, ,           1.8,      1.192408, ,           1.8,      1.184755, ,           1.8,      1.181891, ,           1.8,      1.180459, ,           1.8,      1.788951, ,           1.8,      1.633247, ,           1.8,       1.42343, ,           1.8,      1.400124, , 
            2,      1.309639, ,             2,      1.235299, ,             2,      1.959788, ,             2,      1.201934, ,             2,      1.191255, ,             2,      1.189315, ,             2,      1.181444, ,             2,      1.178492, ,             2,      1.177017, ,             2,      1.793025, ,             2,      1.637074, ,             2,      1.425594, ,             2,      1.401883, , 
          2.2,      1.310677, ,           2.2,      1.234128, ,           2.2,      1.963151, ,           2.2,       1.19959, ,           2.2,      1.188584, ,           2.2,      1.186582, ,           2.2,      1.178466, ,           2.2,      1.175413, ,           2.2,      1.173887, ,           2.2,      1.797802, ,           2.2,      1.641593, ,           2.2,      1.428455, ,           2.2,      1.404341, , 
          2.4,      1.312343, ,           2.4,      1.233472, ,           2.4,      1.966936, ,           2.4,      1.197659, ,           2.4,      1.186327, ,           2.4,      1.184259, ,           2.4,      1.175889, ,           2.4,      1.172725, ,           2.4,       1.17114, ,           2.4,      1.803238, ,           2.4,      1.646775, ,           2.4,      1.431945, ,           2.4,      1.407422, , 
          2.6,      1.314725, ,           2.6,      1.233335, ,           2.6,      1.971339, ,           2.6,      1.196147, ,           2.6,      1.184478, ,           2.6,      1.182345, ,           2.6,       1.17374, ,           2.6,      1.170476, ,           2.6,      1.168832, ,           2.6,      1.809286, ,           2.6,      1.652593, ,           2.6,      1.436115, ,           2.6,      1.411181, , 
          2.8,      1.317774, ,           2.8,      1.233794, ,           2.8,      1.976444, ,           2.8,      1.195053, ,           2.8,      1.183037, ,           2.8,      1.180833, ,           2.8,      1.171974, ,           2.8,      1.168616, ,           2.8,       1.16692, ,           2.8,      1.815967, ,           2.8,      1.659072, ,           2.8,      1.440962, ,           2.8,       1.41561, , 
            3,      1.321561, ,             3,      1.234864, ,             3,      1.982134, ,             3,      1.194361, ,             3,      1.181986, ,             3,      1.179709, ,             3,      1.170607, ,             3,      1.167162, ,             3,       1.16542, ,             3,      1.823359, ,             3,      1.666329, ,             3,      1.446602, ,             3,      1.420811, , 
          3.2,      1.326015, ,           3.2,      1.236617, ,           3.2,      1.988382, ,           3.2,      1.194079, ,           3.2,      1.181312, ,           3.2,      1.178957, ,           3.2,      1.169597, ,           3.2,      1.166064, ,           3.2,      1.164283, ,           3.2,      1.831451, ,           3.2,      1.674432, ,           3.2,      1.453204, ,           3.2,      1.426905, , 
          3.4,      1.331032, ,           3.4,      1.239032, ,           3.4,       1.99516, ,           3.4,      1.194169, ,           3.4,      1.180994, ,           3.4,       1.17856, ,           3.4,      1.168939, ,           3.4,      1.165317, ,           3.4,      1.163498, ,           3.4,      1.840247, ,           3.4,      1.683509, ,           3.4,      1.461016, ,           3.4,      1.434091, , 
          3.6,      1.336561, ,           3.6,      1.242282, ,           3.6,      2.002467, ,           3.6,      1.194698, ,           3.6,      1.181031, ,           3.6,      1.178502, ,           3.6,      1.168599, ,           3.6,       1.16489, ,           3.6,      1.163032, ,           3.6,      1.849599, ,           3.6,      1.693156, ,           3.6,      1.469338, ,           3.6,      1.441779, , 
          3.8,      1.342604, ,           3.8,      1.246505, ,           3.8,      2.010303, ,           3.8,      1.195615, ,           3.8,      1.181414, ,           3.8,       1.17878, ,           3.8,      1.168555, ,           3.8,      1.164746, ,           3.8,      1.162836, ,           3.8,      1.859728, ,           3.8,      1.703826, ,           3.8,        1.4789, ,           3.8,      1.450568, , 
            4,      1.349322, ,             4,       1.25179, ,             4,      2.018871, ,             4,      1.197018, ,             4,      1.182178, ,             4,      1.179421, ,             4,      1.168837, ,             4,      1.164921, ,             4,      1.162941, ,             4,      1.870873, ,             4,      1.716127, ,             4,       1.49062, ,             4,       1.46125, , 
          4.2,      1.356695, ,           4.2,       1.25816, ,           4.2,       2.02825, ,           4.2,      1.198851, ,           4.2,      1.183275, ,           4.2,      1.180375, ,           4.2,      1.169397, ,           4.2,      1.165371, ,           4.2,      1.163327, ,           4.2,      1.883343, ,           4.2,       1.73075, ,           4.2,      1.505606, ,           4.2,      1.474752, , 
          4.4,       1.36472, ,           4.4,      1.265808, ,           4.4,      2.038303, ,           4.4,      1.201272, ,           4.4,      1.184755, ,           4.4,       1.18167, ,           4.4,      1.170213, ,           4.4,      1.166068, ,           4.4,      1.163959, ,           4.4,      1.896786, ,           4.4,      1.746801, ,           4.4,      1.522388, ,           4.4,      1.489851, , 
          4.6,      1.372992, ,           4.6,       1.27415, ,           4.6,      2.048214, ,           4.6,      1.204281, ,           4.6,      1.186633, ,           4.6,      1.183322, ,           4.6,       1.17128, ,           4.6,      1.166999, ,           4.6,       1.16482, ,           4.6,      1.909584, ,           4.6,      1.761215, ,           4.6,      1.536341, ,           4.6,      1.502607, , 
          4.8,      1.382216, ,           4.8,      1.282991, ,           4.8,      2.057994, ,           4.8,      1.208125, ,           4.8,      1.188965, ,           4.8,      1.185347, ,           4.8,        1.1726, ,           4.8,      1.168181, ,           4.8,      1.165934, ,           4.8,      1.921845, ,           4.8,      1.774222, ,           4.8,      1.548013, ,           4.8,      1.513612, , 
            5,      1.391599, ,             5,      1.292128, ,             5,      2.067946, ,             5,      1.213058, ,             5,      1.191888, ,             5,      1.187869, ,             5,      1.174224, ,             5,      1.169626, ,             5,      1.167297, ,             5,      1.934111, ,             5,      1.786917, ,             5,      1.558807, ,             5,      1.523887, , 
          5.2,      1.402069, ,           5.2,      1.301473, ,           5.2,      2.078152, ,           5.2,      1.220236, ,           5.2,      1.195799, ,           5.2,      1.191134, ,           5.2,       1.17616, ,           5.2,      1.171339, ,           5.2,       1.16889, ,           5.2,      1.946559, ,           5.2,      1.799629, ,           5.2,       1.56947, ,           5.2,      1.534241, , 
          5.4,      1.416474, ,           5.4,      1.311145, ,           5.4,      2.088828, ,           5.4,      1.230904, ,           5.4,      1.201109, ,           5.4,      1.195386, ,           5.4,      1.178431, ,           5.4,       1.17335, ,           5.4,      1.170775, ,           5.4,      1.959523, ,           5.4,      1.812852, ,           5.4,      1.580985, ,           5.4,      1.545941, , 
          5.6,      1.454506, ,           5.6,      1.322514, , , , ,           5.6,      1.246766, ,           5.6,      1.208421, ,           5.6,      1.201013, ,           5.6,      1.181066, ,           5.6,      1.175676, ,           5.6,       1.17295, , , , , , , ,           5.6,      1.597214, ,           5.6,      1.565509, , 
          5.8,      1.465211, ,           5.8,      1.334119, , , , ,           5.8,      1.263176, ,           5.8,      1.216274, ,           5.8,      1.207181, ,           5.8,       1.18415, ,           5.8,      1.178394, ,           5.8,      1.175481, , , , , , , ,           5.8,      1.609446, ,           5.8,      1.577243, , 
, , , , , , , , ,             6,      1.277785, ,             6,      1.224259, ,             6,       1.21386, ,             6,      1.187989, ,             6,      1.181664, ,             6,      1.178458, , , , , , , , , , , , , , 

