Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            0,      2.414441, ,             0,      2.380688, ,             0,      2.373534, ,             0,      2.746166, ,             0,      2.545919, , 
          0.2,      2.400205, ,           0.2,      2.366716, ,           0.2,      2.359551, ,           0.2,      2.732587, ,           0.2,       2.53279, , 
          0.4,      2.386782, ,           0.4,      2.353557, ,           0.4,      2.346366, ,           0.4,      2.719851, ,           0.4,      2.520472, , 
          0.6,      2.374124, ,           0.6,      2.341157, ,           0.6,      2.333889, ,           0.6,      2.707896, ,           0.6,      2.508892, , 
          0.8,      2.362214, ,           0.8,      2.329381, ,           0.8,      2.322063, ,           0.8,      2.696719, ,           0.8,      2.498028, , 
            1,      2.350993, ,             1,      2.318076, ,             1,      2.310936, ,             1,      2.686283, ,             1,      2.487846, , 
          1.2,      2.340438, ,           1.2,      2.307285, ,           1.2,       2.30045, ,           1.2,      2.676555, ,           1.2,      2.478316, , 
          1.4,      2.330562, ,           1.4,      2.297219, ,           1.4,      2.290525, ,           1.4,      2.667515, ,           1.4,      2.469429, , 
          1.6,      2.321287, ,           1.6,      2.287928, ,           1.6,      2.281263, ,           1.6,      2.659167, ,           1.6,      2.461165, , 
          1.8,      2.312603, ,           1.8,      2.279259, ,           1.8,      2.272519, ,           1.8,       2.65145, ,           1.8,      2.453486, , 
            2,      2.304469, ,             2,      2.271122, ,             2,       2.26435, ,             2,      2.644342, ,             2,      2.446374, , 
          2.2,      2.296863, ,           2.2,      2.263438, ,           2.2,      2.256477, ,           2.2,      2.637834, ,           2.2,      2.439811, , 
          2.4,      2.289768, ,           2.4,      2.256288, ,           2.4,      2.249125, ,           2.4,      2.631906, ,           2.4,      2.433779, , 
          2.6,      2.283158, ,           2.6,       2.24954, ,           2.6,      2.242137, ,           2.6,      2.626537, ,           2.6,      2.428261, , 
          2.8,      2.277016, ,           2.8,      2.243228, ,           2.8,       2.23554, ,           2.8,       2.62173, ,           2.8,      2.423253, , 
            3,      2.271347, ,             3,      2.237289, ,             3,      2.229408, ,             3,      2.617442, ,             3,      2.418735, , 
          3.2,      2.266129, ,           3.2,      2.231818, ,           3.2,      2.223767, ,           3.2,      2.613665, ,           3.2,      2.414679, , 
          3.4,       2.26132, ,           3.4,      2.226787, ,           3.4,      2.218553, ,           3.4,      2.610395, ,           3.4,      2.411089, , 
          3.6,      2.256908, ,           3.6,      2.222093, ,           3.6,       2.21369, ,           3.6,      2.607605, ,           3.6,      2.407939, , 
          3.8,      2.252874, ,           3.8,      2.217792, ,           3.8,      2.209388, ,           3.8,       2.60529, ,           3.8,      2.405211, , 
            4,      2.249208, ,             4,      2.213868, ,             4,      2.205528, ,             4,      2.603444, ,             4,      2.402901, , 
          4.2,      2.245893, ,           4.2,      2.210304, ,           4.2,      2.202014, ,           4.2,      2.602065, ,           4.2,       2.40102, , 
          4.4,       2.24292, ,           4.4,      2.206883, ,           4.4,      2.198795, ,           4.4,      2.601107, ,           4.4,      2.399547, , 
          4.6,      2.240275, ,           4.6,      2.203931, ,           4.6,      2.195928, ,           4.6,      2.600589, ,           4.6,      2.398477, , 
          4.8,      2.237951, ,           4.8,      2.201145, ,           4.8,      2.193289, ,           4.8,      2.600332, ,           4.8,      2.397791, , 
            5,      2.235935, ,             5,      2.198769, ,             5,      2.190988, ,             5,      2.600335, ,             5,      2.397497, , 
          5.2,      2.234217, ,           5.2,      2.196674, ,           5.2,      2.188939, ,           5.2,      2.600993, ,           5.2,      2.397565, , 
          5.4,      2.232784, ,           5.4,      2.194839, ,           5.4,      2.186998, ,           5.4,      2.602042, ,           5.4,      2.397984, , 
          5.6,      2.231623, ,           5.6,      2.193269, ,           5.6,      2.185419, ,           5.6,      2.603464, ,           5.6,      2.398769, , 
          5.8,      2.230734, ,           5.8,      2.191932, ,           5.8,      2.184097, ,           5.8,      2.605249, ,           5.8,      2.399891, , 
            6,      2.230129, ,             6,      2.190815, ,             6,      2.183009, ,             6,      2.607404, ,             6,      2.401344, , 
          6.2,      2.229787, ,           6.2,      2.189908, ,           6.2,      2.182068, ,           6.2,      2.609927, ,           6.2,      2.403138, , 
          6.4,      2.229688, ,           6.4,      2.189215, ,           6.4,      2.181388, ,           6.4,       2.61279, ,           6.4,      2.405283, , 
          6.6,      2.229825, ,           6.6,      2.188741, ,           6.6,      2.180898, ,           6.6,         2.616, ,           6.6,      2.407782, , 
          6.8,      2.230203, ,           6.8,      2.188478, ,           6.8,      2.180629, ,           6.8,      2.619562, ,           6.8,      2.410593, , 
            7,      2.230838, ,             7,      2.188421, ,             7,      2.180431, ,             7,      2.623432, ,             7,      2.413717, , 
          7.2,      2.231724, ,           7.2,       2.18855, ,           7.2,      2.180381, ,           7.2,      2.627633, ,           7.2,      2.417172, , 
          7.4,      2.232836, ,           7.4,      2.188868, ,           7.4,      2.180617, ,           7.4,      2.632149, ,           7.4,      2.420911, , 
          7.6,      2.234176, ,           7.6,      2.189373, ,           7.6,      2.180986, ,           7.6,       2.63695, ,           7.6,      2.424925, , 
          7.8,      2.235753, ,           7.8,      2.190028, ,           7.8,      2.181531, ,           7.8,      2.642033, ,           7.8,      2.429213, , 
            8,      2.237603, ,             8,      2.190897, ,             8,      2.182283, ,             8,      2.647428, ,             8,      2.433814, , 
          8.2,      2.239691, ,           8.2,      2.191937, ,           8.2,      2.183215, ,           8.2,      2.653133, ,           8.2,      2.438722, , 
          8.4,      2.242008, ,           8.4,       2.19316, ,           8.4,      2.184319, ,           8.4,       2.65912, ,           8.4,      2.443935, , 
          8.6,      2.244576, ,           8.6,      2.194561, ,           8.6,        2.1856, ,           8.6,      2.665375, ,           8.6,      2.449439, , 
          8.8,      2.247392, ,           8.8,       2.19613, ,           8.8,      2.187004, ,           8.8,      2.671883, ,           8.8,      2.455216, , 
            9,      2.250452, ,             9,      2.197863, ,             9,      2.188606, ,             9,      2.678686, ,             9,      2.461282, , 

