Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            0,      1.081707, ,             0,       1.04224, ,            -1,      1.269041, , 
          0.2,      1.076871, ,           0.2,      1.036434, ,          -0.8,      1.263745, , 
          0.4,      1.072564, ,           0.4,      1.031067, ,          -0.6,      1.259248, , 
          0.6,      1.068812, ,           0.6,      1.026148, ,          -0.4,      1.255545, , 
          0.8,      1.065603, ,           0.8,      1.021659, ,          -0.2,      1.252584, , 
            1,      1.062959, ,             1,      1.017591, ,             0,      1.250429, , 
          1.2,      1.060907, ,           1.2,      1.014009, ,           0.2,      1.249076, , 
          1.4,      1.059421, ,           1.4,      1.010891, ,           0.4,      1.248438, , 
          1.6,      1.058526, ,           1.6,      1.008242, ,           0.6,       1.24856, , 
          1.8,      1.058283, ,           1.8,      1.006032, ,           0.8,      1.249395, , 
            2,      1.058715, ,             2,      1.004276, ,             1,      1.250907, , 
          2.2,      1.059885, ,           2.2,      1.002958, ,           1.2,      1.253202, , 
          2.4,      1.061818, ,           2.4,      1.002042, ,           1.4,      1.256244, , 
          2.6,      1.064651, ,           2.6,      1.001507, ,           1.6,      1.260063, , 
          2.8,      1.068541, ,           2.8,      1.001306, ,           1.8,      1.264627, , 
            3,      1.073645, ,             3,      1.001515, ,             2,      1.270114, , 
          3.2,      1.080024, ,           3.2,      1.002085, ,           2.2,      1.276653, , 
          3.4,      1.087621, ,           3.4,      1.003017, ,           2.4,      1.284567, , 
          3.6,      1.095959, ,           3.6,      1.004359, ,           2.6,      1.293158, , 
          3.8,      1.104757, ,           3.8,      1.006133, ,           2.8,      1.303074, , 
            4,      1.113813, ,             4,      1.008593, ,             3,      1.315803, , 
          4.2,      1.123156, ,           4.2,      1.012007, ,           3.2,      1.332188, , 
          4.4,      1.133461, ,           4.4,      1.016782, ,           3.4,      1.349267, , 
          4.6,      1.145635, ,           4.6,      1.022595, ,           3.6,      1.362951, , 
, , ,           4.8,      1.028817, ,           3.8,      1.375162, , 
, , , , , ,             4,      1.386764, , 
, , , , , ,           4.2,      1.399016, , 
, , , , , ,           4.4,      1.416044, , 
, , , , , ,           4.6,      1.429899, , 

