Alpha,T1-15.8 m/s-VLM2, , 
           -1,      3.065271, , 
         -0.8,      3.041963, , 
         -0.6,      3.019846, , 
         -0.4,      2.998829, , 
         -0.2,      2.978881, , 
            0,      2.959949, , 
          0.2,      2.941995, , 
          0.4,      2.924972, , 
          0.6,      2.908835, , 
          0.8,      2.893544, , 
            1,      2.879064, , 
          1.2,      2.865337, , 
          1.4,      2.852351, , 
          1.6,       2.84007, , 
          1.8,      2.828465, , 
            2,      2.817518, , 
          2.2,      2.807182, , 
          2.4,      2.797443, , 
          2.6,      2.788281, , 
          2.8,      2.779632, , 
            3,      2.771499, , 
          3.2,      2.763866, , 
          3.4,      2.756716, , 
          3.6,       2.75003, , 
          3.8,      2.743794, , 
            4,      2.738003, , 
          4.2,      2.732624, , 
          4.4,      2.727652, , 
          4.6,      2.723077, , 
          4.8,      2.718877, , 
            5,      2.715041, , 
          5.2,      2.711548, , 
          5.4,      2.708389, , 
          5.6,      2.705554, , 
          5.8,      2.703035, , 
            6,      2.700819, , 
          6.2,      2.698887, , 
          6.4,       2.69724, , 
          6.6,      2.695867, , 
          6.8,      2.694756, , 
            7,      2.693904, , 
          7.2,      2.693308, , 
          7.4,      2.692958, , 
          7.6,      2.692845, , 
          7.8,       2.69296, , 
            8,      2.693296, , 
          8.2,      2.693844, , 
          8.4,      2.694603, , 
          8.6,      2.695566, , 
          8.8,      2.696731, , 
            9,      2.698093, , 

