Alpha,T1-15.8 m/s-VLM2, , 
           -1,      2.775315, , 
         -0.8,      2.579969, , 
         -0.6,      2.414931, , 
         -0.4,      2.274317, , 
         -0.2,       2.15364, , 
            0,      2.049447, , 
          0.2,      1.958977, , 
          0.4,      1.880054, , 
          0.6,      1.810902, , 
          0.8,      1.750099, , 
            1,      1.696475, , 
          1.2,      1.649041, , 
          1.4,      1.606995, , 
          1.6,      1.569674, , 
          1.8,      1.536619, , 
            2,      1.507701, , 
          2.2,       1.48562, , 
          2.4,      1.468408, , 
          2.6,      1.454359, , 
          2.8,      1.443802, , 
            3,      1.437977, , 
          3.2,      1.437738, , 
          3.4,      1.439775, , 
          3.6,      1.448619, , 
          3.8,      1.457816, , 
            4,      1.468029, , 
          4.2,      1.479367, , 
          4.4,      1.493905, , 
          4.6,      1.511156, , 
          4.8,      1.529706, , 
            5,      1.551597, , 
          5.2,      1.563099, , 
          5.4,      1.587122, , 
          5.6,      1.609225, , 
          5.8,       1.62751, , 
            6,       1.64936, , 
          6.2,      1.668458, , 
          6.4,      1.688691, , 
          6.6,      1.710099, , 
          6.8,      1.731943, , 
            7,      1.753866, , 

