Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.4,      1.217331, ,           2.4,      1.154449, ,           2.4,      1.630658, ,           2.4,       1.11828, ,           2.4,      1.108836, ,           2.4,      1.104061, ,           2.4,      1.087526, ,           2.4,      1.079956, ,           2.4,      1.076403, ,           2.4,      1.536254, ,           2.4,      1.435392, ,           2.4,      1.291045, ,           2.4,      1.275639, , 
          2.6,      1.225358, ,           2.6,      1.164767, ,           2.6,      1.616089, ,           2.6,      1.131887, ,           2.6,      1.118223, ,           2.6,      1.112806, ,           2.6,      1.095577, ,           2.6,      1.088446, ,           2.6,      1.084746, ,           2.6,      1.525946, ,           2.6,      1.428717, ,           2.6,      1.291618, ,           2.6,      1.277604, , 
          2.8,      1.237415, ,           2.8,      1.177052, ,           2.8,      1.608589, ,           2.8,        1.1498, ,           2.8,      1.135827, ,           2.8,      1.131131, ,           2.8,      1.116183, ,           2.8,      1.109291, ,           2.8,      1.105157, ,           2.8,      1.522353, ,           2.8,      1.427714, ,           2.8,      1.298261, ,           2.8,      1.285502, , 
            3,      1.251033, ,             3,      1.193507, ,             3,      1.605441, ,             3,      1.173167, ,             3,      1.158423, ,             3,      1.153166, ,             3,      1.139986, ,             3,      1.133045, ,             3,      1.129378, ,             3,      1.522632, ,             3,      1.432951, ,             3,      1.309399, ,             3,       1.29721, , 
          3.2,      1.266429, ,           3.2,      1.212488, ,           3.2,      1.604979, ,           3.2,      1.193966, ,           3.2,      1.179951, ,           3.2,       1.17438, ,           3.2,      1.162966, ,           3.2,      1.155636, ,           3.2,      1.151162, ,           3.2,      1.525674, ,           3.2,      1.440279, ,           3.2,      1.323294, ,           3.2,      1.311756, , 
          3.4,      1.282396, ,           3.4,      1.236626, ,           3.4,      1.605258, ,           3.4,      1.215957, ,           3.4,      1.201651, ,           3.4,      1.197117, ,           3.4,      1.187278, ,           3.4,      1.181708, ,           3.4,      1.179164, ,           3.4,      1.529384, ,           3.4,      1.448524, ,           3.4,      1.337887, ,           3.4,      1.326856, , 
          3.6,      1.299785, ,           3.6,      1.250984, ,           3.6,      1.606698, ,           3.6,      1.239709, ,           3.6,      1.223923, ,           3.6,      1.218908, ,           3.6,      1.211736, ,           3.6,      1.207832, ,           3.6,      1.206112, ,           3.6,      1.533814, ,           3.6,      1.457461, ,           3.6,      1.353224, ,           3.6,      1.342852, , 
          3.8,      1.320888, ,           3.8,       1.27724, ,           3.8,      1.609378, ,           3.8,       1.26251, ,           3.8,      1.246329, ,           3.8,      1.244261, ,           3.8,      1.235192, ,           3.8,      1.232075, ,           3.8,      1.229726, ,           3.8,      1.539238, ,           3.8,      1.466419, ,           3.8,       1.36878, ,           3.8,      1.359124, , 
            4,      1.335189, ,             4,      1.297807, ,             4,      1.612815, ,             4,      1.283642, ,             4,      1.269273, ,             4,      1.267551, ,             4,      1.259464, ,             4,      1.256956, ,             4,      1.251685, ,             4,      1.545098, ,             4,      1.476421, ,             4,      1.384576, ,             4,      1.375237, , 
          4.2,      1.356901, ,           4.2,      1.321437, ,           4.2,       1.61695, ,           4.2,        1.3044, ,           4.2,      1.291816, ,           4.2,      1.290499, ,           4.2,      1.282948, ,           4.2,      1.273738, ,           4.2,      1.265038, ,           4.2,      1.551369, ,           4.2,      1.486701, ,           4.2,      1.400787, ,           4.2,      1.391833, , 
          4.4,      1.375544, ,           4.4,      1.341452, ,           4.4,      1.622138, ,           4.4,      1.325408, ,           4.4,      1.314529, ,           4.4,      1.313194, ,           4.4,       1.29433, ,           4.4,      1.285079, ,           4.4,      1.278283, ,           4.4,      1.558545, ,           4.4,      1.497479, ,           4.4,      1.416489, ,           4.4,      1.408015, , 
          4.6,      1.392432, ,           4.6,      1.362201, ,           4.6,      1.628754, ,           4.6,      1.346359, ,           4.6,      1.336067, ,           4.6,      1.333274, ,           4.6,       1.31172, ,           4.6,      1.311516, ,           4.6,      1.310218, ,           4.6,      1.567084, ,           4.6,      1.509222, ,           4.6,      1.433114, ,           4.6,      1.424766, , 
          4.8,      1.411905, ,           4.8,      1.383463, ,           4.8,      1.636661, ,           4.8,      1.367136, ,           4.8,      1.352275, ,           4.8,      1.347654, , , , , , , , , , ,           4.8,        1.5768, ,           4.8,      1.521864, ,           4.8,      1.449935, ,           4.8,      1.442128, , 
            5,       1.43355, ,             5,      1.404821, ,             5,      1.646122, ,             5,      1.388505, ,             5,       1.37056, ,             5,      1.365507, , , , , , , , , , ,             5,      1.587932, ,             5,      1.535575, ,             5,      1.467171, ,             5,      1.459928, , 
          5.2,       1.45142, ,           5.2,      1.427118, ,           5.2,      1.657712, ,           5.2,      1.409513, ,           5.2,      1.383086, ,           5.2,       1.38418, , , , , , , , , , ,           5.2,      1.601039, ,           5.2,      1.550902, ,           5.2,      1.485964, ,           5.2,      1.479088, , 
          5.4,      1.473318, ,           5.4,        1.4504, ,           5.4,      1.671865, ,           5.4,      1.428324, ,           5.4,      1.409928, ,           5.4,      1.410679, , , , , , , , , , ,           5.4,       1.61653, ,           5.4,      1.568153, ,           5.4,      1.506091, ,           5.4,      1.499605, , 
          5.6,      1.497391, ,           5.6,      1.474443, , , , ,           5.6,      1.445172, ,           5.6,      1.446417, ,           5.6,      1.443674, , , , , , , , , , , , , , , , ,           5.6,      1.527417, ,           5.6,      1.521532, , 
          5.8,      1.522898, ,           5.8,      1.500058, , , , ,           5.8,      1.468373, ,           5.8,      1.470717, ,           5.8,      1.469107, , , , , , , , , , , , , , , , ,           5.8,      1.551259, ,           5.8,      1.545748, , 
, , , , , , , , ,             6,      1.557375, ,             6,      1.520595, ,             6,      1.512255, , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , ,           6.2,      1.932372, ,           6.2,      1.943439, ,           6.2,      1.942964, , , , , , , , , , , , , , , , , , , , , , , 

