Alpha,T1-15.8 m/s-VLM2, , 
           -1,      1.597569, , 
         -0.8,      1.475801, , 
         -0.6,      1.373576, , 
         -0.4,      1.286978, , 
         -0.2,      1.213002, , 
            0,      1.149389, , 
          0.2,       1.09439, , 
          0.4,      1.046641, , 
          0.6,       1.00522, , 
          0.8,     0.9714212, , 
            1,     0.9464223, , 
          1.2,     0.9331741, , 
          1.4,     0.9361832, , 
          1.6,     0.9446432, , 
          1.8,     0.9571309, , 
            2,     0.9772221, , 
          2.2,     0.9987436, , 
          2.4,      1.022973, , 
          2.6,      1.045235, , 
          2.8,      1.068664, , 
            3,      1.094661, , 
          3.2,      1.115238, , 
          3.4,       1.13599, , 
          3.6,      1.155213, , 
          3.8,      1.175445, , 
            4,      1.196392, , 
          4.2,      1.218737, , 
          4.4,      1.243076, , 
          4.6,      1.269319, , 
          4.8,      1.297959, , 

