Alpha,T1-15.8 m/s-VLM2, , 
           -2,     0.1754132, , 
         -1.8,     0.1841673, , 
         -1.6,     0.1929157, , 
         -1.4,     0.2016582, , 
         -1.2,     0.2103945, , 
           -1,     0.2191241, , 
         -0.8,     0.2278468, , 
         -0.6,     0.2365622, , 
         -0.4,       0.24527, , 
         -0.2,     0.2539698, , 
            0,     0.2626614, , 
          0.2,     0.2713443, , 
          0.4,     0.2800184, , 
          0.6,     0.2886831, , 
          0.8,     0.2973383, , 
            1,     0.3059835, , 
          1.2,     0.3146184, , 
          1.4,     0.3232428, , 
          1.6,     0.3318563, , 
          1.8,     0.3404585, , 
            2,     0.3490492, , 
          2.2,      0.357628, , 
          2.4,     0.3661946, , 
          2.6,     0.3747486, , 
          2.8,     0.3832899, , 
            3,     0.3918179, , 
          3.2,     0.4003325, , 
          3.4,     0.4088332, , 
          3.6,     0.4173199, , 
          3.8,     0.4257921, , 
            4,     0.4342496, , 
          4.2,      0.442692, , 
          4.4,      0.451119, , 
          4.6,     0.4595304, , 
          4.8,     0.4679257, , 
            5,     0.4763048, , 
          5.2,     0.4846673, , 
          5.4,     0.4930129, , 
          5.6,     0.5013412, , 
          5.8,     0.5096521, , 
            6,     0.5179451, , 
          6.2,     0.5262201, , 
          6.4,     0.5344766, , 
          6.6,     0.5427144, , 
          6.8,     0.5509333, , 
            7,     0.5591328, , 
          7.2,     0.5673128, , 
          7.4,     0.5754729, , 
          7.6,     0.5836129, , 
          7.8,     0.5917324, , 
            8,     0.5998312, , 

