Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,       3.72409, ,            -2,      3.442524, ,            -2,      4.277727, , 
         -1.8,      3.477321, ,          -1.8,      3.214885, ,          -1.8,      3.999456, , 
         -1.6,      3.265057, ,          -1.6,      3.022476, ,          -1.6,       3.76089, , 
         -1.4,      3.083077, ,          -1.4,      2.859999, ,          -1.4,      3.555269, , 
         -1.2,      2.928206, ,          -1.2,      2.722024, ,          -1.2,      3.377401, , 
           -1,      2.795174, ,            -1,      2.604497, ,            -1,      3.222668, , 
         -0.8,      2.680052, ,          -0.8,      2.503736, ,          -0.8,      3.087714, , 
         -0.6,      2.579807, ,          -0.6,      2.416267, ,          -0.6,      2.969823, , 
         -0.4,      2.492063, ,          -0.4,      2.339698, ,          -0.4,      2.866582, , 
         -0.2,      2.415018, ,          -0.2,      2.272175, ,          -0.2,      2.775805, , 
            0,      2.347796, ,             0,      2.212312, ,             0,      2.695627, , 
          0.2,      2.289123, ,           0.2,      2.159389, ,           0.2,      2.624448, , 
          0.4,      2.237959, ,           0.4,      2.113689, ,           0.4,      2.560962, , 
          0.6,       2.19332, ,           0.6,      2.073566, ,           0.6,      2.504299, , 
          0.8,      2.154058, ,           0.8,      2.038018, ,           0.8,      2.453552, , 
            1,      2.119234, ,             1,      2.007618, ,             1,      2.407914, , 
          1.2,      2.088405, ,           1.2,      1.980908, ,           1.2,      2.366784, , 
          1.4,      2.061118, ,           1.4,      1.957354, ,           1.4,      2.329625, , 
          1.6,      2.036903, ,           1.6,       1.93668, ,           1.6,      2.296015, , 
          1.8,      2.015456, ,           1.8,      1.918516, ,           1.8,      2.265589, , 
            2,      1.996437, ,             2,      1.902533, ,             2,      2.238039, , 
          2.2,      1.979539, ,           2.2,      1.888329, ,           2.2,      2.213078, , 
          2.4,      1.964556, ,           2.4,      1.875953, ,           2.4,       2.19047, , 
          2.6,      1.951265, ,           2.6,      1.865354, ,           2.6,      2.170011, , 
          2.8,      1.939507, ,           2.8,      1.856177, ,           2.8,      2.151534, , 
            3,      1.929145, ,             3,      1.848265, ,             3,       2.13486, , 
          3.2,      1.920054, ,           3.2,      1.841492, ,           3.2,      2.119836, , 
          3.4,      1.912121, ,           3.4,      1.835738, ,           3.4,      2.106338, , 
          3.6,      1.905257, ,           3.6,      1.830925, ,           3.6,      2.094254, , 
          3.8,       1.89938, ,           3.8,      1.826976, ,           3.8,      2.083466, , 
            4,      1.894408, ,             4,       1.82382, ,             4,      2.073878, , 
          4.2,      1.890282, ,           4.2,        1.8214, ,           4.2,      2.065416, , 
          4.4,      1.886944, ,           4.4,      1.819675, ,           4.4,      2.058004, , 
          4.6,      1.884325, ,           4.6,      1.818579, ,           4.6,      2.051554, , 
          4.8,      1.882385, ,           4.8,      1.818074, ,           4.8,      2.046018, , 
            5,      1.881087, ,             5,      1.818129, ,             5,      2.041352, , 
          5.2,      1.880385, ,           5.2,      1.818696, ,           5.2,      2.037482, , 
          5.4,      1.880255, ,           5.4,      1.819757, ,           5.4,      2.034379, , 
          5.6,      1.880682, ,           5.6,      1.821307, ,           5.6,      2.032018, , 
          5.8,      1.881637, ,           5.8,      1.823324, ,           5.8,       2.03035, , 
            6,      1.883138, ,             6,      1.825856, ,             6,      2.029392, , 
          6.2,      1.885217, ,           6.2,      1.828982, ,           6.2,       2.02915, , 
          6.4,      1.887898, ,           6.4,      1.832789, ,           6.4,      2.029613, , 
          6.6,      1.891324, ,           6.6,      1.837451, ,           6.6,      2.030867, , 
          6.8,      1.895502, ,           6.8,      1.842893, ,           6.8,      2.032945, , 
            7,      1.900482, ,             7,      1.849115, ,             7,      2.035814, , 
          7.2,      1.906255, ,           7.2,      1.856118, ,           7.2,       2.03952, , 
          7.4,      1.912747, ,           7.4,      1.863805, ,           7.4,      2.043969, , 
          7.6,      1.919946, ,           7.6,      1.872183, ,           7.6,      2.049006, , 
          7.8,      1.927912, ,           7.8,        1.8812, ,           7.8,      2.054637, , 
            8,      1.936482, ,             8,      1.890625, ,             8,      2.060767, , 

