Alpha,T1-15.8 m/s-VLM2, , 
           -2,     0.2802347, , 
         -1.8,     0.2957829, , 
         -1.6,     0.3113252, , 
         -1.4,     0.3268613, , 
         -1.2,     0.3423906, , 
           -1,     0.3579127, , 
         -0.8,     0.3734274, , 
         -0.6,      0.388934, , 
         -0.4,     0.4044323, , 
         -0.2,     0.4199218, , 
            0,     0.4354021, , 
          0.2,     0.4508728, , 
          0.4,     0.4663334, , 
          0.6,     0.4817836, , 
          0.8,      0.497223, , 
            1,     0.5126511, , 
          1.2,     0.5280675, , 
          1.4,     0.5434718, , 
          1.6,     0.5588637, , 
          1.8,     0.5742427, , 
            2,     0.5896083, , 
          2.2,     0.6049603, , 
          2.4,     0.6202982, , 
          2.6,     0.6356215, , 
          2.8,       0.65093, , 
            3,     0.6662231, , 
          3.2,     0.6815005, , 
          3.4,     0.6967618, , 
          3.6,     0.7120066, , 
          3.8,     0.7272344, , 
            4,      0.742445, , 
          4.2,     0.7576379, , 
          4.4,     0.7728126, , 
          4.6,     0.7879689, , 

