Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      6.102557, ,            -1,       5.96721, ,            -1,      5.939471, ,            -1,      7.077374, ,            -1,      6.559805, , 
         -0.8,      6.081175, ,          -0.8,      5.940985, ,          -0.8,      5.911562, ,          -0.8,      7.073421, ,          -0.8,      6.549096, , 
         -0.6,      6.063186, ,          -0.6,      5.917735, ,          -0.6,      5.886245, ,          -0.6,      7.072849, ,          -0.6,      6.541647, , 
         -0.4,      6.048498, ,          -0.4,      5.897906, ,          -0.4,      5.864138, ,          -0.4,      7.075524, ,          -0.4,      6.537291, , 
         -0.2,      6.037035, ,          -0.2,       5.88162, ,          -0.2,      5.845739, ,          -0.2,      7.081319, ,          -0.2,       6.53589, , 
            0,      6.028659, ,             0,      5.869086, ,             0,      5.831448, ,             0,      7.090136, ,             0,      6.537274, , 
          0.2,      6.023285, ,           0.2,      5.860253, ,           0.2,      5.821336, ,           0.2,      7.101933, ,           0.2,      6.541332, , 
          0.4,      6.020791, ,           0.4,      5.854971, ,           0.4,      5.815164, ,           0.4,      7.116656, ,           0.4,      6.547921, , 
          0.6,       6.02097, ,           0.6,       5.85298, ,           0.6,      5.812569, ,           0.6,      7.134232, ,           0.6,      6.556912, , 
          0.8,      6.023679, ,           0.8,      5.854007, ,           0.8,      5.813171, ,           0.8,      7.154777, ,           0.8,      6.568239, , 
            1,      6.028719, ,             1,      5.857626, ,             1,      5.816432, ,             1,       7.17826, ,             1,      6.581781, , 
          1.2,      6.035973, ,           1.2,      5.863613, ,           1.2,      5.822063, ,           1.2,      7.204712, ,           1.2,      6.597468, , 
          1.4,      6.045212, ,           1.4,      5.871686, ,           1.4,      5.829802, ,           1.4,       7.23413, ,           1.4,      6.615194, , 
          1.6,      6.056325, ,           1.6,      5.881664, ,           1.6,      5.839503, ,           1.6,      7.266653, ,           1.6,         6.635, , 
          1.8,      6.069154, ,           1.8,      5.893407, ,           1.8,      5.851003, ,           1.8,      7.302288, ,           1.8,      6.656833, , 
