Alpha,T1-15.8 m/s-VLM2, , 
            1,     0.8407393, , 
          1.2,     0.8370645, , 
          1.4,      0.833827, , 
          1.6,     0.8309697, , 
          1.8,     0.8284739, , 
            2,     0.8263202, , 
          2.2,     0.8244815, , 
          2.4,      0.822935, , 
          2.6,     0.8216867, , 
          2.8,     0.8207263, , 
            3,     0.8200662, , 
          3.2,     0.8197193, , 
          3.4,     0.8197296, , 
          3.6,     0.8201893, , 
          3.8,     0.8211897, , 
            4,      0.822802, , 
          4.2,     0.8252507, , 
          4.4,     0.8296257, , 
          4.6,      0.837032, , 

