Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            1,      1.825121, ,             1,      1.800333, ,             1,      1.907964, , 
          1.2,      1.813908, ,           1.2,      1.788919, ,           1.2,      1.897628, , 
          1.4,      1.803386, ,           1.4,      1.778185, ,           1.4,      1.888003, , 
          1.6,      1.793521, ,           1.6,      1.768102, ,           1.6,      1.879052, , 
          1.8,      1.784277, ,           1.8,      1.758636, ,           1.8,      1.870754, , 
            2,      1.775618, ,             2,      1.749736, ,             2,      1.863077, , 
          2.2,      1.767527, ,           2.2,      1.741368, ,           2.2,      1.856009, , 
          2.4,      1.759997, ,           2.4,        1.7335, ,           2.4,      1.849519, , 
          2.6,      1.752995, ,           2.6,      1.726124, ,           2.6,      1.843579, , 
          2.8,      1.746481, ,           2.8,      1.719236, ,           2.8,      1.838177, , 
            3,      1.740434, ,             3,      1.712765, ,             3,      1.833309, , 
          3.2,      1.734836, ,           3.2,      1.706614, ,           3.2,      1.828949, , 
          3.4,      1.729694, ,           3.4,      1.700811, ,           3.4,      1.825063, , 
          3.6,      1.725027, ,           3.6,      1.695383, ,           3.6,      1.821667, , 
          3.8,      1.720773, ,           3.8,      1.690446, ,           3.8,      1.818725, , 
            4,      1.716916, ,             4,      1.685919, ,             4,      1.816221, , 
          4.2,      1.713451, ,           4.2,      1.681774, ,           4.2,      1.814162, , 
          4.4,      1.710376, ,           4.4,      1.677928, ,           4.4,       1.81255, , 
          4.6,      1.707679, ,           4.6,      1.674471, ,           4.6,       1.81135, , 
          4.8,      1.705361, ,           4.8,      1.671393, ,           4.8,      1.810569, , 
            5,      1.703393, ,             5,      1.668793, ,             5,      1.810225, , 
          5.2,      1.701761, ,           5.2,      1.666689, ,           5.2,      1.810328, , 
          5.4,      1.700448, ,           5.4,      1.665048, ,           5.4,      1.810873, , 
          5.6,      1.699444, ,           5.6,      1.663785, ,           5.6,       1.81187, , 
          5.8,      1.698748, ,           5.8,      1.662864, ,           5.8,      1.813379, , 
            6,      1.698341, ,             6,      1.662226, ,             6,      1.815421, , 
          6.2,      1.698204, ,           6.2,      1.661823, ,           6.2,      1.818023, , 
          6.4,      1.698316, ,           6.4,      1.661651, ,           6.4,      1.821198, , 
          6.6,      1.698666, ,           6.6,      1.661748, ,           6.6,      1.825136, , 
          6.8,       1.69924, ,           6.8,      1.662095, ,           6.8,      1.829926, , 
            7,      1.700036, ,             7,      1.662572, ,             7,      1.835513, , 
          7.2,      1.701044, ,           7.2,      1.663247, ,           7.2,      1.841943, , 
          7.4,      1.702255, ,           7.4,      1.664109, ,           7.4,       1.84934, , 
          7.6,      1.703675, ,           7.6,      1.665204, ,           7.6,      1.857715, , 
          7.8,       1.70529, ,           7.8,      1.666517, ,           7.8,      1.867029, , 
            8,      1.707092, ,             8,      1.667901, ,             8,      1.876956, , 
          8.2,      1.709068, ,           8.2,      1.669479, ,           8.2,      1.887316, , 
          8.4,      1.711231, ,           8.4,      1.671173, ,           8.4,      1.899056, , 
          8.6,      1.713594, ,           8.6,      1.672989, ,           8.6,      1.914385, , 
          8.8,      1.716153, ,           8.8,      1.674924, ,           8.8,      1.944737, , 
            9,      1.718924, ,             9,      1.676967, ,             9,      1.974471, , 
          9.2,       1.72192, ,           9.2,      1.679119, ,           9.2,      1.986536, , 
          9.4,      1.725175, ,           9.4,      1.681405, ,           9.4,      1.996208, , 
          9.6,      1.728751, ,           9.6,      1.683886, ,           9.6,       2.00577, , 
          9.8,      1.732679, ,           9.8,      1.686417, ,           9.8,      2.015678, , 
           10,      1.736942, ,            10,      1.689197, ,            10,       2.02554, , 

