Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, ,            -5,      0.792248, , 
         -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, ,          -4.8,     0.8071723, , 
         -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, ,          -4.6,     0.8220804, , 
         -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, ,          -4.4,     0.8369719, , 
         -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, ,          -4.2,     0.8518463, , 
           -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, ,            -4,     0.8667033, , 
         -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, ,          -3.8,     0.8815424, , 
         -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, ,          -3.6,     0.8963632, , 
         -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, ,          -3.4,     0.9111654, , 
         -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, ,          -3.2,     0.9259486, , 
           -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, ,            -3,     0.9407123, , 
         -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, ,          -2.8,     0.9554561, , 
         -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, ,          -2.6,     0.9701797, , 
         -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, ,          -2.4,     0.9848827, , 
         -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, ,          -2.2,     0.9995646, , 
           -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, ,            -2,      1.014225, , 
         -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, ,          -1.8,      1.028864, , 
         -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, ,          -1.6,       1.04348, , 
         -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, ,          -1.4,      1.058074, , 
         -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, ,          -1.2,      1.072645, , 
           -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, ,            -1,      1.087192, , 
         -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, ,          -0.8,      1.101716, , 
         -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, ,          -0.6,      1.116216, , 
         -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, ,          -0.4,      1.130691, , 
         -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, ,          -0.2,      1.145141, , 
            0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, ,             0,      1.159566, , 
          0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, ,           0.2,      1.173965, , 
          0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, ,           0.4,      1.188339, , 
          0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, ,           0.6,      1.202686, , 
          0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, ,           0.8,      1.217006, , 
            1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, ,             1,      1.231299, , 
          1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, ,           1.2,      1.245564, , 
          1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, ,           1.4,      1.259802, , 
          1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, ,           1.6,      1.274011, , 
          1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, ,           1.8,      1.288192, , 
            2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, ,             2,      1.302343, , 
          2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, ,           2.2,      1.316466, , 
          2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, ,           2.4,      1.330558, , 
          2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, ,           2.6,      1.344621, , 
          2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, ,           2.8,      1.358653, , 
            3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, ,             3,      1.372655, , 
          3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, ,           3.2,      1.386625, , 
          3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, ,           3.4,      1.400564, , 
          3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, ,           3.6,      1.414472, , 
          3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, ,           3.8,      1.428347, , 
            4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, ,             4,      1.442189, , 
