Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,      7.179046, ,            -3,      7.326815, ,            -3,       6.58322, , 
         -2.8,      7.210399, ,          -2.8,      7.360563, ,          -2.8,      6.604454, , 
         -2.6,      7.239231, ,          -2.6,      7.392035, ,          -2.6,      6.623039, , 
         -2.4,      7.265248, ,          -2.4,      7.420447, ,          -2.4,      6.639061, , 
         -2.2,      7.288018, ,          -2.2,      7.445035, ,          -2.2,      6.652494, , 
           -2,      7.308134, ,            -2,       7.46684, ,            -2,      6.663414, , 
         -1.8,      7.325214, ,          -1.8,      7.485634, ,          -1.8,      6.671814, , 
         -1.6,      7.339864, ,          -1.6,      7.501861, ,          -1.6,      6.677762, , 
         -1.4,      7.351989, ,          -1.4,       7.51523, ,          -1.4,      6.681292, , 
         -1.2,      7.361861, ,          -1.2,      7.526342, ,          -1.2,      6.682471, , 
           -1,       7.36942, ,            -1,      7.537009, ,            -1,      6.681341, , 
         -0.8,      7.374861, ,          -0.8,      7.545422, ,          -0.8,      6.677962, , 
         -0.6,      7.378174, ,          -0.6,      7.550767, ,          -0.6,       6.67238, , 
         -0.4,      7.379483, ,          -0.4,      7.554165, ,          -0.4,      6.664616, , 
         -0.2,      7.378754, ,          -0.2,      7.555197, ,          -0.2,      6.654675, , 
            0,      7.376156, ,             0,      7.554463, ,             0,       6.64267, , 
          0.2,      7.371636, ,           0.2,      7.551861, ,           0.2,      6.628575, , 
          0.4,      7.365259, ,           0.4,      7.547635, ,           0.4,      6.612427, , 
          0.6,      7.357067, ,           0.6,      7.541772, ,           0.6,      6.594309, , 
          0.8,       7.34711, ,           0.8,      7.534244, ,           0.8,      6.574246, , 
            1,      7.335384, ,             1,      7.525041, ,             1,      6.552266, , 
          1.2,      7.321972, ,           1.2,      7.514287, ,           1.2,      6.528442, , 
          1.4,      7.306864, ,           1.4,      7.501864, ,           1.4,      6.502754, , 
          1.6,       7.29014, ,           1.6,      7.487786, ,           1.6,      6.475341, , 
          1.8,      7.271829, ,           1.8,      7.472017, ,           1.8,      6.446241, , 
            2,      7.251978, ,             2,      7.454598, ,             2,      6.415418, , 
          2.2,      7.230618, ,           2.2,      7.435524, ,           2.2,      6.382982, , 
          2.4,      7.207843, ,           2.4,      7.414901, ,           2.4,       6.34901, , 
          2.6,      7.183691, ,           2.6,      7.392719, ,           2.6,       6.31341, , 
          2.8,      7.158249, ,           2.8,      7.369095, ,           2.8,      6.276128, , 
            3,      7.131628, ,             3,      7.344138, ,             3,      6.237367, , 
          3.2,      7.103864, ,           3.2,      7.317907, ,           3.2,      6.196965, , 
          3.4,      7.075031, ,           3.4,      7.290498, ,           3.4,      6.154715, , 
          3.6,      7.045232, ,           3.6,      7.262074, ,           3.6,      6.110831, , 
          3.8,      7.014507, ,           3.8,      7.232714, ,           3.8,      6.065189, , 
            4,      6.982892, ,             4,       7.20248, ,             4,      6.017766, , 
          4.2,      6.950448, ,           4.2,      7.171472, ,           4.2,        5.9686, , 
          4.4,      6.917275, ,           4.4,      7.139799, ,           4.4,      5.917632, , 
          4.6,      6.883422, ,           4.6,      7.107514, ,           4.6,      5.864795, , 
          4.8,       6.84892, ,           4.8,      7.074662, ,           4.8,      5.809981, , 
            5,      6.813807, ,             5,      7.041327, ,             5,      5.753096, , 
          5.2,      6.778084, ,           5.2,      7.007556, ,           5.2,      5.694418, , 
          5.4,      6.741755, ,           5.4,      6.973411, ,           5.4,      5.633687, , 
          5.6,      6.704832, ,           5.6,      6.938911, ,           5.6,      5.570938, , 
          5.8,      6.667312, ,           5.8,      6.904122, ,           5.8,      5.506285, , 
            6,      6.629217, ,             6,      6.869074, ,             6,      5.440203, , 
          6.2,      6.590537, ,           6.2,       6.83375, ,           6.2,      5.372841, , 
          6.4,      6.551288, ,           6.4,      6.798182, ,           6.4,      5.304589, , 
          6.6,      6.511464, ,           6.6,      6.762418, ,           6.6,      5.235618, , 
          6.8,      6.470986, ,           6.8,      6.726493, ,           6.8,      5.166033, , 
            7,      6.429674, ,             7,      6.690383, ,             7,      5.096115, , 
          7.2,      6.387547, ,           7.2,       6.65408, ,           7.2,      5.026022, , 
          7.4,      6.344543, ,           7.4,      6.617553, ,           7.4,      4.955805, , 
          7.6,      6.300478, ,           7.6,      6.580848, ,           7.6,      4.885104, , 
          7.8,      6.255232, ,           7.8,      6.543923, ,           7.8,      4.813525, , 
            8,       6.20856, ,             8,      6.506785, ,             8,       4.74018, , 
          8.2,      6.159616, ,           8.2,      6.469372, ,           8.2,      4.667392, , 
          8.4,       6.10763, ,           8.4,      6.431647, ,           8.4,       4.59326, , 
          8.6,      6.051274, ,           8.6,      6.393568, ,           8.6,      4.513586, , 
          8.8,      5.988845, ,           8.8,      6.355131, ,           8.8,      4.391996, , 
            9,      5.920268, ,             9,      6.316335, ,             9,      4.272915, , 
          9.2,      5.848343, ,           9.2,      6.276973, ,           9.2,      4.185564, , 
          9.4,      5.773808, ,           9.4,      6.236984, , , , , 
          9.6,      5.696113, ,           9.6,      6.196403, , , , , 
          9.8,      5.610957, ,           9.8,       6.15498, , , , , 
           10,      5.485107, ,            10,      6.112708, , , , , 

