Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
         -1.8,      8.110317, ,          -1.8,      8.515478, ,          -1.8,      5.227045, ,          -1.8,      8.682376, ,          -1.8,      8.740494, ,          -1.8,      8.749859, ,          -1.8,      8.790208, ,          -1.8,      8.804393, ,          -1.8,      8.812127, ,          -1.8,      5.736609, ,          -1.8,      6.841767, ,          -1.8,      7.585207, ,          -1.8,      7.671486, , 
         -1.6,      8.121868, ,          -1.6,      8.533587, ,          -1.6,      5.222378, ,          -1.6,      8.702849, ,          -1.6,      8.761669, ,          -1.6,      8.771127, ,          -1.6,      8.812626, ,          -1.6,      8.827671, ,          -1.6,      8.835656, ,          -1.6,      5.729851, ,          -1.6,       6.83052, ,          -1.6,      7.586794, ,          -1.6,      7.674646, , 
         -1.4,      8.130049, ,          -1.4,      8.548574, ,          -1.4,      5.215513, ,          -1.4,       8.72032, ,          -1.4,      8.779914, ,          -1.4,      8.789482, ,          -1.4,      8.832284, ,          -1.4,       8.84829, ,          -1.4,      8.856551, ,          -1.4,      5.720509, ,          -1.4,      6.815797, ,          -1.4,      7.584918, ,          -1.4,      7.674349, , 
         -1.2,      8.134928, ,          -1.2,       8.56048, ,          -1.2,      5.206464, ,          -1.2,       8.73478, ,          -1.2,      8.795229, ,          -1.2,      8.804923, ,          -1.2,      8.849144, ,          -1.2,      8.866185, ,          -1.2,      8.874731, ,          -1.2,      5.708618, ,          -1.2,      6.797679, ,          -1.2,      7.579562, ,          -1.2,      7.670595, , 
           -1,      8.136529, ,            -1,      8.569295, ,            -1,      5.195346, ,            -1,      8.746353, ,            -1,      8.807723, ,            -1,      8.817557, ,            -1,      8.862795, ,            -1,      8.880445, ,            -1,      8.889146, ,            -1,       5.69427, ,            -1,      6.776202, ,            -1,      7.570751, ,            -1,      7.663406, , 
         -0.8,      8.134917, ,          -0.8,      8.575058, ,          -0.8,      5.182183, ,          -0.8,      8.755077, ,          -0.8,      8.817531, ,          -0.8,      8.827526, ,          -0.8,      8.873436, ,          -0.8,      8.891309, ,          -0.8,      8.900049, ,          -0.8,      5.677515, ,          -0.8,      6.751474, ,          -0.8,      7.558582, ,          -0.8,      7.652876, , 
         -0.6,      8.130067, ,          -0.6,       8.57779, ,          -0.6,      5.167012, ,          -0.6,       8.76083, ,          -0.6,      8.824491, ,          -0.6,      8.834698, ,          -0.6,      8.881448, ,          -0.6,      8.899568, ,          -0.6,      8.908381, ,          -0.6,      5.658377, ,          -0.6,      6.723494, ,          -0.6,      7.543045, ,          -0.6,      7.638992, , 
         -0.4,      8.122092, ,          -0.4,      8.577562, ,          -0.4,      5.150017, ,          -0.4,      8.763755, ,          -0.4,      8.828693, ,          -0.4,       8.83912, ,          -0.4,      8.886788, ,          -0.4,      8.905212, ,          -0.4,      8.914364, ,          -0.4,      5.637058, ,          -0.4,      6.692493, ,          -0.4,      7.524241, ,          -0.4,      7.621856, , 
         -0.2,      8.110973, ,          -0.2,      8.574291, ,          -0.2,      5.131119, ,          -0.2,      8.763756, ,          -0.2,      8.830082, ,          -0.2,      8.840761, ,          -0.2,      8.889636, ,          -0.2,      8.908559, ,          -0.2,       8.91801, ,          -0.2,      5.613473, ,          -0.2,      6.658387, ,          -0.2,      7.502117, ,          -0.2,      7.601418, , 
            0,      8.096848, ,             0,      8.568106, ,             0,      5.110534, ,             0,      8.760857, ,             0,      8.828682, ,             0,      8.839641, ,             0,      8.889877, ,             0,       8.90937, ,             0,      8.919145, ,             0,      5.587798, ,             0,      6.621236, ,             0,      7.476814, ,             0,      7.577823, , 
