Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,     0.6353435, ,            -3,     0.6353435, ,            -3,     0.6353435, ,            -3,     0.6353435, ,            -3,     0.6353435, , 
         -2.8,     0.6442991, ,          -2.8,     0.6442991, ,          -2.8,     0.6442991, ,          -2.8,     0.6442991, ,          -2.8,     0.6442991, , 
         -2.6,     0.6532368, ,          -2.6,     0.6532368, ,          -2.6,     0.6532368, ,          -2.6,     0.6532368, ,          -2.6,     0.6532368, , 
         -2.4,     0.6621563, ,          -2.4,     0.6621563, ,          -2.4,     0.6621563, ,          -2.4,     0.6621563, ,          -2.4,     0.6621563, , 
         -2.2,     0.6710571, ,          -2.2,     0.6710571, ,          -2.2,     0.6710571, ,          -2.2,     0.6710571, ,          -2.2,     0.6710571, , 
           -2,     0.6799389, ,            -2,     0.6799389, ,            -2,     0.6799389, ,            -2,     0.6799389, ,            -2,     0.6799389, , 
         -1.8,     0.6888015, ,          -1.8,     0.6888015, ,          -1.8,     0.6888015, ,          -1.8,     0.6888015, ,          -1.8,     0.6888015, , 
         -1.6,     0.6976445, ,          -1.6,     0.6976445, ,          -1.6,     0.6976445, ,          -1.6,     0.6976445, ,          -1.6,     0.6976445, , 
         -1.4,     0.7064675, ,          -1.4,     0.7064675, ,          -1.4,     0.7064675, ,          -1.4,     0.7064675, ,          -1.4,     0.7064675, , 
         -1.2,     0.7152703, ,          -1.2,     0.7152703, ,          -1.2,     0.7152703, ,          -1.2,     0.7152703, ,          -1.2,     0.7152703, , 
           -1,     0.7240524, ,            -1,     0.7240524, ,            -1,     0.7240524, ,            -1,     0.7240524, ,            -1,     0.7240524, , 
         -0.8,     0.7328137, ,          -0.8,     0.7328137, ,          -0.8,     0.7328137, ,          -0.8,     0.7328137, ,          -0.8,     0.7328137, , 
         -0.6,     0.7415537, ,          -0.6,     0.7415537, ,          -0.6,     0.7415537, ,          -0.6,     0.7415537, ,          -0.6,     0.7415537, , 
