Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,     0.5796287, ,            -3,     0.5796287, ,            -3,     0.5796287, ,            -3,     0.5796287, ,            -3,     0.5796287, , 
         -2.8,     0.5793363, ,          -2.8,     0.5793363, ,          -2.8,     0.5793363, ,          -2.8,     0.5793363, ,          -2.8,     0.5793363, , 
         -2.6,     0.5790374, ,          -2.6,     0.5790374, ,          -2.6,     0.5790374, ,          -2.6,     0.5790374, ,          -2.6,     0.5790374, , 
         -2.4,     0.5787324, ,          -2.4,     0.5787324, ,          -2.4,     0.5787324, ,          -2.4,     0.5787324, ,          -2.4,     0.5787324, , 
         -2.2,     0.5784213, ,          -2.2,     0.5784213, ,          -2.2,     0.5784213, ,          -2.2,     0.5784213, ,          -2.2,     0.5784213, , 
           -2,     0.5781045, ,            -2,     0.5781045, ,            -2,     0.5781045, ,            -2,     0.5781045, ,            -2,     0.5781045, , 
         -1.8,     0.5777819, ,          -1.8,     0.5777819, ,          -1.8,     0.5777819, ,          -1.8,     0.5777819, ,          -1.8,     0.5777819, , 
         -1.6,     0.5774538, ,          -1.6,     0.5774538, ,          -1.6,     0.5774538, ,          -1.6,     0.5774538, ,          -1.6,     0.5774538, , 
         -1.4,     0.5771204, ,          -1.4,     0.5771204, ,          -1.4,     0.5771204, ,          -1.4,     0.5771204, ,          -1.4,     0.5771204, , 
         -1.2,     0.5767817, ,          -1.2,     0.5767817, ,          -1.2,     0.5767817, ,          -1.2,     0.5767817, ,          -1.2,     0.5767817, , 
           -1,     0.5764379, ,            -1,     0.5764379, ,            -1,     0.5764379, ,            -1,     0.5764379, ,            -1,     0.5764379, , 
         -0.8,     0.5760891, ,          -0.8,     0.5760891, ,          -0.8,     0.5760891, ,          -0.8,     0.5760891, ,          -0.8,     0.5760891, , 
         -0.6,     0.5757354, ,          -0.6,     0.5757354, ,          -0.6,     0.5757354, ,          -0.6,     0.5757354, ,          -0.6,     0.5757354, , 
         -0.4,     0.5753769, ,          -0.4,     0.5753769, ,          -0.4,     0.5753769, ,          -0.4,     0.5753769, ,          -0.4,     0.5753769, , 
         -0.2,     0.5750139, ,          -0.2,     0.5750139, ,          -0.2,     0.5750139, ,          -0.2,     0.5750139, ,          -0.2,     0.5750139, , 
            0,     0.5746462, ,             0,     0.5746462, ,             0,     0.5746462, ,             0,     0.5746462, ,             0,     0.5746462, , 
          0.2,     0.5742741, ,           0.2,     0.5742741, ,           0.2,     0.5742741, ,           0.2,     0.5742741, ,           0.2,     0.5742741, , 
          0.4,     0.5738977, ,           0.4,     0.5738977, ,           0.4,     0.5738977, ,           0.4,     0.5738977, ,           0.4,     0.5738977, , 
          0.6,     0.5735169, ,           0.6,     0.5735169, ,           0.6,     0.5735169, ,           0.6,     0.5735169, ,           0.6,     0.5735169, , 
          0.8,      0.573132, ,           0.8,      0.573132, ,           0.8,      0.573132, ,           0.8,      0.573132, ,           0.8,      0.573132, , 
            1,      0.572743, ,             1,      0.572743, ,             1,      0.572743, ,             1,      0.572743, ,             1,      0.572743, , 
          1.2,       0.57235, ,           1.2,       0.57235, ,           1.2,       0.57235, ,           1.2,       0.57235, ,           1.2,       0.57235, , 
          1.4,      0.571953, ,           1.4,      0.571953, ,           1.4,      0.571953, ,           1.4,      0.571953, ,           1.4,      0.571953, , 
          1.6,     0.5715521, ,           1.6,     0.5715521, ,           1.6,     0.5715521, ,           1.6,     0.5715521, ,           1.6,     0.5715521, , 
          1.8,     0.5711475, ,           1.8,     0.5711475, ,           1.8,     0.5711475, ,           1.8,     0.5711475, ,           1.8,     0.5711475, , 
            2,     0.5707391, ,             2,     0.5707391, ,             2,     0.5707391, ,             2,     0.5707391, ,             2,     0.5707391, , 
          2.2,      0.570327, ,           2.2,      0.570327, ,           2.2,      0.570327, ,           2.2,      0.570327, ,           2.2,      0.570327, , 
          2.4,     0.5699113, ,           2.4,     0.5699113, ,           2.4,     0.5699113, ,           2.4,     0.5699113, ,           2.4,     0.5699113, , 
          2.6,     0.5694921, ,           2.6,     0.5694921, ,           2.6,     0.5694921, ,           2.6,     0.5694921, ,           2.6,     0.5694921, , 
          2.8,     0.5690695, ,           2.8,     0.5690695, ,           2.8,     0.5690695, ,           2.8,     0.5690695, ,           2.8,     0.5690695, , 
            3,     0.5686434, ,             3,     0.5686434, ,             3,     0.5686434, ,             3,     0.5686434, ,             3,     0.5686434, , 
          3.2,     0.5682139, ,           3.2,     0.5682139, ,           3.2,     0.5682139, ,           3.2,     0.5682139, ,           3.2,     0.5682139, , 
          3.4,     0.5677812, ,           3.4,     0.5677812, ,           3.4,     0.5677812, ,           3.4,     0.5677812, ,           3.4,     0.5677812, , 
          3.6,     0.5673452, ,           3.6,     0.5673452, ,           3.6,     0.5673452, ,           3.6,     0.5673452, ,           3.6,     0.5673452, , 
          3.8,      0.566906, ,           3.8,      0.566906, ,           3.8,      0.566906, ,           3.8,      0.566906, ,           3.8,      0.566906, , 
            4,     0.5664637, ,             4,     0.5664637, ,             4,     0.5664637, ,             4,     0.5664637, ,             4,     0.5664637, , 
          4.2,     0.5660183, ,           4.2,     0.5660183, ,           4.2,     0.5660183, ,           4.2,     0.5660183, ,           4.2,     0.5660183, , 
          4.4,     0.5655699, ,           4.4,     0.5655699, ,           4.4,     0.5655699, ,           4.4,     0.5655699, ,           4.4,     0.5655699, , 
          4.6,     0.5651185, ,           4.6,     0.5651185, ,           4.6,     0.5651185, ,           4.6,     0.5651185, ,           4.6,     0.5651185, , 
          4.8,     0.5646642, ,           4.8,     0.5646642, ,           4.8,     0.5646642, ,           4.8,     0.5646642, ,           4.8,     0.5646642, , 
            5,      0.564207, ,             5,      0.564207, ,             5,      0.564207, ,             5,      0.564207, ,             5,      0.564207, , 
          5.2,      0.563747, ,           5.2,      0.563747, ,           5.2,      0.563747, ,           5.2,      0.563747, ,           5.2,      0.563747, , 
          5.4,     0.5632842, ,           5.4,     0.5632842, ,           5.4,     0.5632842, ,           5.4,     0.5632842, ,           5.4,     0.5632842, , 
