Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,     0.6037622, ,            -3,     0.6037622, ,            -3,     0.6037622, , 
         -2.8,     0.6035908, ,          -2.8,     0.6035908, ,          -2.8,     0.6035908, , 
         -2.6,      0.603412, ,          -2.6,      0.603412, ,          -2.6,      0.603412, , 
         -2.4,     0.6032262, ,          -2.4,     0.6032262, ,          -2.4,     0.6032262, , 
         -2.2,     0.6030338, ,          -2.2,     0.6030338, ,          -2.2,     0.6030338, , 
           -2,     0.6028351, ,            -2,     0.6028351, ,            -2,     0.6028351, , 
         -1.8,     0.6026303, ,          -1.8,     0.6026303, ,          -1.8,     0.6026303, , 
         -1.6,     0.6024196, ,          -1.6,     0.6024196, ,          -1.6,     0.6024196, , 
         -1.4,     0.6022034, ,          -1.4,     0.6022034, ,          -1.4,     0.6022034, , 
         -1.2,     0.6019819, ,          -1.2,     0.6019819, ,          -1.2,     0.6019819, , 
           -1,     0.6017553, ,            -1,     0.6017553, ,            -1,     0.6017553, , 
         -0.8,     0.6015237, ,          -0.8,     0.6015237, ,          -0.8,     0.6015237, , 
         -0.6,     0.6012874, ,          -0.6,     0.6012874, ,          -0.6,     0.6012874, , 
         -0.4,     0.6010466, ,          -0.4,     0.6010466, ,          -0.4,     0.6010466, , 
         -0.2,     0.6008014, ,          -0.2,     0.6008014, ,          -0.2,     0.6008014, , 
            0,     0.6005521, ,             0,     0.6005521, ,             0,     0.6005521, , 
          0.2,     0.6002986, ,           0.2,     0.6002986, ,           0.2,     0.6002986, , 
          0.4,     0.6000413, ,           0.4,     0.6000413, ,           0.4,     0.6000413, , 
          0.6,     0.5997803, ,           0.6,     0.5997803, ,           0.6,     0.5997803, , 
          0.8,     0.5995156, ,           0.8,     0.5995156, ,           0.8,     0.5995156, , 
            1,     0.5992475, ,             1,     0.5992475, ,             1,     0.5992475, , 
          1.2,     0.5989759, ,           1.2,     0.5989759, ,           1.2,     0.5989759, , 
          1.4,     0.5987012, ,           1.4,     0.5987012, ,           1.4,     0.5987012, , 
          1.6,     0.5984232, ,           1.6,     0.5984232, ,           1.6,     0.5984232, , 
          1.8,     0.5981423, ,           1.8,     0.5981423, ,           1.8,     0.5981423, , 
            2,     0.5978584, ,             2,     0.5978584, ,             2,     0.5978584, , 
          2.2,     0.5975717, ,           2.2,     0.5975717, ,           2.2,     0.5975717, , 
          2.4,     0.5972823, ,           2.4,     0.5972823, ,           2.4,     0.5972823, , 
          2.6,     0.5969902, ,           2.6,     0.5969902, ,           2.6,     0.5969902, , 
          2.8,     0.5966956, ,           2.8,     0.5966956, ,           2.8,     0.5966956, , 
            3,     0.5963985, ,             3,     0.5963985, ,             3,     0.5963985, , 
          3.2,      0.596099, ,           3.2,      0.596099, ,           3.2,      0.596099, , 
          3.4,     0.5957972, ,           3.4,     0.5957972, ,           3.4,     0.5957972, , 
          3.6,     0.5954931, ,           3.6,     0.5954931, ,           3.6,     0.5954931, , 
          3.8,     0.5951869, ,           3.8,     0.5951869, ,           3.8,     0.5951869, , 
            4,     0.5948786, ,             4,     0.5948786, ,             4,     0.5948786, , 
          4.2,     0.5945683, ,           4.2,     0.5945683, ,           4.2,     0.5945683, , 
          4.4,     0.5942561, ,           4.4,     0.5942561, ,           4.4,     0.5942561, , 
          4.6,      0.593942, ,           4.6,      0.593942, ,           4.6,      0.593942, , 
          4.8,      0.593626, ,           4.8,      0.593626, ,           4.8,      0.593626, , 
            5,     0.5933083, ,             5,     0.5933083, ,             5,     0.5933083, , 
          5.2,     0.5929889, ,           5.2,     0.5929889, ,           5.2,     0.5929889, , 
          5.4,     0.5926679, ,           5.4,     0.5926679, ,           5.4,     0.5926679, , 
          5.6,     0.5923453, ,           5.6,     0.5923453, ,           5.6,     0.5923453, , 
          5.8,     0.5920212, ,           5.8,     0.5920212, ,           5.8,     0.5920212, , 
            6,     0.5916956, ,             6,     0.5916956, ,             6,     0.5916956, , 
          6.2,     0.5913687, ,           6.2,     0.5913687, ,           6.2,     0.5913687, , 
          6.4,     0.5910404, ,           6.4,     0.5910404, ,           6.4,     0.5910404, , 
          6.6,     0.5907107, ,           6.6,     0.5907107, ,           6.6,     0.5907107, , 
          6.8,     0.5903799, ,           6.8,     0.5903799, ,           6.8,     0.5903799, , 
            7,     0.5900479, ,             7,     0.5900479, ,             7,     0.5900479, , 
          7.2,     0.5897147, ,           7.2,     0.5897147, ,           7.2,     0.5897147, , 
          7.4,     0.5893804, ,           7.4,     0.5893804, ,           7.4,     0.5893804, , 
          7.6,     0.5890451, ,           7.6,     0.5890451, ,           7.6,     0.5890451, , 
          7.8,     0.5887089, ,           7.8,     0.5887089, ,           7.8,     0.5887089, , 
            8,     0.5883717, ,             8,     0.5883717, ,             8,     0.5883717, , 
          8.2,     0.5880336, ,           8.2,     0.5880336, ,           8.2,     0.5880336, , 
          8.4,     0.5876946, ,           8.4,     0.5876946, ,           8.4,     0.5876946, , 
          8.6,     0.5873549, ,           8.6,     0.5873549, ,           8.6,     0.5873549, , 
          8.8,     0.5870144, ,           8.8,     0.5870144, ,           8.8,     0.5870144, , 
            9,     0.5866733, ,             9,     0.5866733, ,             9,     0.5866733, , 
          9.2,     0.5863315, ,           9.2,     0.5863315, ,           9.2,     0.5863315, , 
          9.4,     0.5859891, ,           9.4,     0.5859891, , , , , 
          9.6,     0.5856461, ,           9.6,     0.5856461, , , , , 
          9.8,     0.5853026, ,           9.8,     0.5853026, , , , , 
           10,     0.5849587, ,            10,     0.5849587, , , , , 

