Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -3,      11.22549, ,            -3,      11.09813, ,            -3,      11.74794, , 
         -2.8,      11.17258, ,          -2.8,      11.04359, ,          -2.8,      11.70747, , 
         -2.6,      11.12483, ,          -2.6,      10.99458, ,          -2.6,      11.67092, , 
         -2.4,       11.0818, ,          -2.4,      10.94963, ,          -2.4,      11.63815, , 
         -2.2,      11.04308, ,          -2.2,      10.90852, ,          -2.2,      11.60896, , 
           -2,      11.00818, ,            -2,      10.87115, ,            -2,      11.58316, , 
         -1.8,      10.97693, ,          -1.8,      10.83578, ,          -1.8,      11.56071, , 
         -1.6,      10.94907, ,          -1.6,      10.80463, ,          -1.6,      11.54139, , 
         -1.4,      10.92453, ,          -1.4,      10.77838, ,          -1.4,      11.52507, , 
         -1.2,      10.90271, ,          -1.2,      10.75555, ,          -1.2,      11.51166, , 
           -1,      10.88395, ,            -1,      10.73648, ,            -1,      11.50099, , 
         -0.8,      10.86847, ,          -0.8,      10.72071, ,          -0.8,        11.493, , 
         -0.6,      10.85602, ,          -0.6,       10.7081, ,          -0.6,       11.4876, , 
         -0.4,      10.84621, ,          -0.4,      10.69803, ,          -0.4,      11.48464, , 
         -0.2,      10.83908, ,          -0.2,      10.68975, ,          -0.2,      11.48409, , 
            0,      10.83438, ,             0,      10.68362, ,             0,      11.48581, , 
          0.2,        10.832, ,           0.2,      10.68007, ,           0.2,      11.48974, , 
          0.4,      10.83176, ,           0.4,      10.67928, ,           0.4,       11.4958, , 
          0.6,      10.83347, ,           0.6,      10.68054, ,           0.6,      11.50395, , 
          0.8,      10.83694, ,           0.8,      10.68334, ,           0.8,      11.51407, , 
            1,      10.84223, ,             1,      10.68825, ,             1,      11.52614, , 
          1.2,      10.84975, ,           1.2,      10.69585, ,           1.2,       11.5401, , 
          1.4,      10.85904, ,           1.4,      10.70524, ,           1.4,      11.55586, , 
          1.6,      10.87059, ,           1.6,      10.71677, ,           1.6,      11.57343, , 
          1.8,        10.884, ,           1.8,      10.73008, ,           1.8,      11.59274, , 
            2,      10.89899, ,             2,        10.745, ,             2,      11.61376, , 
          2.2,      10.91567, ,           2.2,      10.76144, ,           2.2,      11.63647, , 
          2.4,      10.93378, ,           2.4,      10.77924, ,           2.4,      11.66079, , 
          2.6,      10.95337, ,           2.6,      10.79746, ,           2.6,      11.68672, , 
          2.8,      10.97432, ,           2.8,      10.81654, ,           2.8,      11.71421, , 
            3,      10.99656, ,             3,      10.83707, ,             3,      11.74322, , 
          3.2,       11.0201, ,           3.2,      10.85959, ,           3.2,       11.7737, , 
          3.4,       11.0446, ,           3.4,      10.88274, ,           3.4,      11.80564, , 
          3.6,      11.07025, ,           3.6,      10.90716, ,           3.6,      11.83899, , 
          3.8,      11.09705, ,           3.8,      10.93284, ,           3.8,      11.87375, , 
            4,      11.12519, ,             4,      10.95999, ,             4,       11.9099, , 
          4.2,      11.15449, ,           4.2,      10.98834, ,           4.2,      11.94738, , 
          4.4,      11.18482, ,           4.4,      11.01763, ,           4.4,      11.98619, , 
          4.6,      11.21639, ,           4.6,      11.04796, ,           4.6,      12.02633, , 
          4.8,      11.24902, ,           4.8,      11.07922, ,           4.8,      12.06778, , 
            5,      11.28263, ,             5,      11.11134, ,             5,       12.1105, , 
          5.2,      11.31729, ,           5.2,      11.14448, ,           5.2,      12.15451, , 
          5.4,       11.3529, ,           5.4,       11.1785, ,           5.4,      12.19975, , 
          5.6,      11.38943, ,           5.6,      11.21335, ,           5.6,      12.24623, , 
          5.8,      11.42691, ,           5.8,      11.24855, ,           5.8,      12.29393, , 
            6,      11.46532, ,             6,      11.28398, ,             6,      12.34283, , 
          6.2,      11.50461, ,           6.2,      11.32021, ,           6.2,      12.39294, , 
          6.4,      11.54477, ,           6.4,      11.35741, ,           6.4,      12.44423, , 
          6.6,      11.58579, ,           6.6,      11.39581, ,           6.6,      12.49666, , 
          6.8,      11.62764, ,           6.8,      11.43502, ,           6.8,      12.55021, , 
            7,      11.67031, ,             7,      11.47505, ,             7,      12.60492, , 
          7.2,       11.7138, ,           7.2,      11.51614, ,           7.2,      12.66075, , 
          7.4,      11.75807, ,           7.4,      11.55801, ,           7.4,      12.71766, , 
          7.6,      11.80309, ,           7.6,      11.60064, ,           7.6,      12.77566, , 
          7.8,       11.8489, ,           7.8,      11.64411, ,           7.8,      12.83479, , 
            8,      11.89544, ,             8,      11.68834, ,             8,      12.89497, , 
          8.2,      11.94269, ,           8.2,      11.73331, ,           8.2,      12.95622, , 
          8.4,      11.99064, ,           8.4,        11.779, ,           8.4,      13.01854, , 
          8.6,      12.03926, ,           8.6,       11.8254, ,           8.6,      13.08199, , 
          8.8,       12.0885, ,           8.8,      11.87245, ,           8.8,      13.14652, , 
            9,      12.13838, ,             9,      11.92015, ,             9,      13.21217, , 
          9.2,      12.18886, ,           9.2,      11.96851, ,           9.2,       13.2789, , 
          9.4,      12.23993, ,           9.4,      12.01745, ,           9.4,      13.34685, , 
          9.6,      12.29155, ,           9.6,      12.06695, ,           9.6,      13.41604, , 
          9.8,       12.3437, ,           9.8,      12.11698, ,           9.8,      13.48643, , 
           10,      12.39636, ,            10,      12.16753, ,            10,      13.55806, , 

