Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, ,            -5,     0.6427387, , 
         -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, ,          -4.8,     0.6428417, , 
         -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, ,          -4.6,     0.6429282, , 
         -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, ,          -4.4,     0.6429995, , 
         -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, ,          -4.2,     0.6430564, , 
           -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, ,            -4,     0.6431001, , 
         -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, ,          -3.8,     0.6431314, , 
         -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, ,          -3.6,     0.6431512, , 
         -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, ,          -3.4,     0.6431601, , 
         -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, ,          -3.2,     0.6431588, , 
           -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, ,            -3,     0.6431481, , 
