Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,      8.766499, ,            -5,      9.200579, ,            -5,      9.380352, ,            -5,      9.452762, ,            -5,      9.501832, ,            -5,      9.523031, ,            -5,      6.145836, ,            -5,      7.480377, ,            -5,      8.227416, , 
         -4.8,      8.860322, ,          -4.8,      9.308102, ,          -4.8,      9.495479, ,          -4.8,      9.572843, ,          -4.8,      9.623382, ,          -4.8,      9.643366, ,          -4.8,      6.190251, ,          -4.8,      7.536991, ,          -4.8,      8.305823, , 
         -4.6,      8.948918, ,          -4.6,      9.409842, ,          -4.6,      9.603918, ,          -4.6,      9.684561, ,          -4.6,      9.736562, ,          -4.6,      9.756549, ,          -4.6,       6.23032, ,          -4.6,      7.588104, ,          -4.6,      8.378979, , 
         -4.4,      9.032343, ,          -4.4,      9.505991, ,          -4.4,       9.70618, ,          -4.4,      9.789352, ,          -4.4,      9.842242, ,          -4.4,      9.862183, ,          -4.4,      6.266095, ,          -4.4,      7.633713, ,          -4.4,      8.446852, , 
         -4.2,      9.110644, ,          -4.2,      9.596592, ,          -4.2,      9.802456, ,          -4.2,      9.887556, ,          -4.2,      9.940542, ,          -4.2,      9.960099, ,          -4.2,      6.297552, ,          -4.2,      7.673752, ,          -4.2,      8.509399, , 
           -4,      9.183811, ,            -4,      9.681717, ,            -4,      9.892837, ,            -4,      9.979707, ,            -4,      10.03223, ,            -4,      10.05088, ,            -4,      6.324722, ,            -4,      7.708188, ,            -4,      8.566493, , 
         -3.8,      9.251892, ,          -3.8,       9.76156, ,          -3.8,       9.97765, ,          -3.8,      10.06629, ,          -3.8,      10.12007, ,          -3.8,      10.13938, ,          -3.8,      6.347675, ,          -3.8,      7.737063, ,          -3.8,      8.618068, , 
         -3.6,      9.314849, ,          -3.6,      9.836217, ,          -3.6,      10.05706, ,          -3.6,      10.14747, ,          -3.6,      10.20368, ,          -3.6,      10.22468, ,          -3.6,      6.366432, ,          -3.6,      7.760306, ,          -3.6,      8.664014, , 
         -3.4,      9.372626, ,          -3.4,      9.905765, ,          -3.4,      10.13116, ,          -3.4,      10.22327, ,          -3.4,      10.28191, ,          -3.4,      10.30469, ,          -3.4,      6.380937, ,          -3.4,      7.777973, ,          -3.4,      8.704318, , 
         -3.2,       9.42518, ,          -3.2,      9.970329, ,          -3.2,      10.20019, ,          -3.2,      10.29388, ,          -3.2,      10.35374, ,          -3.2,      10.37714, ,          -3.2,      6.391244, ,          -3.2,      7.789944, ,          -3.2,      8.738988, , 
           -3,      9.472436, ,            -3,      10.02997, ,            -3,      10.26433, ,            -3,      10.35956, ,            -3,       10.4202, ,            -3,      10.44379, ,            -3,      6.397212, ,            -3,       7.79606, ,            -3,      8.768038, , 
         -2.8,      9.514351, ,          -2.8,      10.08471, ,          -2.8,      10.32372, ,          -2.8,      10.42055, ,          -2.8,      10.48185, ,          -2.8,      10.50554, ,          -2.8,      6.399067, ,          -2.8,      7.796456, ,          -2.8,      8.791408, , 
         -2.6,      9.550868, ,          -2.6,      10.13449, ,          -2.6,      10.37836, ,          -2.6,      10.47694, ,          -2.6,      10.53923, ,          -2.6,      10.56327, ,          -2.6,      6.396866, ,          -2.6,      7.791098, ,          -2.6,      8.809077, , 
         -2.4,      9.581921, ,          -2.4,      10.17935, ,          -2.4,      10.42837, ,          -2.4,      10.52888, ,          -2.4,      10.59232, ,          -2.4,      10.61681, ,          -2.4,      6.390679, ,          -2.4,      7.780067, ,          -2.4,      8.820988, , 
         -2.2,      9.607499, ,          -2.2,      10.21924, ,          -2.2,      10.47372, ,          -2.2,      10.57639, ,          -2.2,      10.64116, ,          -2.2,      10.66615, ,          -2.2,      6.380485, ,          -2.2,       7.76336, ,          -2.2,      8.827058, , 
           -2,      9.627579, ,            -2,        10.254, ,            -2,      10.51444, ,            -2,      10.61956, ,            -2,      10.68584, ,            -2,      10.71143, ,            -2,      6.366445, ,            -2,      7.741124, ,            -2,      8.827313, , 
         -1.8,        9.6421, ,          -1.8,      10.28364, ,          -1.8,       10.5503, ,          -1.8,      10.65828, ,          -1.8,      10.72648, ,          -1.8,      10.75281, ,          -1.8,      6.348436, ,          -1.8,      7.713246, ,          -1.8,      8.821714, , 
         -1.6,      9.651136, ,          -1.6,      10.30817, ,          -1.6,      10.58129, ,          -1.6,      10.69232, ,          -1.6,      10.76267, ,          -1.6,       10.7899, ,          -1.6,       6.32685, ,          -1.6,      7.680159, ,          -1.6,      8.810411, , 
         -1.4,      9.654578, ,          -1.4,      10.32738, ,          -1.4,      10.60727, ,          -1.4,      10.72164, ,          -1.4,      10.79443, ,          -1.4,      10.82266, ,          -1.4,      6.301581, ,          -1.4,      7.641689, ,          -1.4,      8.793179, , 
         -1.2,      9.652601, ,          -1.2,      10.34138, ,          -1.2,      10.62802, ,          -1.2,      10.74602, ,          -1.2,      10.82158, ,          -1.2,      10.85099, ,          -1.2,      6.272755, ,          -1.2,      7.597847, ,          -1.2,      8.770211, , 
           -1,      9.645133, ,            -1,      10.35013, ,            -1,      10.64342, ,            -1,      10.76502, ,            -1,      10.84353, ,            -1,      10.87423, ,            -1,      6.240799, ,            -1,      7.548843, ,            -1,      8.741685, , 
         -0.8,       9.63212, ,          -0.8,      10.35366, ,          -0.8,      10.65338, ,          -0.8,      10.77844, ,          -0.8,       10.8598, ,          -0.8,      10.89173, ,          -0.8,      6.206943, ,          -0.8,      7.494604, ,          -0.8,      8.707526, , 
